tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Tunis 2026,2026-03-24,SKACHKOV Kirill,GUNDUZ Ibrahim,3,1,"11,11,10,12|8,7,12,10",GROUP,WTT_CONTENDER,MS,3236,Main Draw,SKACHKOV Kirill (AIN),GUNDUZ Ibrahim (TUR)
WTT Contender Tunis 2026,2026-03-24,TIKHONOV Evgeny,AMEUR Habib,3,0,"11,11,11|5,6,4",GROUP,WTT_CONTENDER,MS,3236,Main Draw,TIKHONOV Evgeny (AIN),AMEUR Habib (TUN)
WTT Contender Tunis 2026,2026-03-24,WANG Yang,BOURASS Aboubaker,3,1,"11,11,6,11|5,3,11,5",GROUP,WTT_CONTENDER,MS,3236,Main Draw,WANG Yang (SVK),BOURASS Aboubaker (TUN)
WTT Contender Tunis 2026,2026-03-24,RAKOTOARIMANANA Fabio,VALENET Edouard,3,2,"11,9,10,12,11|8,11,12,10,6",GROUP,WTT_CONTENDER,MS,3236,Main Draw,RAKOTOARIMANANA Fabio (MAD),VALENET Edouard (PHI)
WTT Contender Tunis 2026,2026-03-24,KOURAICHI Alexis,DOYEN Antoine,3,0,"11,13,11|7,11,7",GROUP,WTT_CONTENDER,MS,3236,Main Draw,KOURAICHI Alexis (FRA),DOYEN Antoine (POR)
WTT Contender Tunis 2026,2026-03-24,MUTTI Matteo,BUJOR Dragos,3,0,"11,11,11|4,6,9",GROUP,WTT_CONTENDER,MS,3236,Main Draw,MUTTI Matteo (ITA),BUJOR Dragos (ROU)
WTT Contender Tunis 2026,2026-03-24,BERZOSA Daniel,URSUT Horia Stefan,3,1,"11,6,11,11|7,11,5,9",GROUP,WTT_CONTENDER,MS,3236,Main Draw,BERZOSA Daniel (ESP),URSUT Horia Stefan (ROU)
WTT Contender Tunis 2026,2026-03-24,BETELU Remi,CLOSSET Tom,3,0,"11,11,11|7,7,5",GROUP,WTT_CONTENDER,MS,3236,Main Draw,BETELU Remi (FRA),CLOSSET Tom (BEL)
WTT Contender Tunis 2026,2026-03-24,CAMARA Gabrielius,NARESH Nandan,3,0,"11,12,11|9,10,5",GROUP,WTT_CONTENDER,MS,3236,Main Draw,CAMARA Gabrielius (NED),NARESH Nandan (USA)
WTT Contender Tunis 2026,2026-03-24,DAS Syndrela,SUISSI Balkis,3,0,"11,11,11|1,6,5",GROUP,WTT_CONTENDER,WS,3236,Main Draw,DAS Syndrela (IND),SUISSI Balkis (TUN)
WTT Contender Tunis 2026,2026-03-24,PLAIAN Tania,COSSIO Arantxa,3,0,"18,11,11|16,4,7",GROUP,WTT_CONTENDER,WS,3236,Main Draw,PLAIAN Tania (ROU),COSSIO Arantxa (MEX)
WTT Contender Tunis 2026,2026-03-24,VIVARELLI Debora,BRAHIMI Nour,3,0,"11,11,11|0,6,4",GROUP,WTT_CONTENDER,WS,3236,Main Draw,VIVARELLI Debora (ITA),BRAHIMI Nour (TUN)
WTT Contender Tunis 2026,2026-03-24,TSAI Yun-En,RIOS Valentina,3,1,"11,7,11,13|6,11,7,11",GROUP,WTT_CONTENDER,WS,3236,Main Draw,TSAI Yun-En (TPE),RIOS Valentina (CHI)
WTT Contender Tunis 2026,2026-03-24,SCHREINER Franziska,ABASSI Elee,3,0,"11,11,11|1,7,4",GROUP,WTT_CONTENDER,WS,3236,Main Draw,SCHREINER Franziska (GER),ABASSI Elee (TUN)
WTT Contender Tunis 2026,2026-03-24,HARAC Ece,CARNOVALE Miriam,3,1,"9,11,11,11|11,9,3,8",GROUP,WTT_CONTENDER,WS,3236,Main Draw,HARAC Ece (TUR),CARNOVALE Miriam (ITA)
