tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BARDET Lilian,POLANSKY Tomas,3,0,"11,12,11|9,10,7",R32,OLYMPICS,U21MS,884,Main Draw,POLANSKY Tomas (CZE),BARDET Lilian (FRA)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,KOZUL Deni,MLADIN Paul,3,1,"11,11,9,11|6,2,11,9",R32,OLYMPICS,U21MS,884,Main Draw,MLADIN Paul (ROU),KOZUL Deni (SLO)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,JARVIS Tom,PAULIN Erik,3,0,"11,11,11|3,3,5",R32,OLYMPICS,U21MS,884,Main Draw,JARVIS Tom (ENG),PAULIN Erik (SLO)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BERTRAND Irvin,MATSUYAMA Yuki,3,2,"7,11,11,8,11|11,8,3,11,7",R32,OLYMPICS,U21MS,884,Main Draw,BERTRAND Irvin (FRA),MATSUYAMA Yuki (JPN)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BADOWSKI Marek,EVANS Callum,3,0,"13,11,12|11,6,10",R32,OLYMPICS,U21MS,884,Main Draw,BADOWSKI Marek (POL),EVANS Callum (WAL)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,FENG Yi-Hsin,AFANADOR Brian,3,0,"11,11,11|7,9,4",R32,OLYMPICS,U21MS,884,Main Draw,FENG Yi-Hsin (TPE),AFANADOR Brian (PUR)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,CNUDDE Florian,IVONIN Denis,3,2,"12,5,8,11,11|10,11,11,5,7",R32,OLYMPICS,U21MS,884,Main Draw,IVONIN Denis (RUS),CNUDDE Florian (BEL)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,PLETEA Cristian,MENAND Remi,3,1,"13,11,11,11|15,4,7,8",R32,OLYMPICS,U21MS,884,Main Draw,MENAND Remi (FRA),PLETEA Cristian (ROU)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,LEVENKO Andreas,KOVACS Sebestyen,3,2,"11,12,8,10,11|9,10,11,12,7",R32,OLYMPICS,U21MS,884,Main Draw,LEVENKO Andreas (AUT),KOVACS Sebestyen (HUN)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,LIND Anders,FRIIS Martin,3,1,"11,12,6,11|3,10,11,5",R32,OLYMPICS,U21MS,884,Main Draw,FRIIS Martin (SWE),LIND Anders (DEN)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,REMBERT Bastien,KLEIN Dennis,3,1,"12,7,12,13|10,11,10,11",R32,OLYMPICS,U21MS,884,Main Draw,KLEIN Dennis (GER),REMBERT Bastien (FRA)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,ZATOWKA Patryk,GRININGER Thomas,3,2,"13,13,9,10,11|11,11,11,12,7",R32,OLYMPICS,U21MS,884,Main Draw,GRININGER Thomas (AUT),ZATOWKA Patryk (POL)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,MAJOROS Bence,KOTOWSKI Tomasz,3,1,"10,11,11,11|12,3,8,4",R32,OLYMPICS,U21MS,884,Main Draw,MAJOROS Bence (HUN),KOTOWSKI Tomasz (POL)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,NIKULIN Ivan,SODERLUND Simon,3,1,"8,11,11,11|11,9,9,6",R32,OLYMPICS,U21MS,884,Main Draw,SODERLUND Simon (SWE),NIKULIN Ivan (RUS)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,TSUBOI Yuma,CHEN Shuainan,3,2,"11,11,7,11,11|13,5,11,5,4",R32,OLYMPICS,U21MS,884,Main Draw,TSUBOI Yuma (JPN),CHEN Shuainan (ITA)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,DE NODREST Leo,JORGIC Darko,3,2,"7,11,12,10,11|11,9,10,12,5",R32,OLYMPICS,U21MS,884,Main Draw,DE NODREST Leo (FRA),JORGIC Darko (SLO)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,KOZUL Deni,BARDET Lilian,3,0,"11,11,12|4,7,10",R16,OLYMPICS,U21MS,884,Main Draw,BARDET Lilian (FRA),KOZUL Deni (SLO)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BERTRAND Irvin,JARVIS Tom,3,2,"9,11,11,9,12|11,1,9,11,10",R16,OLYMPICS,U21MS,884,Main Draw,JARVIS Tom (ENG),BERTRAND Irvin (FRA)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BADOWSKI Marek,FENG Yi-Hsin,3,1,"9,12,11,11|11,10,7,9",R16,OLYMPICS,U21MS,884,Main Draw,BADOWSKI Marek (POL),FENG Yi-Hsin (TPE)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,PLETEA Cristian,CNUDDE Florian,3,2,"11,10,11,10,11|5,12,9,12,8",R16,OLYMPICS,U21MS,884,Main Draw,CNUDDE Florian (BEL),PLETEA Cristian (ROU)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,LIND Anders,LEVENKO Andreas,3,2,"11,11,10,10,11|7,9,12,12,5",R16,OLYMPICS,U21MS,884,Main Draw,LEVENKO Andreas (AUT),LIND Anders (DEN)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,REMBERT Bastien,ZATOWKA Patryk,3,0,"12,11,11|10,4,7",R16,OLYMPICS,U21MS,884,Main Draw,REMBERT Bastien (FRA),ZATOWKA Patryk (POL)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,MAJOROS Bence,NIKULIN Ivan,3,1,"12,6,11,11|10,11,3,7",R16,OLYMPICS,U21MS,884,Main Draw,MAJOROS Bence (HUN),NIKULIN Ivan (RUS)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,DE NODREST Leo,TSUBOI Yuma,3,1,"11,6,11,11|8,11,8,5",R16,OLYMPICS,U21MS,884,Main Draw,TSUBOI Yuma (JPN),DE NODREST Leo (FRA)
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BERTRAND Irvin,KOZUL Deni,3,0,"11,11,11|5,6,3",QuarterFinal,OLYMPICS,U21MS,884,Main Draw,KOZUL Deni (SLO),BERTRAND Irvin (FRA)
