tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
2023 Pacific Games,2023-11-20,YEE Sally,SIFI Connie,3,0,"11,11,11|8,3,6",GROUP,OTHER,WT,2715,Main Draw,YEE Sally (FIJ),SIFI Connie (SOL),YEE Sally
2023 Pacific Games,2023-11-20,YEE Grace Rosi,AMEHANA Pauline,3,1,"7,11,11,11|11,8,6,4",GROUP,OTHER,WT,2715,Main Draw,YEE Grace Rosi (FIJ),AMEHANA Pauline (SOL),YEE Grace Rosi
2023 Pacific Games,2023-11-20,LI Carolyn,SOGAVARE Shannon,3,0,"12,11,11|10,1,6",GROUP,OTHER,WT,2715,Main Draw,LI Carolyn (FIJ),SOGAVARE Shannon (SOL),LI Carolyn
2023 Pacific Games,2023-11-20,YEE Grace Rosi,SIFI Connie,3,0,"11,11,12|5,6,10",GROUP,OTHER,WT,2715,Main Draw,YEE Grace Rosi (FIJ),SIFI Connie (SOL),YEE Grace Rosi
2023 Pacific Games,2023-11-20,YEE Sally,AMEHANA Pauline,3,1,"11,11,9,11|5,3,11,3",GROUP,OTHER,WT,2715,Main Draw,YEE Sally (FIJ),AMEHANA Pauline (SOL),YEE Sally
2023 Pacific Games,2023-11-20,WONG Heimoe,WATANABE Meg,3,0,"11,11,11|7,3,4",GROUP,OTHER,WT,2715,Main Draw,WONG Heimoe (PYF),WATANABE Meg (PLW),WONG Heimoe
2023 Pacific Games,2023-11-20,TEHAHETUA Kelley,CHIN Meilin,3,0,"11,11,11|6,6,4",GROUP,OTHER,WT,2715,Main Draw,TEHAHETUA Kelley (PYF),CHIN Meilin (PLW),TEHAHETUA Kelley
2023 Pacific Games,2023-11-20,MANUTAHI Takihei,WATANABE Jeramei,3,1,"5,11,11,11|11,4,4,9",GROUP,OTHER,WT,2715,Main Draw,MANUTAHI Takihei (PYF),WATANABE Jeramei (PLW),MANUTAHI Takihei
2023 Pacific Games,2023-11-20,WONG Heimoe,CHIN Meilin,3,0,"11,11,11|1,6,5",GROUP,OTHER,WT,2715,Main Draw,WONG Heimoe (PYF),CHIN Meilin (PLW),WONG Heimoe
2023 Pacific Games,2023-11-20,TEHAHETUA Kelley,WATANABE Meg,3,0,"11,11,11|5,7,3",GROUP,OTHER,WT,2715,Main Draw,TEHAHETUA Kelley (PYF),WATANABE Meg (PLW),TEHAHETUA Kelley
2023 Pacific Games,2023-11-20,LA Lorie,PEPA Barbara,3,0,"11,11,11|5,9,5",GROUP,OTHER,WT,2715,Main Draw,LA Lorie (NCL),PEPA Barbara (TGA),LA Lorie
2023 Pacific Games,2023-11-20,FAEHAU Fabiana,PEPA Luseane,3,0,"11,11,11|4,3,6",GROUP,OTHER,WT,2715,Main Draw,FAEHAU Fabiana (NCL),PEPA Luseane (TGA),FAEHAU Fabiana
2023 Pacific Games,2023-11-20,WANEGUI Julie,FUNGAVAI Melekaufusi,3,0,"11,11,11|5,6,6",GROUP,OTHER,WT,2715,Main Draw,WANEGUI Julie (NCL),FUNGAVAI Melekaufusi (TGA),WANEGUI Julie
2023 Pacific Games,2023-11-20,LA Lorie,PEPA Luseane,3,1,"11,12,11,11|9,14,6,5",GROUP,OTHER,WT,2715,Main Draw,LA Lorie (NCL),PEPA Luseane (TGA),LA Lorie
2023 Pacific Games,2023-11-20,FAEHAU Fabiana,PEPA Barbara,3,0,"11,11,11|9,4,7",GROUP,OTHER,WT,2715,Main Draw,FAEHAU Fabiana (NCL),PEPA Barbara (TGA),FAEHAU Fabiana
2023 Pacific Games,2023-11-20,LULU Anolyn,DAGAGIO Bryana,3,0,"0,0,0|0,0,0",GROUP,OTHER,WT,2715,Main Draw,LULU Anolyn (VAN),DAGAGIO Bryana (NRU),LULU Anolyn
2023 Pacific Games,2023-11-20,QWEA Stephanie,NOTTE Uzzaniah Grace,3,0,"0,0,0|0,0,0",GROUP,OTHER,WT,2715,Main Draw,QWEA Stephanie (VAN),NOTTE Uzzaniah Grace (NRU),QWEA Stephanie
