tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Ecuador International Open Cuenca 2021,2021-11-02,COELLO Geovanny,ESPINOZA John,4,3,"11,11,5,11,9,9,11|8,8,11,5,11,11,5",QUAL,WTT_CONTENDER,MS,2510,Qualification,COELLO Geovanny (ECU),ESPINOZA John (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,LOPEZ Yadier,DUFFOO Moises,4,1,"11,11,11,11,12|13,4,9,9,10",QUAL,WTT_CONTENDER,MS,2510,Qualification,LOPEZ Yadier (PUR),DUFFOO Moises (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,BRITTON Shemar,PONCE Paul,4,1,"6,11,11,11,11|11,8,6,8,6",QUAL,WTT_CONTENDER,MS,2510,Qualification,BRITTON Shemar (GUY),PONCE Paul (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,GOMEZ Juan Jesus,LI Julio,4,0,"11,11,11,11|0,0,0,0",QUAL,WTT_CONTENDER,MS,2510,Qualification,GOMEZ Juan Jesus (MEX),LI Julio (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,VALENTIN Derek,CEDENO Jeremy,4,0,"11,11,11,13|8,4,6,11",QUAL,WTT_CONTENDER,MS,2510,Qualification,VALENTIN Derek (PUR),CEDENO Jeremy (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,COELLO Geovanny,LOPEZ Yadier,4,0,"11,11,11,11|8,5,8,7",QUAL,WTT_CONTENDER,MS,2510,Qualification,COELLO Geovanny (ECU),LOPEZ Yadier (PUR)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,BRITTON Shemar,VIGO Rodrigo,4,2,"11,9,11,11,7,11|9,11,8,6,11,8",QUAL,WTT_CONTENDER,MS,2510,Qualification,BRITTON Shemar (GUY),VIGO Rodrigo (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,GOMEZ Juan Jesus,VALENTIN Derek,4,1,"11,11,7,11,11|7,7,11,5,9",QUAL,WTT_CONTENDER,MS,2510,Qualification,GOMEZ Juan Jesus (MEX),VALENTIN Derek (PUR)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,ESPINOZA John,DUFFOO Moises,4,1,"13,11,10,11,11|11,5,12,6,9",QUAL,WTT_CONTENDER,MS,2510,Qualification,ESPINOZA John (ECU),DUFFOO Moises (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,CEDENO Jeremy,LI Julio,4,0,"11,11,11,11|0,0,0,0",QUAL,WTT_CONTENDER,MS,2510,Qualification,CEDENO Jeremy (ECU),LI Julio (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,VIGO Rodrigo,PONCE Paul,4,0,"11,11,11,11|7,8,6,8",QUAL,WTT_CONTENDER,MS,2510,Qualification,VIGO Rodrigo (PER),PONCE Paul (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,VALENTIN Derek,LI Julio,4,0,"11,11,11,11|0,0,0,0",QUAL,WTT_CONTENDER,MS,2510,Qualification,VALENTIN Derek (PUR),LI Julio (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,ESPINOZA John,LOPEZ Yadier,4,1,"9,11,11,11,11|11,2,4,8,8",QUAL,WTT_CONTENDER,MS,2510,Qualification,ESPINOZA John (ECU),LOPEZ Yadier (PUR)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,GOMEZ Juan Jesus,CEDENO Jeremy,4,3,"12,11,11,8,8,9,11|10,8,4,11,11,11,4",QUAL,WTT_CONTENDER,MS,2510,Qualification,GOMEZ Juan Jesus (MEX),CEDENO Jeremy (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,COELLO Geovanny,DUFFOO Moises,4,1,"11,11,11,12,11|4,6,4,14,9",QUAL,WTT_CONTENDER,MS,2510,Qualification,COELLO Geovanny (ECU),DUFFOO Moises (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,DUFFOO Moises,PONCE Paul,4,1,"11,11,6,12,11|9,5,11,10,7",QR4,WTT_CONTENDER,MS,2510,Qualification,DUFFOO Moises (PER),PONCE Paul (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,CEDENO Jeremy,LOPEZ Yadier,4,2,"11,11,5,10,11,11|8,5,11,12,4,8",QR4,WTT_CONTENDER,MS,2510,Qualification,CEDENO Jeremy (ECU),LOPEZ Yadier (PUR)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,DIAZ Fabiola,ARELLANO Angelica,4,0,"11,11,11,11|5,2,8,5",R16,WTT_CONTENDER,WS,2510,Main Draw,DIAZ Fabiola (PUR),ARELLANO Angelica (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,DAS Ankita,GALVEZ Eunice,4,0,"11,11,11,22|4,8,9,20",R16,WTT_CONTENDER,WS,2510,Main Draw,DAS Ankita (IND),GALVEZ Eunice (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,COSSIO Arantxa,CABRERA Maria,4,0,"11,11,11,11|6,7,5,4",R16,WTT_CONTENDER,WS,2510,Main Draw,COSSIO Arantxa (MEX),CABRERA Maria (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,MELENDEZ Kristal,DELGADO MATIAS Brunella Estefania,4,0,"11,11,11,11|0,0,0,0",R16,WTT_CONTENDER,WS,2510,Main Draw,MELENDEZ Kristal (PUR),DELGADO MATIAS Brunella Estefania (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,DANI Mudit,DUFFOO Moises,4,2,"9,11,9,11,11,11|11,4,11,1,5,2",R16,WTT_CONTENDER,MS,2510,Main Draw,DANI Mudit (IND),DUFFOO Moises (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,GOMEZ Juan Jesus,PIGUAVE Diego,4,2,"9,12,11,6,11,13|11,10,5,11,3,11",R16,WTT_CONTENDER,MS,2510,Main Draw,GOMEZ Juan Jesus (MEX),PIGUAVE Diego (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,AL SAMHOURY Tarek,ESPINOZA John,4,2,"11,8,12,11,8,11|6,11,10,5,11,7",R16,WTT_CONTENDER,MS,2510,Main Draw,AL SAMHOURY Tarek (AUT),ESPINOZA John (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,TAPIA Rodrigo,VIGO Rodrigo,4,2,"11,11,11,9,9,11|7,9,6,11,11,3",R16,WTT_CONTENDER,MS,2510,Main Draw,TAPIA Rodrigo (ECU),VIGO Rodrigo (PER)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,RIOFRIO Emiliano,VALENTIN Derek,4,0,"11,11,12,11|9,7,10,8",R16,WTT_CONTENDER,MS,2510,Main Draw,RIOFRIO Emiliano (ECU),VALENTIN Derek (PUR)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,SHAH Manush,BRITTON Shemar,4,1,"11,15,11,7,11|7,13,5,11,5",R16,WTT_CONTENDER,MS,2510,Main Draw,SHAH Manush (IND),BRITTON Shemar (GUY)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,ARCE Dario,COELLO Geovanny,4,0,"11,11,11,11|8,8,8,7",R16,WTT_CONTENDER,MS,2510,Main Draw,ARCE Dario (MEX),COELLO Geovanny (ECU)
ITTF Ecuador International Open Cuenca 2021,2021-11-02,SHETTY Sanil,CEDENO Jeremy,4,0,"11,11,11,11|5,6,2,4",R16,WTT_CONTENDER,MS,2510,Main Draw,SHETTY Sanil (IND),CEDENO Jeremy (ECU)
