tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Lin,JOO Saehyuk,4,2,"11,11,11,8,8,11|2,5,2,11,11,7",R16,GRAND_SLAM,MS,805,Main Draw,MA Lin (CHN),JOO Saehyuk (KOR)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,CHEN Qi,RYU Seungmin,4,0,"11,12,11,11|9,10,8,9",R16,GRAND_SLAM,MS,805,Main Draw,CHEN Qi (CHN),RYU Seungmin (KOR)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,WANG Liqin,CHEUNG Yuk,4,1,"11,11,7,11,11|9,4,11,6,8",R16,GRAND_SLAM,MS,805,Main Draw,WANG Liqin (CHN),CHEUNG Yuk (HKG)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Long,YOON Jaeyoung,4,0,"11,11,11,13|3,9,2,11",R16,GRAND_SLAM,MS,805,Main Draw,MA Long (CHN),YOON Jaeyoung (KOR)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SAMSONOV Vladimir,OVTCHAROV Dimitrij,4,0,"11,11,11,16|5,8,8,14",R16,GRAND_SLAM,MS,805,Main Draw,SAMSONOV Vladimir (BLR),OVTCHAROV Dimitrij (GER)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,JIANG Tianyi,LI Ching,4,2,"4,11,12,7,11,11|11,7,10,11,3,8",R16,GRAND_SLAM,MS,805,Main Draw,JIANG Tianyi (HKG),LI Ching (HKG)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,CHUANG Chih-Yuan,LEONG Kin Wa,4,0,"11,11,11,11|6,2,6,6",R16,GRAND_SLAM,MS,805,Main Draw,CHUANG Chih-Yuan (TPE),LEONG Kin Wa (MAC)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,WANG Hao,MAZE Michael,4,0,"11,11,11,11|4,9,6,7",R16,GRAND_SLAM,MS,805,Main Draw,WANG Hao (CHN),MAZE Michael (DEN)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Lin,CHEN Qi,4,3,"11,8,6,2,11,11,11|7,11,11,11,8,8,8",QF,GRAND_SLAM,MS,805,Main Draw,MA Lin (CHN),CHEN Qi (CHN)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Long,WANG Liqin,4,0,"11,15,11,11|1,13,4,3",QF,GRAND_SLAM,MS,805,Main Draw,MA Long (CHN),WANG Liqin (CHN)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SAMSONOV Vladimir,JIANG Tianyi,4,1,"11,12,11,8,11|6,10,4,11,4",QF,GRAND_SLAM,MS,805,Main Draw,SAMSONOV Vladimir (BLR),JIANG Tianyi (HKG)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,WANG Hao,CHUANG Chih-Yuan,4,1,"11,9,11,14,11|3,11,5,12,4",QF,GRAND_SLAM,MS,805,Main Draw,WANG Hao (CHN),CHUANG Chih-Yuan (TPE)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Long,MA Lin,4,1,"13,11,11,11,12|15,3,7,5,10",SF,GRAND_SLAM,MS,805,Main Draw,MA Long (CHN),MA Lin (CHN)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,WANG Hao,SAMSONOV Vladimir,4,0,"11,11,11,11|9,6,8,6",SF,GRAND_SLAM,MS,805,Main Draw,WANG Hao (CHN),SAMSONOV Vladimir (BLR)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Long,WANG Hao,4,0,"13,11,11,11|11,9,9,5",F,GRAND_SLAM,MS,805,Main Draw,MA Long (CHN),WANG Hao (CHN)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,CHIANG Hung-Chieh,MATTENET Adrien,4,3,"5,11,7,11,3,11,11|11,8,11,7,11,4,5",SF,GRAND_SLAM,U21MS,805,Main Draw,CHIANG Hung-Chieh (TPE),MATTENET Adrien (FRA)
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,FREITAS Marcos,SKACHKOV Kirill,4,2,"13,11,11,10,7,11|11,6,8,12,11,2",SF,GRAND_SLAM,U21MS,805,Main Draw,FREITAS Marcos (POR),SKACHKOV Kirill (RUS)
