tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2022 Caribbean Senior Championships,2022-03-03,RIOS Daniely,FRASER Chloe,3,0,"11,11,11|2,4,5",GROUP,OTHER,WT,2565,Main Draw,RIOS Daniely (PUR),FRASER Chloe (TTO)
2022 Caribbean Senior Championships,2022-03-03,CHUNG Rheann,DIAZ Fabiola,3,0,"11,11,11|3,4,5",GROUP,OTHER,WT,2565,Main Draw,DIAZ Fabiola (PUR),CHUNG Rheann (TTO)
2022 Caribbean Senior Championships,2022-03-03,BURGOS Brianna,EDWARDS-TAYLOR Imani,3,0,"11,11,11|5,4,3",GROUP,OTHER,WT,2565,Main Draw,BURGOS Brianna (PUR),EDWARDS-TAYLOR Imani (TTO)
2022 Caribbean Senior Championships,2022-03-03,CHUNG Rheann,RIOS Daniely,3,2,"3,7,11,11,13|11,11,3,7,11",GROUP,OTHER,WT,2565,Main Draw,RIOS Daniely (PUR),CHUNG Rheann (TTO)
2022 Caribbean Senior Championships,2022-03-03,DIAZ Fabiola,FRASER Chloe,3,0,"11,12,11|3,10,8",GROUP,OTHER,WT,2565,Main Draw,DIAZ Fabiola (PUR),FRASER Chloe (TTO)
2022 Caribbean Senior Championships,2022-03-03,FONSECA Daniela,RILEY Anthonette,3,0,"11,11,11|3,2,9",GROUP,OTHER,WT,2565,Main Draw,FONSECA Daniela (CUB),RILEY Anthonette (BAR)
2022 Caribbean Senior Championships,2022-03-03,PEREZ GONZALEZ Karla,HARVEY Krystle,3,0,"11,11,11|8,1,3",GROUP,OTHER,WT,2565,Main Draw,PEREZ GONZALEZ Karla (CUB),HARVEY Krystle (BAR)
2022 Caribbean Senior Championships,2022-03-03,RODRIGUEZ Lizdainet,KING Kenady,3,0,"11,11,11|5,8,5",GROUP,OTHER,WT,2565,Main Draw,RODRIGUEZ Lizdainet (CUB),KING Kenady (BAR)
2022 Caribbean Senior Championships,2022-03-03,CASTRO Esmerlyn,YOUNG Solesha,3,1,"11,6,11,11|6,11,8,6",GROUP,OTHER,WT,2565,Main Draw,YOUNG Solesha (JAM),CASTRO Esmerlyn (DOM)
2022 Caribbean Senior Championships,2022-03-03,BRITO Eva,LEWIS Tsenaye,3,0,"11,11,11|5,5,3",GROUP,OTHER,WT,2565,Main Draw,LEWIS Tsenaye (JAM),BRITO Eva (DOM)
2022 Caribbean Senior Championships,2022-03-03,ORTIZ Yasiris,LEWIS Gianna,3,1,"7,11,11,11|11,6,7,5",GROUP,OTHER,WT,2565,Main Draw,LEWIS Gianna (JAM),ORTIZ Yasiris (DOM)
2022 Caribbean Senior Championships,2022-03-03,GONZALEZ Daniel,DOUGLAS Derron,3,0,"11,11,11|5,2,3",GROUP,OTHER,MT,2565,Main Draw,GONZALEZ Daniel (PUR),DOUGLAS Derron (TTO)
