tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,HODAEI Amir Hossein,PANDE Siddhesh,3,2,"5,11,11,9,11|11,9,9,11,9",,OLYMPICS,U21MS,2031,Qualification,PANDE Siddhesh (IND),HODAEI Amir Hossein (IRI)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,POH Ethan,ABDULWAHHAB Mohammed,3,1,"11,7,11,11|8,11,6,2",,OLYMPICS,U21MS,2031,Qualification,ABDULWAHHAB Mohammed (QAT),POH Ethan (SGP)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,TAN Lucas,AL-NAGGAR Abdulrahman,3,0,"11,11,11|2,8,8",,OLYMPICS,U21MS,2031,Qualification,AL-NAGGAR Abdulrahman (QAT),TAN Lucas (SGP)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,HAZIN Jeremy,KOTB Moatazbellah,3,1,"9,11,11,11|11,7,6,7",,OLYMPICS,U21MS,2031,Qualification,HAZIN Jeremy (CAN),KOTB Moatazbellah (EGY)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,PANG Koen,DANI Mudit,3,0,"11,11,11|7,5,7",,OLYMPICS,U21MS,2031,Qualification,PANG Koen (SGP),DANI Mudit (IND)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,KIM Byunghyeon,KENZHIGULOV Aidos,3,1,"11,11,8,11|3,1,11,6",,OLYMPICS,U21MS,2031,Qualification,KENZHIGULOV Aidos (KAZ),KIM Byunghyeon (KOR)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,HAJILOU Parinaz,KAMATH Archana,3,2,"4,11,11,6,12|11,9,6,11,10",,OLYMPICS,U21WS,2031,Qualification,KAMATH Archana (IND),HAJILOU Parinaz (IRI)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,BOGDANOVA Nadezhda,GARLAPATI Pranitha,3,2,"7,9,11,11,11|11,11,7,7,9",,OLYMPICS,U21WS,2031,Qualification,BOGDANOVA Nadezhda (BLR),GARLAPATI Pranitha (IND)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,ASHTARI Mahshid,ABOUSETTA Sarah,3,2,"8,11,8,11,11|11,6,11,8,9",,OLYMPICS,U21WS,2031,Qualification,ABOUSETTA Sarah (EGY),ASHTARI Mahshid (IRI)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,GOI Rui Xuan,Naina Ms,3,0,"11,11,12|9,7,10",,OLYMPICS,U21WS,2031,Qualification,GOI Rui Xuan (SGP),Naina Ms (IND)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,WONG Xin Ru,ALHODABY Mariam,3,1,"14,9,11,11|12,11,6,4",,OLYMPICS,U21WS,2031,Qualification,ALHODABY Mariam (EGY),WONG Xin Ru (SGP)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,AKASHEVA Zauresh,KARAMI Melika,3,1,"7,11,11,11|11,6,5,5",,OLYMPICS,U21WS,2031,Qualification,AKASHEVA Zauresh (KAZ),KARAMI Melika (IRI)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,PLATONOV Pavel,BU SHULAYBI Abdulaziz,3,0,"11,11,11|7,9,4",,OLYMPICS,MS,2031,Qualification,PLATONOV Pavel (BLR),BU SHULAYBI Abdulaziz (KSA)
ITTF Challenge Plus Oman Open Muscat 2019,2019-03-20,ALLEGRO Martin,ISAKOV Ilya,3,0,"11,11,11|6,7,6",,OLYMPICS,MS,2031,Qualification,ALLEGRO Martin (BEL),ISAKOV Ilya (RUS)
