tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Dusseldorf 2017,2017-05-29,MA Long,BOBOCICA Mihai,4,0,"11,11,11,11|9,5,5,5",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MA Long (CHN),BOBOCICA Mihai (ITA)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,KALLBERG Anton,GHOSH Soumyajit,4,2,"8,8,11,11,14,12|11,11,5,9,12,10",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,KALLBERG Anton (SWE),GHOSH Soumyajit (IND)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,IONESCU Ovidiu,MENGE Gencay,4,0,"11,11,11,11|1,8,9,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,IONESCU Ovidiu (ROU),MENGE Gencay (TUR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LEBESSON Emmanuel,MACHADO Carlos,4,3,"10,11,11,2,12,7,11|12,4,6,11,10,11,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MACHADO Carlos (ESP),LEBESSON Emmanuel (FRA)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,MURAMATSU Yuto,STOYANOV Niagol,4,0,"11,11,11,11|9,9,7,3",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MURAMATSU Yuto (JPN),STOYANOV Niagol (ITA)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,MONTEIRO Joao,GORAK Daniel,4,2,"12,11,11,9,11,14|14,8,7,11,2,12",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GORAK Daniel (POL),MONTEIRO Joao (POR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,JIANG Tianyi,POH Ethan,4,1,"11,11,8,11,11|4,4,11,5,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,JIANG Tianyi (HKG),POH Ethan (SGP)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,CHUANG Chih-Yuan,SIRUCEK Pavel,4,1,"8,11,11,11,11|11,7,9,4,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,SIRUCEK Pavel (CZE),CHUANG Chih-Yuan (TPE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FREITAS Marcos,PAPAGEORGIOU Konstantinos,4,1,"11,11,11,9,11|2,6,8,11,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,FREITAS Marcos (POR),PAPAGEORGIOU Konstantinos (GRE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,ALAMIAN Nima,PITCHFORD Liam,4,3,"8,13,8,11,12,10,11|11,11,11,8,10,12,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ALAMIAN Nima (IRI),PITCHFORD Liam (ENG)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FLORE Tristan,PUCAR Tomislav,4,3,"6,9,11,11,9,12,11|11,11,9,9,11,10,3",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,PUCAR Tomislav (CRO),FLORE Tristan (FRA)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,CHEN Chien-An,TROMER Laurens,4,3,"10,5,11,13,12,10,11|12,11,1,11,10,12,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,TROMER Laurens (NED),CHEN Chien-An (TPE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,JANG Woojin,AFANADOR Brian,4,0,"11,11,11,11|5,9,6,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,JANG Woojin (KOR),AFANADOR Brian (PUR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FRANZISKA Patrick,SEREDA Peter,4,0,"11,11,12,11|3,5,10,4",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,SEREDA Peter (SVK),FRANZISKA Patrick (GER)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,DYJAS Jakub,WALKER Samuel,4,3,"11,7,8,11,11,11,11|9,11,11,13,8,4,8",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,DYJAS Jakub (POL),WALKER Samuel (ENG)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,BOLL Timo,RUMGAY Gavin,4,0,"11,11,11,11|4,4,7,4",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,RUMGAY Gavin (SCO),BOLL Timo (GER)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,MIZUTANI Jun,LAM Siu Hang,4,0,"14,11,11,11|12,5,8,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MIZUTANI Jun (JPN),LAM Siu Hang (HKG)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,HARIMOTO Tomokazu,NUYTINCK Cedric,4,0,"11,11,11,11|8,9,3,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,NUYTINCK Cedric (BEL),HARIMOTO Tomokazu (JPN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,HO Kwan Kit,MINO Alberto,4,0,"11,11,11,12|7,9,9,10",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,HO Kwan Kit (HKG),MINO Alberto (ECU)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LIAO Cheng-Ting,KARLSSON Kristian,4,1,"11,11,12,9,11|9,7,10,11,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,LIAO Cheng-Ting (TPE),KARLSSON Kristian (SWE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,STEGER Bastian,LIN Yun-Ju,4,3,"12,11,7,11,16,8,11|10,3,11,9,18,11,5",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,STEGER Bastian (GER),LIN Yun-Ju (TPE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LAKATOS Tamas,VLASOV Grigory,4,2,"12,6,14,11,10,11|10,11,12,5,12,4",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,LAKATOS Tamas (HUN),VLASOV Grigory (RUS)
