tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Lagos 2026,2026-05-15,STRASSBURGER Victoria,ROBBES Jeanne,3,1,"9,11,11,11|11,9,7,8",GROUP,WTT_FEEDER,WS,3360,Main Draw,STRASSBURGER Victoria (BRA),ROBBES Jeanne (FRA),STRASSBURGER Victoria
WTT Feeder Lagos 2026,2026-05-15,CHEVALLIER Clemence,RIOS Valentina,3,1,"9,11,11,11|11,7,6,8",GROUP,WTT_FEEDER,WS,3360,Main Draw,CHEVALLIER Clemence (FRA),RIOS Valentina (CHI),CHEVALLIER Clemence
WTT Feeder Lagos 2026,2026-05-15,KODET Hanka,MAURER Ludivine,3,0,"11,11,11|4,4,9",GROUP,WTT_FEEDER,WS,3360,Main Draw,KODET Hanka (CZE),MAURER Ludivine (SUI),KODET Hanka
WTT Feeder Lagos 2026,2026-05-15,SASTRE Eugenia,GOMES Leonor,3,1,"11,7,11,11|9,11,8,3",GROUP,WTT_FEEDER,WS,3360,Main Draw,SASTRE Eugenia (ESP),GOMES Leonor (POR),SASTRE Eugenia
WTT Feeder Lagos 2026,2026-05-15,NODIN Alexia,OYENIYI Kehinde,3,0,"11,11,11|2,3,0",GROUP,WTT_FEEDER,WS,3360,Main Draw,NODIN Alexia (FRA),OYENIYI Kehinde (NGR),NODIN Alexia
WTT Feeder Lagos 2026,2026-05-15,GUO ZHENG Nina,MATOS Ines,3,0,"11,11,11|8,5,9",GROUP,WTT_FEEDER,WS,3360,Main Draw,GUO ZHENG Nina (FRA),MATOS Ines (POR),GUO ZHENG Nina
WTT Feeder Lagos 2026,2026-05-15,BRITO Eva,PINTO Beatriz,3,2,"4,11,9,11,11|11,3,11,9,8",GROUP,WTT_FEEDER,WS,3360,Main Draw,BRITO Eva (DOM),PINTO Beatriz (POR),BRITO Eva
WTT Feeder Lagos 2026,2026-05-15,HSU Hsien-Chia,MAGEN Or,3,1,"11,11,5,11|8,5,11,8",GROUP,WTT_FEEDER,MS,3360,Main Draw,HSU Hsien-Chia (TPE),MAGEN Or (ISR),HSU Hsien-Chia
WTT Feeder Lagos 2026,2026-05-15,PINTO Matilde,DAVIDOV Elinor,3,0,"11,14,11|5,12,6",GROUP,WTT_FEEDER,WS,3360,Main Draw,PINTO Matilde (POR),DAVIDOV Elinor (ISR),PINTO Matilde
WTT Feeder Lagos 2026,2026-05-15,LEAL Julia,CASTRO Esmerlyn,3,0,"11,11,11|9,2,7",GROUP,WTT_FEEDER,WS,3360,Main Draw,LEAL Julia (POR),CASTRO Esmerlyn (DOM),LEAL Julia
WTT Feeder Lagos 2026,2026-05-15,LAM Nathan,VEPA Chaitanya,3,1,"8,11,11,11|11,3,3,8",GROUP,WTT_FEEDER,MS,3360,Main Draw,LAM Nathan (FRA),VEPA Chaitanya (SUI),LAM Nathan
WTT Feeder Lagos 2026,2026-05-15,ANTOINE MICHARD Maxime,MAYOROV Ladimir,3,1,"11,4,11,11|6,11,8,9",GROUP,WTT_FEEDER,MS,3360,Main Draw,ANTOINE MICHARD Maxime (FRA),MAYOROV Ladimir (ESP),ANTOINE MICHARD Maxime
WTT Feeder Lagos 2026,2026-05-15,VAN DESSEL Mael,CHAUDHURY Bodhisatwa,3,0,"12,11,11|10,4,8",GROUP,WTT_FEEDER,MS,3360,Main Draw,VAN DESSEL Mael (LUX),CHAUDHURY Bodhisatwa (IND),VAN DESSEL Mael
WTT Feeder Lagos 2026,2026-05-15,DORCESCU Denis,YE Dinis,3,0,"11,11,11|6,3,6",GROUP,WTT_FEEDER,MS,3360,Main Draw,DORCESCU Denis (FRA),YE Dinis (POR),DORCESCU Denis
WTT Feeder Lagos 2026,2026-05-15,PANTOJA Miguel,KONG Rafael,3,1,"11,11,11,11|5,13,9,9",GROUP,WTT_FEEDER,MS,3360,Main Draw,PANTOJA Miguel (ESP),KONG Rafael (POR),PANTOJA Miguel
WTT Feeder Lagos 2026,2026-05-15,DESCHAMPS Hugo,GONCALVES Carlos,3,0,"11,11,11|8,8,3",GROUP,WTT_FEEDER,MS,3360,Main Draw,DESCHAMPS Hugo (FRA),GONCALVES Carlos (POR),DESCHAMPS Hugo
WTT Feeder Lagos 2026,2026-05-15,VOS Eusebio,SOLODKYI Nazarii,3,1,"11,9,11,11|6,11,8,3",GROUP,WTT_FEEDER,MS,3360,Main Draw,VOS Eusebio (CHI),SOLODKYI Nazarii (UKR),VOS Eusebio
WTT Feeder Lagos 2026,2026-05-15,BRARD Romain,GREBENIUK Andrii,3,0,"11,11,11|6,5,5",GROUP,WTT_FEEDER,MS,3360,Main Draw,BRARD Romain (FRA),GREBENIUK Andrii (UKR),BRARD Romain
