tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Düsseldorf 2025,2025-02-11,WOO Hyeonggyu/KIM Seongjin,KIM Daewoo/LEE Daeun,3,2,"11,8,11,7,11|7,11,4,11,3",QR2,WTT_FEEDER,XD,3020,Qualification,WOO Hyeonggyu/KIM Seongjin (KOR),KIM Daewoo/LEE Daeun (KOR),WOO Hyeonggyu/KIM Seongjin
WTT Feeder Düsseldorf 2025,2025-02-11,LI Hon Ming/WONG Hoi Tung,MUTTI Matteo/VIVARELLI Debora,3,2,"11,11,7,7,11|8,6,11,11,9",QR2,WTT_FEEDER,XD,3020,Qualification,LI Hon Ming/WONG Hoi Tung (HKG),MUTTI Matteo/VIVARELLI Debora (ITA),LI Hon Ming/WONG Hoi Tung
WTT Feeder Düsseldorf 2025,2025-02-11,PARK Ganghyeon/YANG Ha Eun,ZALEWSKI Mateusz/WEGRZYN Katarzyna,3,0,"11,11,16|6,8,14",QR2,WTT_FEEDER,XD,3020,Qualification,PARK Ganghyeon/YANG Ha Eun (KOR),ZALEWSKI Mateusz/WEGRZYN Katarzyna (POL),PARK Ganghyeon/YANG Ha Eun
WTT Feeder Düsseldorf 2025,2025-02-11,CHO Seungmin/YOO Siwoo,VALUCH Alexander/JOKIC Tijana,3,0,"11,11,11|4,8,3",QR2,WTT_FEEDER,XD,3020,Qualification,CHO Seungmin/YOO Siwoo (KOR),VALUCH Alexander/JOKIC Tijana (SVK/SRB),CHO Seungmin/YOO Siwoo
WTT Feeder Düsseldorf 2025,2025-02-11,STOLL Loic,KWAK Yu Bin,3,1,"11,6,11,11|9,11,8,5",QR2,WTT_FEEDER,MS,3020,Qualification,STOLL Loic (SUI),KWAK Yu Bin (KOR),STOLL Loic
WTT Feeder Düsseldorf 2025,2025-02-11,HUANG Xunan,HO Jeongmun,3,1,"11,6,11,11|6,11,2,6",QR2,WTT_FEEDER,MS,3020,Qualification,HUANG Xunan (CHN),HO Jeongmun (KOR),HUANG Xunan
WTT Feeder Düsseldorf 2025,2025-02-11,LIN Yen-Chun,LIMONOV Anton,3,0,"11,11,11|7,4,4",QR2,WTT_FEEDER,MS,3020,Qualification,LIN Yen-Chun (TPE),LIMONOV Anton (UKR),LIN Yen-Chun
WTT Feeder Düsseldorf 2025,2025-02-11,NIU Guankai,TAULER Norbert,3,0,"11,11,11|7,4,7",QR2,WTT_FEEDER,MS,3020,Qualification,NIU Guankai (CHN),TAULER Norbert (ESP),NIU Guankai
WTT Feeder Düsseldorf 2025,2025-02-11,KIM Minhyeok,LI Hsin-Yang,3,0,"15,13,11|13,11,7",QR2,WTT_FEEDER,MS,3020,Qualification,KIM Minhyeok (KOR),LI Hsin-Yang (TPE),KIM Minhyeok
WTT Feeder Düsseldorf 2025,2025-02-11,VERDONSCHOT Wim,BERBEN Barry,3,2,"2,11,11,8,11|11,8,3,11,4",QR2,WTT_FEEDER,MS,3020,Qualification,VERDONSCHOT Wim (GER),BERBEN Barry (NED),VERDONSCHOT Wim
