tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Finlandia Open Helsinki 2015,2015-12-03,PLATONOV Pavel,RAGNARSSON Gunnar,4,0,"11,11,11,11|8,2,7,5",R128,WTT_CONTENDER,MS,147,Main Draw,PLATONOV Pavel (BLR),RAGNARSSON Gunnar (ISL)
Finlandia Open Helsinki 2015,2015-12-03,KELBUGANOV Timur,DIXON Xavier,4,1,"11,11,8,11,11|7,4,11,4,4",R128,WTT_CONTENDER,MS,147,Main Draw,KELBUGANOV Timur (KAZ),DIXON Xavier (AUS)
Finlandia Open Helsinki 2015,2015-12-03,ROLLAND Jules,CASARES Rafael,4,0,"12,11,11,11|10,5,4,8",R128,WTT_CONTENDER,MS,147,Main Draw,ROLLAND Jules (FRA),CASARES Rafael (ESP)
Finlandia Open Helsinki 2015,2015-12-03,UDRA Alfredas,SAMSONOV Vladislav,4,2,"11,4,11,11,9,14|5,11,3,8,11,12",R128,WTT_CONTENDER,MS,147,Main Draw,UDRA Alfredas (LTU),SAMSONOV Vladislav (RUS)
Finlandia Open Helsinki 2015,2015-12-03,MENAND Remi,KANTOLA Roope,4,1,"11,6,11,11,11|7,11,8,8,6",R128,WTT_CONTENDER,MS,147,Main Draw,MENAND Remi (FRA),KANTOLA Roope (FIN)
Finlandia Open Helsinki 2015,2015-12-03,UEMURA Keiya,ULUCAK Batuhan,4,0,"11,11,11,11|5,7,6,6",R128,WTT_CONTENDER,MS,147,Main Draw,UEMURA Keiya (JPN),ULUCAK Batuhan (TUR)
Finlandia Open Helsinki 2015,2015-12-03,ERICSON Gustaf,KOHLI Tanuj,4,0,"11,11,11,11|4,2,6,6",R128,WTT_CONTENDER,MS,147,Main Draw,ERICSON Gustaf (SWE),KOHLI Tanuj (IND)
Finlandia Open Helsinki 2015,2015-12-03,OOSTWOUDER Ewout,LEBEDA Michal,4,3,"6,11,9,8,11,16,11|11,3,11,11,7,14,8",R128,WTT_CONTENDER,MS,147,Main Draw,OOSTWOUDER Ewout (NED),LEBEDA Michal (CZE)
Finlandia Open Helsinki 2015,2015-12-03,BARDET Lilian,BOCKOVEN Chase,4,0,"11,11,11,11|3,2,9,4",R128,WTT_CONTENDER,MS,147,Main Draw,BARDET Lilian (FRA),BOCKOVEN Chase (USA)
Finlandia Open Helsinki 2015,2015-12-03,LAANE Lauri,JAFARZADE Jafar,4,0,"11,11,11,11|8,2,7,6",R128,WTT_CONTENDER,MS,147,Main Draw,LAANE Lauri (EST),JAFARZADE Jafar (AZE)
Finlandia Open Helsinki 2015,2015-12-03,QIAN Cheng,FRANCO Carlos,4,0,"11,11,11,11|5,8,8,6",R128,WTT_CONTENDER,MS,147,Main Draw,QIAN Cheng (ITA),FRANCO Carlos (ESP)
Finlandia Open Helsinki 2015,2015-12-03,SWARTENBROUCKX Gaetan,AUTIO Riku,4,1,"11,6,11,11,11|9,11,7,9,8",R128,WTT_CONTENDER,MS,147,Main Draw,SWARTENBROUCKX Gaetan (BEL),AUTIO Riku (FIN)
Finlandia Open Helsinki 2015,2015-12-03,BATOCCHI Hugo,VENDE Gael,4,3,"11,10,11,7,11,8,11|5,12,7,11,8,11,6",R128,WTT_CONTENDER,MS,147,Main Draw,BATOCCHI Hugo (FRA),VENDE Gael (SUI)
Finlandia Open Helsinki 2015,2015-12-03,FRIIS Martin,MOAVRO Sebastian,4,2,"11,11,4,11,13,11|5,4,11,8,15,6",R128,WTT_CONTENDER,MS,147,Main Draw,FRIIS Martin (SWE),MOAVRO Sebastian (ARG)
Finlandia Open Helsinki 2015,2015-12-03,ISMAILOV Sadi,TOMLINSON Simon,4,1,"11,9,11,13,11|5,11,9,11,3",R128,WTT_CONTENDER,MS,147,Main Draw,ISMAILOV Sadi (RUS),TOMLINSON Simon (JAM)
Finlandia Open Helsinki 2015,2015-12-03,NIELSEN Claus,CAPELLO Benjy,4,3,"7,5,11,4,15,11,12|11,11,6,11,13,5,10",R128,WTT_CONTENDER,MS,147,Main Draw,NIELSEN Claus (DEN),CAPELLO Benjy (FRA)
Finlandia Open Helsinki 2015,2015-12-03,OCONNOR Miikka,NILSSON Melker,4,2,"6,11,12,12,11,11|11,6,14,10,9,7",R128,WTT_CONTENDER,MS,147,Main Draw,OCONNOR Miikka (FIN),NILSSON Melker (SWE)
Finlandia Open Helsinki 2015,2015-12-03,MERINGDAL Fredrik,MARKHABAYEV Deas,4,2,"11,9,12,11,8,11|8,11,10,7,11,8",R128,WTT_CONTENDER,MS,147,Main Draw,MERINGDAL Fredrik (NOR),MARKHABAYEV Deas (KAZ)
