tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Beirut II 2024,2024-03-22,CAMPOS Jorge/FONSECA CARRAZANA Daniela,SHAH Manush Utpalbhai/CHITALE Diya Parag,3,2,"11,8,4,11,11|4,11,11,8,8",R16,WTT_FEEDER,XD,2894,Main Draw,CAMPOS Jorge/FONSECA CARRAZANA Daniela (CUB),SHAH Manush Utpalbhai/CHITALE Diya Parag (IND)
WTT Feeder Beirut II 2024,2024-03-22,GUNDUZ Ibrahim/ALTINKAYA Sibel,BEN ATTIA Youssef/HANFFOU Sarah,3,1,"12,11,9,11|10,6,11,1",R16,WTT_FEEDER,XD,2894,Main Draw,GUNDUZ Ibrahim/ALTINKAYA Sibel (TUR),BEN ATTIA Youssef/HANFFOU Sarah (TUN/CMR)
WTT Feeder Beirut II 2024,2024-03-22,PAL Akash/BAISYA Poymantee,KHARKI Iskender/ROMANOVSKAYA Angelina,3,0,"11,11,11|6,9,2",R16,WTT_FEEDER,XD,2894,Main Draw,PAL Akash/BAISYA Poymantee (IND),KHARKI Iskender/ROMANOVSKAYA Angelina (KAZ)
WTT Feeder Beirut II 2024,2024-03-22,JOUTI Eric,AGUIRRE Marcelo,3,1,"15,6,11,16|13,11,7,14",R32,WTT_FEEDER,MS,2894,Main Draw,JOUTI Eric (BRA),AGUIRRE Marcelo (PAR)
WTT Feeder Beirut II 2024,2024-03-22,LEVAJAC Dimitrije/LUPULESKU Izabela,KENZHIGULOV Aidos/AKASHEVA Zauresh,3,1,"9,13,11,13|11,11,7,11",R16,WTT_FEEDER,XD,2894,Main Draw,LEVAJAC Dimitrije/LUPULESKU Izabela (SRB),KENZHIGULOV Aidos/AKASHEVA Zauresh (KAZ)
WTT Feeder Beirut II 2024,2024-03-22,MLADENOVIC Luka/NI Xia Lian,CHAMBET-WEIL Remi/WANI Sayali,3,0,"11,11,12|8,6,10",R16,WTT_FEEDER,XD,2894,Main Draw,MLADENOVIC Luka/NI Xia Lian (LUX),CHAMBET-WEIL Remi/WANI Sayali (NED/IND)
WTT Feeder Beirut II 2024,2024-03-22,GNANASEKARAN Sathiyan/BATRA Manika,ZHUBANOV Sanzhar/BAKHYT Anel,3,0,"11,11,11|7,7,5",R16,WTT_FEEDER,XD,2894,Main Draw,GNANASEKARAN Sathiyan/BATRA Manika (IND),ZHUBANOV Sanzhar/BAKHYT Anel (KAZ)
WTT Feeder Beirut II 2024,2024-03-22,GERASSIMENKO Kirill,HODAEI Amir Hossein,3,1,"11,9,12,11|4,11,10,7",R32,WTT_FEEDER,MS,2894,Main Draw,GERASSIMENKO Kirill (KAZ),HODAEI Amir Hossein (IRI)
WTT Feeder Beirut II 2024,2024-03-22,THAKKAR Manav Vikash/KAMATH Archana Girish,KURMANGALIYEV Alan/MIRKADIROVA Sarvinoz,3,1,"11,8,11,13|7,11,5,11",R16,WTT_FEEDER,XD,2894,Main Draw,THAKKAR Manav Vikash/KAMATH Archana Girish (IND),KURMANGALIYEV Alan/MIRKADIROVA Sarvinoz (KAZ)
WTT Feeder Beirut II 2024,2024-03-22,ZAKHAROV Vladislav/ASHKEYEVA Aray,CHANDRA Jeet/SELVAKUMAR Selena,3,0,"11,11,11|9,5,8",R16,WTT_FEEDER,XD,2894,Main Draw,ZAKHAROV Vladislav/ASHKEYEVA Aray (KAZ),CHANDRA Jeet/SELVAKUMAR Selena (IND)
WTT Feeder Beirut II 2024,2024-03-22,DESAI Harmeet,FARAJI Benyamin,3,2,"11,13,9,11,11|9,11,11,13,7",R32,WTT_FEEDER,MS,2894,Main Draw,DESAI Harmeet (IND),FARAJI Benyamin (IRI)
WTT Feeder Beirut II 2024,2024-03-22,GIONIS Panagiotis,SHAMS Navid,3,0,"11,11,11|7,7,2",R32,WTT_FEEDER,MS,2894,Main Draw,GIONIS Panagiotis (GRE),SHAMS Navid (IRI)
WTT Feeder Beirut II 2024,2024-03-22,PEREIRA Andy,CHANDRA Jeet,3,0,"11,11,11|6,8,9",R32,WTT_FEEDER,MS,2894,Main Draw,PEREIRA Andy (CUB),CHANDRA Jeet (IND)
WTT Feeder Beirut II 2024,2024-03-22,MONTEIRO Joao,HARB Bassel,3,0,"11,12,11|3,10,4",R32,WTT_FEEDER,MS,2894,Main Draw,MONTEIRO Joao (POR),HARB Bassel (LBN)
WTT Feeder Beirut II 2024,2024-03-22,AFANADOR Brian,KURMANGALIYEV Alan,3,1,"9,11,11,12|11,9,8,10",R32,WTT_FEEDER,MS,2894,Main Draw,AFANADOR Brian (PUR),KURMANGALIYEV Alan (KAZ)
WTT Feeder Beirut II 2024,2024-03-22,NUYTINCK Cedric,DANI Mudit,3,0,"11,11,11|9,7,7",R32,WTT_FEEDER,MS,2894,Main Draw,NUYTINCK Cedric (BEL),DANI Mudit (IND)
WTT Feeder Beirut II 2024,2024-03-22,MLADENOVIC Luka,SURAVAJJULA Snehit,3,2,"11,3,8,11,11|8,11,11,9,3",R32,WTT_FEEDER,MS,2894,Main Draw,MLADENOVIC Luka (LUX),SURAVAJJULA Snehit (IND)
WTT Feeder Beirut II 2024,2024-03-22,HELMY Mahmoud,PAL Akash,3,2,"6,12,11,6,17|11,10,9,11,15",R32,WTT_FEEDER,MS,2894,Main Draw,HELMY Mahmoud (EGY),PAL Akash (IND)
WTT Feeder Beirut II 2024,2024-03-22,STOYANOV Niagol,FAHES Ahmad,3,0,"11,11,11|9,2,2",R32,WTT_FEEDER,MS,2894,Main Draw,STOYANOV Niagol (ITA),FAHES Ahmad (LBN)
WTT Feeder Beirut II 2024,2024-03-22,GNANASEKARAN Sathiyan,SHAH Manush Utpalbhai,3,0,"11,11,11|9,7,3",R32,WTT_FEEDER,MS,2894,Main Draw,GNANASEKARAN Sathiyan (IND),SHAH Manush Utpalbhai (IND)
WTT Feeder Beirut II 2024,2024-03-22,AN Jaehyun,LEVAJAC Dimitrije,3,2,"3,11,9,11,11|11,7,11,1,1",R32,WTT_FEEDER,MS,2894,Main Draw,AN Jaehyun (KOR),LEVAJAC Dimitrije (SRB)
WTT Feeder Beirut II 2024,2024-03-22,BURGOS Nicolas,GUNDUZ Ibrahim,3,1,"11,8,11,11|8,11,5,7",R32,WTT_FEEDER,MS,2894,Main Draw,BURGOS Nicolas (CHI),GUNDUZ Ibrahim (TUR)
WTT Feeder Beirut II 2024,2024-03-22,CHUANG Chih-Yuan,CAMPOS Jorge,3,0,"11,11,11|8,3,8",R32,WTT_FEEDER,MS,2894,Main Draw,CHUANG Chih-Yuan (TPE),CAMPOS Jorge (CUB)
WTT Feeder Beirut II 2024,2024-03-22,ALLEGRO Martin,ZAKHAROV Vladislav,3,0,"11,11,11|8,4,4",R32,WTT_FEEDER,MS,2894,Main Draw,ALLEGRO Martin (BEL),ZAKHAROV Vladislav (KAZ)
WTT Feeder Beirut II 2024,2024-03-22,MALOBABIC Ivana,KHADJIEVA Rozalina,3,1,"12,11,11,11|14,3,9,6",R32,WTT_FEEDER,WS,2894,Main Draw,MALOBABIC Ivana (CRO),KHADJIEVA Rozalina (UZB)
WTT Feeder Beirut II 2024,2024-03-22,ROY Krittwika,SHAO Jieni,3,0,"15,11,12|13,9,10",R32,WTT_FEEDER,WS,2894,Main Draw,ROY Krittwika (IND),SHAO Jieni (POR)
WTT Feeder Beirut II 2024,2024-03-22,CHEN Szu-Yu,DAS Priyadarshini,3,0,"11,11,11|4,9,9",R32,WTT_FEEDER,WS,2894,Main Draw,CHEN Szu-Yu (TPE),DAS Priyadarshini (IND)
WTT Feeder Beirut II 2024,2024-03-22,CHITALE Diya Parag,HANFFOU Sarah,3,0,"11,11,11|7,8,4",R32,WTT_FEEDER,WS,2894,Main Draw,CHITALE Diya Parag (IND),HANFFOU Sarah (CMR)
WTT Feeder Beirut II 2024,2024-03-22,ZHU Chengzhu,NAINA Ms.,3,0,"12,11,11|10,7,8",R32,WTT_FEEDER,WS,2894,Main Draw,ZHU Chengzhu (HKG),NAINA Ms. (IND)
WTT Feeder Beirut II 2024,2024-03-22,NI Xia Lian,ASHKEYEVA Aray,3,0,"11,11,11|7,6,5",R32,WTT_FEEDER,WS,2894,Main Draw,NI Xia Lian (LUX),ASHKEYEVA Aray (KAZ)
WTT Feeder Beirut II 2024,2024-03-22,DE NUTTE Sarah,EL HABECH Mariam,3,0,"11,11,11|4,6,6",R32,WTT_FEEDER,WS,2894,Main Draw,DE NUTTE Sarah (LUX),EL HABECH Mariam (LBN)
WTT Feeder Beirut II 2024,2024-03-22,ALTINKAYA Sibel,BAISYA Poymantee,3,0,"11,11,11|4,2,8",R32,WTT_FEEDER,WS,2894,Main Draw,ALTINKAYA Sibel (TUR),BAISYA Poymantee (IND)
WTT Feeder Beirut II 2024,2024-03-22,KAMATH Archana Girish,MASSART Lilou,3,0,"11,11,11|7,6,3",R32,WTT_FEEDER,WS,2894,Main Draw,KAMATH Archana Girish (IND),MASSART Lilou (BEL)
WTT Feeder Beirut II 2024,2024-03-22,HUANG Yi-Hua,WANI Sayali,3,0,"11,11,11|7,4,5",R32,WTT_FEEDER,WS,2894,Main Draw,HUANG Yi-Hua (TPE),WANI Sayali (IND)
WTT Feeder Beirut II 2024,2024-03-22,LIU Hsing-Yin,MANTZ Chantal,3,1,"4,11,11,11|11,8,7,3",R32,WTT_FEEDER,WS,2894,Main Draw,LIU Hsing-Yin (TPE),MANTZ Chantal (GER)
WTT Feeder Beirut II 2024,2024-03-22,SUH Hyo Won,SELVAKUMAR Selena,3,0,"11,11,11|8,6,5",R32,WTT_FEEDER,WS,2894,Main Draw,SUH Hyo Won (KOR),SELVAKUMAR Selena (IND)
WTT Feeder Beirut II 2024,2024-03-22,DOO Hoi Kem,EL HABECH Yasmina,3,0,"11,11,11|2,9,1",R32,WTT_FEEDER,WS,2894,Main Draw,DOO Hoi Kem (HKG),EL HABECH Yasmina (LBN)
WTT Feeder Beirut II 2024,2024-03-22,AKULA Sreeja,FONSECA CARRAZANA Daniela,3,0,"11,11,11|5,5,7",R32,WTT_FEEDER,WS,2894,Main Draw,AKULA Sreeja (IND),FONSECA CARRAZANA Daniela (CUB)
WTT Feeder Beirut II 2024,2024-03-22,BALAZOVA Barbora,MAGDIEVA Markhabo,3,0,"11,11,11|5,4,6",R32,WTT_FEEDER,WS,2894,Main Draw,BALAZOVA Barbora (SVK),MAGDIEVA Markhabo (UZB)
WTT Feeder Beirut II 2024,2024-03-22,LUPULESKU Izabela,YAHNIAN Lori,3,0,"11,11,11|3,2,4",R32,WTT_FEEDER,WS,2894,Main Draw,LUPULESKU Izabela (SRB),YAHNIAN Lori (LBN)
WTT Feeder Beirut II 2024,2024-03-22,HABACH SaadEddine/HABACH Mohamed Nour,FAHES Ghaleb/HARB Bassel,3,0,"11,11,11|4,9,9",R16,WTT_FEEDER,MD,2894,Main Draw,HABACH SaadEddine/HABACH Mohamed Nour (LBN),FAHES Ghaleb/HARB Bassel (LBN)
WTT Feeder Beirut II 2024,2024-03-22,GUBRAN Ebrahim/FARAJI Benyamin,ABDALLAH Karim/SAFADIEH Bassam,3,0,"11,11,11|9,7,5",R16,WTT_FEEDER,MD,2894,Main Draw,GUBRAN Ebrahim/FARAJI Benyamin (YEM/IRI),ABDALLAH Karim/SAFADIEH Bassam (LBN)
WTT Feeder Beirut II 2024,2024-03-22,DANI Mudit/PAL Akash,ZAKHAROV Vladislav/ZHUBANOV Sanzhar,3,1,"11,7,11,11|7,11,6,2",R16,WTT_FEEDER,MD,2894,Main Draw,DANI Mudit/PAL Akash (IND),ZAKHAROV Vladislav/ZHUBANOV Sanzhar (KAZ)
WTT Feeder Beirut II 2024,2024-03-22,KENZHIGULOV Aidos/KURMANGALIYEV Alan,BAYROUTI Mohammad/RADI Antony,3,0,"11,11,11|5,7,3",R16,WTT_FEEDER,MD,2894,Main Draw,KENZHIGULOV Aidos/KURMANGALIYEV Alan (KAZ),BAYROUTI Mohammad/RADI Antony (LBN)
