tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pro Tour German Open Berlin 2010,2010-03-18,MA Long,TREGLER Tomas,4,0,"11,11,11,11|5,5,3,6",R64,GRAND_SLAM,MS,53,Main Draw,MA Long (CHN),TREGLER Tomas (CZE),MA Long
Pro Tour German Open Berlin 2010,2010-03-18,LEE Sang Su,KAN Yo,4,3,"1,12,4,11,9,11,11|11,10,11,8,11,8,7",R64,GRAND_SLAM,MS,53,Main Draw,LEE Sang Su (KOR),KAN Yo (JPN),LEE Sang Su
Pro Tour German Open Berlin 2010,2010-03-18,PRIMORAC Zoran,SEREDA Peter,4,1,"11,11,7,11,12|8,9,11,9,10",R64,GRAND_SLAM,MS,53,Main Draw,PRIMORAC Zoran (CRO),SEREDA Peter (SVK),PRIMORAC Zoran
Pro Tour German Open Berlin 2010,2010-03-18,OH Sangeun,YANG Zi,4,2,"4,11,11,14,9,11|11,7,5,12,11,3",R64,GRAND_SLAM,MS,53,Main Draw,OH Sangeun (KOR),YANG Zi (SGP),OH Sangeun
Pro Tour German Open Berlin 2010,2010-03-18,XU Xin,BARDON Michal,4,1,"11,11,11,10,11|6,7,9,12,8",R64,GRAND_SLAM,MS,53,Main Draw,XU Xin (CHN),BARDON Michal (SVK),XU Xin
Pro Tour German Open Berlin 2010,2010-03-18,GIONIS Panagiotis,KARAKASEVIC Aleksandar,4,2,"11,9,11,6,11,11|8,11,8,11,6,9",R64,GRAND_SLAM,MS,53,Main Draw,GIONIS Panagiotis (GRE),KARAKASEVIC Aleksandar (SRB),GIONIS Panagiotis
Pro Tour German Open Berlin 2010,2010-03-18,GACINA Andrej,CRISAN Adrian,4,1,"11,3,11,11,11|7,11,7,5,8",R64,GRAND_SLAM,MS,53,Main Draw,GACINA Andrej (CRO),CRISAN Adrian (ROU),GACINA Andrej
Pro Tour German Open Berlin 2010,2010-03-18,OVTCHAROV Dimitrij,TUGWELL Finn,4,1,"10,11,14,13,11|12,6,12,11,7",R64,GRAND_SLAM,MS,53,Main Draw,OVTCHAROV Dimitrij (GER),TUGWELL Finn (DEN),OVTCHAROV Dimitrij
Pro Tour German Open Berlin 2010,2010-03-18,CHEN Qi,APOLONIA Tiago,4,2,"11,11,11,9,11,11|6,13,6,11,7,5",R64,GRAND_SLAM,MS,53,Main Draw,CHEN Qi (CHN),APOLONIA Tiago (POR),CHEN Qi
Pro Tour German Open Berlin 2010,2010-03-18,PROKOPCOV Dmitrij,LUNDQVIST Jens,4,2,"11,6,11,13,8,11|9,11,6,11,11,5",R64,GRAND_SLAM,MS,53,Main Draw,PROKOPCOV Dmitrij (CZE),LUNDQVIST Jens (SWE),PROKOPCOV Dmitrij
