tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,SAMSONOV Vladimir,JEVTOVIC Marko,4,1,"11,11,11,11,11|3,1,13,5,4",QR8,OLYMPICS,MS,174,Qualification,SAMSONOV Vladimir (BLR),JEVTOVIC Marko (SRB),SAMSONOV Vladimir
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,CRISAN Adrian,HE Zhiwen,4,2,"7,11,11,8,11,11|11,8,3,11,7,5",QR8,OLYMPICS,MS,174,Qualification,CRISAN Adrian (ROU),HE Zhiwen (ESP),CRISAN Adrian
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,OLAH Benedek,PISTEJ Lubomir,4,2,"5,9,12,11,11,11|11,11,10,7,8,8",QR8,OLYMPICS,MS,174,Qualification,OLAH Benedek (FIN),PISTEJ Lubomir (SVK),OLAH Benedek
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,GIONIS Panagiotis,RECH DALDOSSO Marco,4,0,"11,11,12,11|8,6,10,8",QR8,OLYMPICS,MS,174,Qualification,RECH DALDOSSO Marco (ITA),GIONIS Panagiotis (GRE),GIONIS Panagiotis
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,SAMSONOV Vladimir,CRISAN Adrian,4,1,"11,12,13,11,11|13,10,11,6,5",QR4,OLYMPICS,MS,174,Qualification,SAMSONOV Vladimir (BLR),CRISAN Adrian (ROU),SAMSONOV Vladimir
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,GIONIS Panagiotis,OLAH Benedek,4,0,"12,11,11,12|10,6,9,10",QR4,OLYMPICS,MS,174,Qualification,OLAH Benedek (FIN),GIONIS Panagiotis (GRE),GIONIS Panagiotis
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,GIONIS Panagiotis,SAMSONOV Vladimir,4,1,"11,8,11,12,12|7,11,8,10,10",QR2,OLYMPICS,MS,174,Qualification,SAMSONOV Vladimir (BLR),GIONIS Panagiotis (GRE),GIONIS Panagiotis
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,BOLL Timo,PLATONOV Pavel,4,0,"11,11,11,11|2,7,5,4",QR8,OLYMPICS,MS,174,Qualification,BOLL Timo (GER),PLATONOV Pavel (BLR),BOLL Timo
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,DEVOS Robin,JANCARIK Lubomir,4,0,"11,11,11,11|8,9,8,9",QR8,OLYMPICS,MS,174,Qualification,DEVOS Robin (BEL),JANCARIK Lubomir (CZE),DEVOS Robin
ITTF European Olympic Qualification Tournament Halmstad 2016,2016-04-12,ROBLES Alvaro,PATTANTYUS Adam,4,0,"11,11,11,11|7,4,2,4",QR8,OLYMPICS,MS,174,Qualification,PATTANTYUS Adam (HUN),ROBLES Alvaro (ESP),ROBLES Alvaro
