tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2017 European Championships Qualification 4th round 2016,2016-12-13,RASMUSSEN Tobias,LEVENKO Andreas,3,2,"13,3,12,9,12|11,11,10,11,10",,OTHER,MT,519,Qualification,RASMUSSEN Tobias (DEN),LEVENKO Andreas (AUT)
2017 European Championships Qualification 4th round 2016,2016-12-13,LIND Anders,PFEFFER Simon,3,0,"11,11,11|9,7,6",,OTHER,MT,519,Qualification,LIND Anders (DEN),PFEFFER Simon (AUT)
2017 European Championships Qualification 4th round 2016,2016-12-13,NIELSEN Claus,SERDAROGLU David,3,2,"12,8,11,13,11|10,11,9,15,6",,OTHER,MT,519,Qualification,NIELSEN Claus (DEN),SERDAROGLU David (AUT)
2017 European Championships Qualification 4th round 2016,2016-12-13,WALTHER Ricardo,CHAMPOD Nicolas,3,0,"11,11,11|6,6,3",,OTHER,MT,519,Qualification,CHAMPOD Nicolas (SUI),WALTHER Ricardo (GER)
2017 European Championships Qualification 4th round 2016,2016-12-13,DUDA Benedikt,VENDE Gael,3,0,"11,13,11|4,11,5",,OTHER,MT,519,Qualification,VENDE Gael (SUI),DUDA Benedikt (GER)
2017 European Championships Qualification 4th round 2016,2016-12-13,ORT Kilian,POSCH Lars,3,0,"11,11,11|7,8,5",,OTHER,MT,519,Qualification,POSCH Lars (SUI),ORT Kilian (GER)
2017 European Championships Qualification 4th round 2016,2016-12-13,OUAICHE Stephane,NAUMI Alex,3,0,"13,11,11|11,5,5",,OTHER,MT,519,Qualification,NAUMI Alex (FIN),OUAICHE Stephane (ALG)
2017 European Championships Qualification 4th round 2016,2016-12-13,BROSSIER Benjamin,OCONNOR Miikka,3,0,"11,11,11|8,7,7",,OTHER,MT,519,Qualification,OCONNOR Miikka (FIN),BROSSIER Benjamin (FRA)
2017 European Championships Qualification 4th round 2016,2016-12-13,FLORE Tristan,FLEMMING Veikka,3,0,"11,11,11|2,5,2",,OTHER,MT,519,Qualification,FLEMMING Veikka (FIN),FLORE Tristan (FRA)
2017 European Championships Qualification 4th round 2016,2016-12-13,PLATONOV Pavel,BEN ARI Omri,3,0,"10,11,11,5,12|12,7,3,11,10",,OTHER,MT,519,Qualification,BEN ARI Omri (ISR),PLATONOV Pavel (BLR)
2017 European Championships Qualification 4th round 2016,2016-12-13,KHANIN Aleksandr,DAVIDOVITZ Ron,3,0,"11,12,11|5,10,9",,OTHER,MT,519,Qualification,DAVIDOVITZ Ron (ISR),KHANIN Aleksandr (BLR)
2017 European Championships Qualification 4th round 2016,2016-12-13,SHAMRUK Gleb,SHARON Yaniv,3,0,"7,11,12,11,11|11,13,10,9,8",,OTHER,MT,519,Qualification,SHARON Yaniv (ISR),SHAMRUK Gleb (BLR)
2017 European Championships Qualification 4th round 2016,2016-12-13,ARVIDSSON Simon,VAINULA Vallot,3,0,"11,6,11,11|7,11,5,7",,OTHER,MT,519,Qualification,VAINULA Vallot (EST),ARVIDSSON Simon (SWE)
2017 European Championships Qualification 4th round 2016,2016-12-13,FRANZEN Alexander,LIBENE Toomas,3,0,"11,11,11|4,5,8",,OTHER,MT,519,Qualification,LIBENE Toomas (EST),FRANZEN Alexander (SWE)
2017 European Championships Qualification 4th round 2016,2016-12-13,SODERLUND Hampus,SAAREMAE Rivo,3,0,"11,11,11|7,6,3",,OTHER,MT,519,Qualification,SAAREMAE Rivo (EST),SODERLUND Hampus (SWE)
2017 European Championships Qualification 4th round 2016,2016-12-13,STANKEVICIUS Medardas,CHEN Diogo,3,2,"15,11,9,7,14|13,9,11,11,12",,OTHER,MT,519,Qualification,STANKEVICIUS Medardas (LTU),CHEN Diogo (POR)
