tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Singles Qualification Tournament Doha 2021,2021-03-14,KENJAEV Zokhid,STOYANOV Niagol,4,1,"11,14,11,9,11|8,12,9,11,3",R32,OTHER,MS,2210,Main Draw,KENJAEV Zokhid (UZB),STOYANOV Niagol (ITA)
World Singles Qualification Tournament Doha 2021,2021-03-14,NAYRE Jann Mari,KOGANS Daniels,4,1,"11,8,11,11,11|4,11,9,4,2",R32,OTHER,MS,2210,Main Draw,NAYRE Jann Mari (PHI),KOGANS Daniels (LAT)
World Singles Qualification Tournament Doha 2021,2021-03-14,KNIGHT Tyrese,ALDMAISY Zeyad,4,1,"11,11,11,8,11|5,4,7,11,7",R32,OTHER,MS,2210,Main Draw,KNIGHT Tyrese (BAR),ALDMAISY Zeyad (JOR)
World Singles Qualification Tournament Doha 2021,2021-03-14,JANCARIK Lubomir,MUTUA Brian,4,0,"11,11,11,11|4,3,7,1",R32,OTHER,MS,2210,Main Draw,JANCARIK Lubomir (CZE),MUTUA Brian (KEN)
World Singles Qualification Tournament Doha 2021,2021-03-14,LY Edward,GIARDI Federico,4,1,"11,11,11,7,11|3,1,8,11,6",R32,OTHER,MS,2210,Main Draw,LY Edward (CAN),GIARDI Federico (SMR)
World Singles Qualification Tournament Doha 2021,2021-03-14,CHEW Clarence,ALI Kanate,4,0,"0,0,0,0|0,0,0,0",R32,OTHER,MS,2210,Main Draw,CHEW Clarence (SGP),ALI Kanate (CIV)
World Singles Qualification Tournament Doha 2021,2021-03-14,ENKHBAT Lkhagvasuren,ALAMIAN Nima,4,0,"11,11,11,11|3,1,4,1",R32,OTHER,MS,2210,Main Draw,ENKHBAT Lkhagvasuren (MGL),ALAMIAN Nima (IRI)
World Singles Qualification Tournament Doha 2021,2021-03-14,OLAH Benedek,BIENATIKI Christ,4,0,"11,11,11,11|7,5,4,3",R32,OTHER,MS,2210,Main Draw,OLAH Benedek (FIN),BIENATIKI Christ (CGO)
World Singles Qualification Tournament Doha 2021,2021-03-14,LAMBIET Florent,AL-MOHANNADI Ahmad Khalil,4,0,"13,13,11,11|11,11,5,7",QR32,OTHER,MS,2210,Qualification,LAMBIET Florent (BEL),AL-MOHANNADI Ahmad Khalil (QAT)
World Singles Qualification Tournament Doha 2021,2021-03-14,PANG Koen,SGOUROPOULOS Ioannis,4,2,"12,11,3,11,6,12|10,9,11,5,11,10",QR32,OTHER,MS,2210,Qualification,PANG Koen (SGP),SGOUROPOULOS Ioannis (GRE)
World Singles Qualification Tournament Doha 2021,2021-03-14,BOBOCICA Mihai,MINO Alberto,4,1,"11,11,11,8,11|7,5,7,11,9",QR32,OTHER,MS,2210,Qualification,BOBOCICA Mihai (ITA),MINO Alberto (ECU)
World Singles Qualification Tournament Doha 2021,2021-03-14,GONZALEZ Daniel,LIND Anders,4,1,"12,11,11,11,11|10,8,5,13,7",QR32,OTHER,MS,2210,Qualification,GONZALEZ Daniel (PUR),LIND Anders (DEN)
World Singles Qualification Tournament Doha 2021,2021-03-14,OBA Oba Kizito,KHOLIKOV Elmurod,4,1,"7,11,11,11,11|11,7,9,7,9",QR32,OTHER,MS,2210,Qualification,OBA Oba Kizito (CIV),KHOLIKOV Elmurod (UZB)
World Singles Qualification Tournament Doha 2021,2021-03-14,YIGENLER Abdullah,ABO YAMAN Zaid,4,2,"14,11,6,14,9,11|12,8,11,12,11,9",QR32,OTHER,MS,2210,Qualification,YIGENLER Abdullah (TUR),ABO YAMAN Zaid (JOR)
World Singles Qualification Tournament Doha 2021,2021-03-14,BU SHULAYBI Abdulaziz,SIDORENKO Vladimir,4,1,"7,11,11,11,12|11,4,8,9,10",QR32,OTHER,MS,2210,Qualification,BU SHULAYBI Abdulaziz (KSA),SIDORENKO Vladimir (RUS)
World Singles Qualification Tournament Doha 2021,2021-03-14,MISAL John Russel,KARAM Salim,4,0,"0,0,0,0|0,0,0,0",QR32,OTHER,MS,2210,Qualification,MISAL John Russel (PHI),KARAM Salim (MAR)
World Singles Qualification Tournament Doha 2021,2021-03-14,KHANIN Aleksandr,ABDULWAHHAB Mohammed,4,0,"11,12,11,11|3,10,4,6",R32,OTHER,MS,2210,Main Draw,KHANIN Aleksandr (BLR),ABDULWAHHAB Mohammed (QAT)
World Singles Qualification Tournament Doha 2021,2021-03-14,AFANADOR Brian,NUYTINCK Cedric,4,2,"11,11,9,9,11,11|6,9,11,11,8,9",R32,OTHER,MS,2210,Main Draw,AFANADOR Brian (PUR),NUYTINCK Cedric (BEL)
World Singles Qualification Tournament Doha 2021,2021-03-14,KULCZYCKI Samuel,SZUDI Adam,4,2,"13,11,8,8,15,11|11,9,11,11,13,6",R32,OTHER,MS,2210,Main Draw,KULCZYCKI Samuel (POL),SZUDI Adam (HUN)
World Singles Qualification Tournament Doha 2021,2021-03-14,CANTERO Jesus,PLETEA Cristian,4,0,"11,11,11,11|8,9,3,7",R32,OTHER,MS,2210,Main Draw,CANTERO Jesus (ESP),PLETEA Cristian (ROU)
