tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Suzhou 2015,2015-04-26,MA Long,ALAMIYAN Noshad,4,0,"11,11,11,12|7,1,3,10",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MA Long (CHN),ALAMIYAN Noshad (IRI)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEBESSON Emmanuel,KARLSSON Mattias,4,2,"11,11,13,11,9,11|9,7,15,6,11,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KARLSSON Mattias (SWE),LEBESSON Emmanuel (FRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,VLASOV Grigory,NUYTINCK Cedric,4,2,"11,7,11,6,11,11|6,11,6,11,2,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,VLASOV Grigory (RUS),NUYTINCK Cedric (BEL)
World Table Tennis Championships Suzhou 2015,2015-04-26,GIONIS Panagiotis,PISTEJ Lubomir,4,0,"11,12,11,11|9,10,5,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,PISTEJ Lubomir (SVK),GIONIS Panagiotis (GRE)
World Table Tennis Championships Suzhou 2015,2015-04-26,APOLONIA Tiago,ALTO Gaston,4,1,"7,11,11,11,11|11,3,6,6,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,APOLONIA Tiago (POR),ALTO Gaston (ARG)
World Table Tennis Championships Suzhou 2015,2015-04-26,PITCHFORD Liam,KREANGA Kalinikos,4,2,"7,11,11,10,11,11|11,5,5,12,7,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KREANGA Kalinikos (GRE),PITCHFORD Liam (ENG)
World Table Tennis Championships Suzhou 2015,2015-04-26,HABESOHN Daniel,ELBEIALI Mohamed,4,1,"7,11,12,11,11|11,9,10,8,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,HABESOHN Daniel (AUT),ELBEIALI Mohamed (EGY)
World Table Tennis Championships Suzhou 2015,2015-04-26,JOO Saehyuk,LAKATOS Tamas,4,2,"11,11,11,11,7,11|8,9,13,2,11,3",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,LAKATOS Tamas (HUN),JOO Saehyuk (KOR)
World Table Tennis Championships Suzhou 2015,2015-04-26,TANG Peng,AGUIRRE Marcelo,4,0,"11,11,11,11|5,6,3,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TANG Peng (HKG),AGUIRRE Marcelo (PAR)
World Table Tennis Championships Suzhou 2015,2015-04-26,BOBOCICA Mihai,KOLAREK Tomislav,4,2,"11,10,11,8,11,11|4,12,8,11,5,2",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KOLAREK Tomislav (CRO),BOBOCICA Mihai (ITA)
World Table Tennis Championships Suzhou 2015,2015-04-26,FEGERL Stefan,BURGIS Matiss,4,0,"13,11,11,11|11,8,3,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FEGERL Stefan (AUT),BURGIS Matiss (LAT)
World Table Tennis Championships Suzhou 2015,2015-04-26,GARDOS Robert,NOROOZI Afshin,4,1,"6,11,11,11,11|11,3,6,8,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,NOROOZI Afshin (IRI),GARDOS Robert (AUT)
World Table Tennis Championships Suzhou 2015,2015-04-26,ASSAR Omar,CHEW Clarence,4,2,"11,11,8,8,11,11|6,8,11,11,5,4",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ASSAR Omar (EGY),CHEW Clarence (SGP)
World Table Tennis Championships Suzhou 2015,2015-04-26,HUANG Sheng-Sheng,TORIOLA Segun,4,3,"11,11,11,9,7,6,11|8,7,1,11,11,11,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TORIOLA Segun (NGR),HUANG Sheng-Sheng (TPE)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su,KENJAEV Zokhid,4,0,"11,11,11,11|1,5,4,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,LEE Sang Su (KOR),KENJAEV Zokhid (UZB)
World Table Tennis Championships Suzhou 2015,2015-04-26,OVTCHAROV Dimitrij,TANVIRIYAVECHAKUL Padasak,4,1,"11,11,11,11,11|6,2,5,13,3",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TANVIRIYAVECHAKUL Padasak (THA),OVTCHAROV Dimitrij (GER)
World Table Tennis Championships Suzhou 2015,2015-04-26,BOLL Timo,MACHADO Carlos,4,0,"11,11,11,11|7,7,5,3",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,BOLL Timo (GER),MACHADO Carlos (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,DYJAS Jakub,HE Zhiwen,4,3,"11,11,8,10,12,8,11|8,6,11,12,10,11,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,DYJAS Jakub (POL),HE Zhiwen (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,KARLSSON Kristian,STOYANOV Niagol,4,0,"11,11,11,11|7,8,5,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KARLSSON Kristian (SWE),STOYANOV Niagol (ITA)
World Table Tennis Championships Suzhou 2015,2015-04-26,MONTEIRO Joao,RECH DALDOSSO Marco,4,2,"5,6,11,11,11,11|11,11,9,7,4,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,RECH DALDOSSO Marco (ITA),MONTEIRO Joao (POR)
World Table Tennis Championships Suzhou 2015,2015-04-26,GROTH Jonathan,MATSUDAIRA Kenta,4,3,"11,8,7,11,14,3,11|8,11,11,6,12,11,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MATSUDAIRA Kenta (JPN),GROTH Jonathan (DEN)
World Table Tennis Championships Suzhou 2015,2015-04-26,JANCARIK Lubomir,TOKIC Bojan,4,0,"11,11,13,11|8,8,11,9",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,JANCARIK Lubomir (CZE),TOKIC Bojan (SLO)
World Table Tennis Championships Suzhou 2015,2015-04-26,DRINKHALL Paul,SCHMID Elia,4,0,"11,11,11,11|1,4,1,1",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,DRINKHALL Paul (ENG),SCHMID Elia (SUI)
World Table Tennis Championships Suzhou 2015,2015-04-26,WONG Chun Ting,BEN ARI Omri,4,0,"11,11,11,11|2,9,7,1",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,BEN ARI Omri (ISR),WONG Chun Ting (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,NIWA Koki,JAKAB Janos,4,0,"11,11,11,11|4,2,8,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,NIWA Koki (JPN),JAKAB Janos (HUN)
World Table Tennis Championships Suzhou 2015,2015-04-26,WANG Zengyi,KARAKASEVIC Aleksandar,4,3,"11,12,11,10,11,11,11|13,14,8,12,7,9,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KARAKASEVIC Aleksandar (SRB),WANG Zengyi (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,JIANG Tianyi,PETO Zsolt,4,0,"11,11,11,11|4,8,2,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,JIANG Tianyi (HKG),PETO Zsolt (SRB)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHEN Chien-An,DEVOS Robin,4,1,"11,13,11,8,11|7,11,6,11,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,DEVOS Robin (BEL),CHEN Chien-An (TPE)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Minseok,ALAMIAN Nima,4,1,"9,11,11,11,11|11,6,9,5,2",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KIM Minseok (KOR),ALAMIAN Nima (IRI)
World Table Tennis Championships Suzhou 2015,2015-04-26,GORAK Daniel,TAUBER Michael,4,2,"5,11,3,11,16,11|11,7,11,7,14,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TAUBER Michael (ISR),GORAK Daniel (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHIANG Hung-Chieh,POWELL David,4,1,"11,11,9,11,11|3,9,11,6,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CHIANG Hung-Chieh (TPE),POWELL David (AUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,FAN Zhendong,CIOTI Constantin,4,0,"12,11,11,11|10,5,9,4",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CIOTI Constantin (ROU),FAN Zhendong (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,ZHANG Jike,IONESCU Ovidiu,4,1,"11,11,11,4,11|5,8,3,11,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ZHANG Jike (CHN),IONESCU Ovidiu (ROU)
