tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Düsseldorf III 2022,2022-11-22,SERDAROGLU David,SANCHI Francisco,3,2,"2,13,11,8,11|11,11,8,11,3",QR3,WTT_FEEDER,MS,2658,Qualification,SERDAROGLU David (AUT),SANCHI Francisco (ARG)
WTT Feeder Düsseldorf III 2022,2022-11-22,HUANG Yan-Cheng,SHETTY Sanil,3,2,"10,11,4,11,11|12,6,11,6,5",QR3,WTT_FEEDER,MS,2658,Qualification,HUANG Yan-Cheng (TPE),SHETTY Sanil (IND)
WTT Feeder Düsseldorf III 2022,2022-11-22,GIOVANNETTI Tommaso,VILARDELL Albert,3,0,"11,13,11|8,11,8",QR3,WTT_FEEDER,MS,2658,Qualification,GIOVANNETTI Tommaso (ITA),VILARDELL Albert (ESP)
WTT Feeder Düsseldorf III 2022,2022-11-22,KOZUL Deni,MARTINKO Jiri,3,0,"12,11,11|10,6,5",QR3,WTT_FEEDER,MS,2658,Qualification,KOZUL Deni (SLO),MARTINKO Jiri (CZE)
WTT Feeder Düsseldorf III 2022,2022-11-22,GOMEZ Gustavo,GLOD Eric,3,1,"11,11,8,11|8,8,11,7",QR3,WTT_FEEDER,MS,2658,Qualification,GOMEZ Gustavo (CHI),GLOD Eric (LUX)
WTT Feeder Düsseldorf III 2022,2022-11-22,BAN Ivor,JIN Takuya,3,2,"4,11,9,11,11|11,7,11,4,7",QR3,WTT_FEEDER,MS,2658,Qualification,BAN Ivor (CRO),JIN Takuya (JPN)
WTT Feeder Düsseldorf III 2022,2022-11-22,ZHMUDENKO Yaroslav,GERASSIMENKO Timofey,3,0,"11,11,11|9,3,3",QR3,WTT_FEEDER,MS,2658,Qualification,ZHMUDENKO Yaroslav (UKR),GERASSIMENKO Timofey (KAZ)
WTT Feeder Düsseldorf III 2022,2022-11-22,URSU Vladislav,HAMADA Kazuki,3,0,"11,11,12|7,8,10",QR3,WTT_FEEDER,MS,2658,Qualification,URSU Vladislav (MDA),HAMADA Kazuki (JPN)
WTT Feeder Düsseldorf III 2022,2022-11-22,MINO Alberto/PAREDES Nathaly,HUANG Yan-Cheng/LIU Hsing-Yin,3,2,"5,11,11,7,11|11,7,7,11,8",QR1,WTT_FEEDER,XD,2658,Qualification,MINO Alberto/PAREDES Nathaly (ECU),HUANG Yan-Cheng/LIU Hsing-Yin (TPE)
WTT Feeder Düsseldorf III 2022,2022-11-22,CHO Daeseong/LEE Zion,PICCOLIN Jordy/VIVARELLI Debora,3,0,"11,14,11|5,12,5",QR1,WTT_FEEDER,XD,2658,Qualification,CHO Daeseong/LEE Zion (KOR),PICCOLIN Jordy/VIVARELLI Debora (ITA)
WTT Feeder Düsseldorf III 2022,2022-11-22,SHETTY Sanil/TENNISON Reeth,GLOD Eric/GONDERINGER Tessy,3,1,"11,2,11,14|4,11,5,12",QR1,WTT_FEEDER,XD,2658,Qualification,SHETTY Sanil/TENNISON Reeth (IND),GLOD Eric/GONDERINGER Tessy (LUX)
WTT Feeder Düsseldorf III 2022,2022-11-22,BURGOS Nicolas/VEGA Paulina,OYEBODE John/ARLIA Nicole,3,0,"11,11,11|8,7,6",QR1,WTT_FEEDER,XD,2658,Qualification,BURGOS Nicolas/VEGA Paulina (CHI),OYEBODE John/ARLIA Nicole (ITA)
WTT Feeder Düsseldorf III 2022,2022-11-22,GHOSH Swastika,BRATEYKO Solomiya,3,2,"11,11,11,6,11|7,13,5,11,9",,WTT_FEEDER,WS,2658,Qualification,GHOSH Swastika (IND),BRATEYKO Solomiya (UKR)
WTT Feeder Düsseldorf III 2022,2022-11-22,LEE Hoi Man Karen,MARCHETTI Nathalie,3,1,"11,11,7,11|6,8,11,5",,WTT_FEEDER,WS,2658,Qualification,LEE Hoi Man Karen (HKG),MARCHETTI Nathalie (BEL)
WTT Feeder Düsseldorf III 2022,2022-11-22,HUANG Yu-Wen,MIGOT Marie,3,0,"11,11,11|9,9,8",,WTT_FEEDER,WS,2658,Qualification,HUANG Yu-Wen (TPE),MIGOT Marie (FRA)
WTT Feeder Düsseldorf III 2022,2022-11-22,TOLIOU Aikaterini,YOON Hyobin,3,0,"11,11,11|6,5,6",,WTT_FEEDER,WS,2658,Qualification,TOLIOU Aikaterini (GRE),YOON Hyobin (KOR)
WTT Feeder Düsseldorf III 2022,2022-11-22,VIVARELLI Debora,YILMAZ Ozge,3,0,"11,14,11|7,12,2",,WTT_FEEDER,WS,2658,Qualification,VIVARELLI Debora (ITA),YILMAZ Ozge (TUR)
WTT Feeder Düsseldorf III 2022,2022-11-22,MUSKANTOR Rebecca,TOFANT Ana,3,1,"11,13,19,12|6,11,21,10",,WTT_FEEDER,WS,2658,Qualification,MUSKANTOR Rebecca (SWE),TOFANT Ana (SLO)
