tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Cappadocia II 2026,2026-04-08,AL TAHER Abdulrahman,ALSUWAILEM Salem,3,2,"11,8,2,11,11|7,11,11,8,7",GROUP,WTT_FEEDER,MS,3373,Main Draw,AL TAHER Abdulrahman (KSA),ALSUWAILEM Salem (KSA)
WTT Feeder Cappadocia II 2026,2026-04-08,SGOUROPOULOS Ioannis,HANIFA Yousuf,3,0,"11,11,11|4,7,4",GROUP,WTT_FEEDER,MS,3373,Main Draw,SGOUROPOULOS Ioannis (GRE),HANIFA Yousuf (KSA)
WTT Feeder Cappadocia II 2026,2026-04-08,JANG Seongil,OZTOPRAK Berk,3,0,"11,11,11|7,6,7",GROUP,WTT_FEEDER,MS,3373,Main Draw,JANG Seongil (KOR),OZTOPRAK Berk (TUR)
WTT Feeder Cappadocia II 2026,2026-04-08,TAHER Omar,KAUCKY Jakub,3,2,"6,11,11,11,11|11,6,13,9,9",GROUP,WTT_FEEDER,MS,3373,Main Draw,TAHER Omar (IRQ),KAUCKY Jakub (CZE)
WTT Feeder Cappadocia II 2026,2026-04-08,URSUT Horia Stefan,ALSHAREIF Khalid,3,1,"11,8,12,11|3,11,10,6",GROUP,WTT_FEEDER,MS,3373,Main Draw,URSUT Horia Stefan (ROU),ALSHAREIF Khalid (KSA)
WTT Feeder Cappadocia II 2026,2026-04-08,CLOSSET Tom,KIHO Keisuke,3,1,"11,11,4,11|8,8,11,6",GROUP,WTT_FEEDER,MS,3373,Main Draw,CLOSSET Tom (BEL),KIHO Keisuke (JPN)
WTT Feeder Cappadocia II 2026,2026-04-08,JANG Seongil,KAHRAMAN Kenan,3,2,"11,14,10,11,11|6,16,12,7,7",GROUP,WTT_FEEDER,MS,3373,Main Draw,JANG Seongil (KOR),KAHRAMAN Kenan (TUR)
WTT Feeder Cappadocia II 2026,2026-04-08,AL TAHER Abdulrahman,HANIFA Yousuf,3,1,"7,11,12,13|11,9,10,11",GROUP,WTT_FEEDER,MS,3373,Main Draw,AL TAHER Abdulrahman (KSA),HANIFA Yousuf (KSA)
WTT Feeder Cappadocia II 2026,2026-04-08,SGOUROPOULOS Ioannis,ALSUWAILEM Salem,3,1,"7,11,11,11|11,5,4,4",GROUP,WTT_FEEDER,MS,3373,Main Draw,SGOUROPOULOS Ioannis (GRE),ALSUWAILEM Salem (KSA)
WTT Feeder Cappadocia II 2026,2026-04-08,SZANTOSI David,URSUT Horia Stefan,3,0,"11,11,12|8,8,10",GROUP,WTT_FEEDER,MS,3373,Main Draw,SZANTOSI David (HUN),URSUT Horia Stefan (ROU)
