tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Croatian Open Zagreb 2007,2007-01-16,LIN Tao,SEREDA Tomas,4,3,"6,13,8,11,14,11,11|11,11,11,9,16,3,6",,GRAND_SLAM,MS,1819,Qualification,LIN Tao (CRO),SEREDA Tomas (SVK)
Croatian Open Zagreb 2007,2007-01-16,GARDOS Robert,LIN Tao,4,1,"11,9,11,11,11|9,11,5,2,5",QR2,GRAND_SLAM,MS,1819,Qualification,GARDOS Robert (AUT),LIN Tao (CRO)
Croatian Open Zagreb 2007,2007-01-16,GARDOS Robert,SEREDA Tomas,4,1,"12,11,12,7,11|10,8,10,11,9",3,GRAND_SLAM,MS,1819,Qualification,GARDOS Robert (AUT),SEREDA Tomas (SVK)
Croatian Open Zagreb 2007,2007-01-16,HORVAT Mitja,TOMASI Stefano,4,2,"5,11,9,11,11,11|11,7,11,8,5,6",,GRAND_SLAM,MS,1819,Qualification,HORVAT Mitja (SLO),TOMASI Stefano (ITA)
Croatian Open Zagreb 2007,2007-01-16,LUNDQVIST Jens,TOMASI Stefano,4,2,"9,11,11,15,11,11|11,6,6,17,7,7",QR2,GRAND_SLAM,MS,1819,Qualification,LUNDQVIST Jens (SWE),TOMASI Stefano (ITA)
Croatian Open Zagreb 2007,2007-01-16,LUNDQVIST Jens,HORVAT Mitja,4,0,"11,12,11,11|8,10,4,6",3,GRAND_SLAM,MS,1819,Qualification,LUNDQVIST Jens (SWE),HORVAT Mitja (SLO)
Croatian Open Zagreb 2007,2007-01-16,PICHLER Michael,KUCHUK Aleksandr,4,3,"8,6,11,11,5,11,12|11,11,7,3,11,8,10",,GRAND_SLAM,MS,1819,Qualification,PICHLER Michael (AUT),KUCHUK Aleksandr (BLR)
Croatian Open Zagreb 2007,2007-01-16,YANG Zi,KUCHUK Aleksandr,4,0,"11,11,11,11|3,6,2,7",QR2,GRAND_SLAM,MS,1819,Qualification,YANG Zi (SGP),KUCHUK Aleksandr (BLR)
Croatian Open Zagreb 2007,2007-01-16,YANG Zi,PICHLER Michael,4,1,"11,7,11,11,11|5,11,5,5,4",3,GRAND_SLAM,MS,1819,Qualification,YANG Zi (SGP),PICHLER Michael (AUT)
Croatian Open Zagreb 2007,2007-01-16,MALICKI Szymon,HABESOHN Mathias,4,0,"11,11,11,13|7,8,9,11",,GRAND_SLAM,MS,1819,Qualification,MALICKI Szymon (POL),HABESOHN Mathias (AUT)
Croatian Open Zagreb 2007,2007-01-16,STEGER Bastian,HABESOHN Mathias,4,3,"6,10,11,9,11,11,11|11,12,6,11,5,9,8",QR2,GRAND_SLAM,MS,1819,Qualification,STEGER Bastian (GER),HABESOHN Mathias (AUT)
