tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Parma 2025,2025-11-29,PICU Maria,BEZEG Reka,3,1,"11,9,11,13|8,11,7,11",QR1,WTT_FEEDER,WS,3059,Qualification,PICU Maria (ITA),BEZEG Reka (SRB),PICU Maria
WTT Feeder Parma 2025,2025-11-29,MINURRI Sofia,PAWELEC Zuzanna,3,1,"11,11,7,11|7,7,11,7",QR1,WTT_FEEDER,WS,3059,Qualification,MINURRI Sofia (ITA),PAWELEC Zuzanna (POL),MINURRI Sofia
WTT Feeder Parma 2025,2025-11-29,LEE Daeun,RODRIGUEZ Angela,3,0,"15,11,11|13,9,7",QR1,WTT_FEEDER,WS,3059,Qualification,LEE Daeun (KOR),RODRIGUEZ Angela (ESP),LEE Daeun
WTT Feeder Parma 2025,2025-11-29,LEE Seungeun,SANCHI Candela,3,1,"11,9,11,11|3,11,1,5",QR1,WTT_FEEDER,WS,3059,Qualification,LEE Seungeun (KOR),SANCHI Candela (ITA),LEE Seungeun
WTT Feeder Parma 2025,2025-11-29,LEAL Julia,ABO-YAMAN Taimmaa,3,0,"13,11,11|11,4,5",QR1,WTT_FEEDER,WS,3059,Qualification,LEAL Julia (POR),ABO-YAMAN Taimmaa (JOR),LEAL Julia
WTT Feeder Parma 2025,2025-11-29,ZAKRZEWSKA Agata,AGNONE MAIARA,3,0,"11,11,11|7,4,8",QR1,WTT_FEEDER,WS,3059,Qualification,ZAKRZEWSKA Agata (POL),AGNONE MAIARA (BRA),ZAKRZEWSKA Agata
WTT Feeder Parma 2025,2025-11-29,KHARKI Iskender,RASANEN Aleksi,3,1,"11,12,8,11|8,10,11,7",QR1,WTT_FEEDER,MS,3059,Qualification,KHARKI Iskender (KAZ),RASANEN Aleksi (FIN),KHARKI Iskender
WTT Feeder Parma 2025,2025-11-29,ETIM Orok,SANCHI Tomas,3,2,"6,11,11,9,11|11,3,6,11,9",QR1,WTT_FEEDER,MS,3059,Qualification,ETIM Orok (NGR),SANCHI Tomas (ITA),ETIM Orok
WTT Feeder Parma 2025,2025-11-29,KIM Daewoo,BHANJA Ronit,3,1,"12,11,4,11|10,3,11,9",QR1,WTT_FEEDER,MS,3059,Qualification,KIM Daewoo (KOR),BHANJA Ronit (IND),KIM Daewoo
WTT Feeder Parma 2025,2025-11-29,ZALEWSKI Mateusz,RAGNI Lorenzo,3,1,"11,12,6,11|4,10,11,7",QR1,WTT_FEEDER,MS,3059,Qualification,ZALEWSKI Mateusz (POL),RAGNI Lorenzo (SMR),ZALEWSKI Mateusz
