tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Belarus Open Minsk 2011,2011-06-02,KRIVOSHEEV Viacheslav,PLATONOV Pavel,3,0,,,WTT_CONTENDER,MS,712,Qualification,KRIVOSHEEV Viacheslav (RUS),PLATONOV Pavel (BLR)
Belarus Open Minsk 2011,2011-06-02,DE VRIES Boris,KOURILTCHIK Nikita,3,0,,,WTT_CONTENDER,MS,712,Qualification,DE VRIES Boris (NED),KOURILTCHIK Nikita (BLR)
Belarus Open Minsk 2011,2011-06-02,PLATONOV Pavel,KOURILTCHIK Nikita,3,0,,,WTT_CONTENDER,MS,712,Qualification,PLATONOV Pavel (BLR),KOURILTCHIK Nikita (BLR)
Belarus Open Minsk 2011,2011-06-02,KRIVOSHEEV Viacheslav,NOVOTA Samuel,3,0,,,WTT_CONTENDER,MS,712,Qualification,KRIVOSHEEV Viacheslav (RUS),NOVOTA Samuel (SVK)
Belarus Open Minsk 2011,2011-06-02,PLATONOV Pavel,NOVOTA Samuel,3,0,,,WTT_CONTENDER,MS,712,Qualification,PLATONOV Pavel (BLR),NOVOTA Samuel (SVK)
Belarus Open Minsk 2011,2011-06-02,KRIVOSHEEV Viacheslav,DE VRIES Boris,3,0,,,WTT_CONTENDER,MS,712,Qualification,KRIVOSHEEV Viacheslav (RUS),DE VRIES Boris (NED)
Belarus Open Minsk 2011,2011-06-02,PLATONOV Pavel,DE VRIES Boris,3,0,,,WTT_CONTENDER,MS,712,Qualification,PLATONOV Pavel (BLR),DE VRIES Boris (NED)
Belarus Open Minsk 2011,2011-06-02,NOVOTA Samuel,KOURILTCHIK Nikita,3,0,,,WTT_CONTENDER,MS,712,Qualification,NOVOTA Samuel (SVK),KOURILTCHIK Nikita (BLR)
Belarus Open Minsk 2011,2011-06-02,DE VRIES Boris,NOVOTA Samuel,3,0,,,WTT_CONTENDER,MS,712,Qualification,DE VRIES Boris (NED),NOVOTA Samuel (SVK)
Belarus Open Minsk 2011,2011-06-02,KRIVOSHEEV Viacheslav,KOURILTCHIK Nikita,3,0,,,WTT_CONTENDER,MS,712,Qualification,KRIVOSHEEV Viacheslav (RUS),KOURILTCHIK Nikita (BLR)
Belarus Open Minsk 2011,2011-06-02,PAIKOV Mikhail,YARASHENKA Vadim,3,0,,,WTT_CONTENDER,MS,712,Qualification,PAIKOV Mikhail (RUS),YARASHENKA Vadim (BLR)
Belarus Open Minsk 2011,2011-06-02,PLATTNER Dominique,AFANASENKA Siarhei,3,0,,,WTT_CONTENDER,MS,712,Qualification,PLATTNER Dominique (AUT),AFANASENKA Siarhei (BLR)
Belarus Open Minsk 2011,2011-06-02,PAIKOV Mikhail,AFANASENKA Siarhei,3,0,,,WTT_CONTENDER,MS,712,Qualification,PAIKOV Mikhail (RUS),AFANASENKA Siarhei (BLR)
Belarus Open Minsk 2011,2011-06-02,TER LUUN Casper,YARASHENKA Vadim,3,0,,,WTT_CONTENDER,MS,712,Qualification,TER LUUN Casper (NED),YARASHENKA Vadim (BLR)
Belarus Open Minsk 2011,2011-06-02,PAIKOV Mikhail,TER LUUN Casper,3,0,,,WTT_CONTENDER,MS,712,Qualification,PAIKOV Mikhail (RUS),TER LUUN Casper (NED)
Belarus Open Minsk 2011,2011-06-02,PLATTNER Dominique,YARASHENKA Vadim,3,0,,,WTT_CONTENDER,MS,712,Qualification,PLATTNER Dominique (AUT),YARASHENKA Vadim (BLR)
Belarus Open Minsk 2011,2011-06-02,PAIKOV Mikhail,PLATTNER Dominique,3,0,,,WTT_CONTENDER,MS,712,Qualification,PAIKOV Mikhail (RUS),PLATTNER Dominique (AUT)
Belarus Open Minsk 2011,2011-06-02,TER LUUN Casper,AFANASENKA Siarhei,3,0,,,WTT_CONTENDER,MS,712,Qualification,TER LUUN Casper (NED),AFANASENKA Siarhei (BLR)
