tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pro Tour Indian Open New Delhi 2010,2010-06-16,HUANG Sheng-Sheng/WU Chih-Chi,HIELSCHER Lars/MENGEL Steffen,4,3,"11,6,8,11,6,11,11|3,11,11,6,11,2,5",R16,GRAND_SLAM,MD,55,Main Draw,HUANG Sheng-Sheng (TPE) / WU Chih-Chi (TPE),HIELSCHER Lars (GER) / MENGEL Steffen (GER),HUANG Sheng-Sheng
Pro Tour Indian Open New Delhi 2010,2010-06-16,IONESCU Ovidiu/MATSUDAIRA Kenji,NANDI Anirban/SHETTY Sanil,4,1,"14,11,4,11,11|12,7,11,6,9",R16,GRAND_SLAM,MD,55,Main Draw,IONESCU Ovidiu (ROU) / MATSUDAIRA Kenji (JPN),NANDI Anirban (IND) / SHETTY Sanil (IND),IONESCU Ovidiu
Pro Tour Indian Open New Delhi 2010,2010-06-16,JEOUNG Youngsik/KIM Minseok,KUMAR Jubin/ROY Soumyadeep,4,0,"11,11,11,11|5,6,6,4",R16,GRAND_SLAM,MD,55,Main Draw,JEOUNG Youngsik (KOR) / KIM Minseok (KOR),KUMAR Jubin (IND) / ROY Soumyadeep (IND),JEOUNG Youngsik
Pro Tour Indian Open New Delhi 2010,2010-06-16,ACHANTA Sharath/SAHA Subhajit,CAI Xiaoli/LIU Zhongze,4,3,"3,8,11,11,11,7,12|11,11,9,2,5,11,10",R16,GRAND_SLAM,MD,55,Main Draw,ACHANTA Sharath (IND) / SAHA Subhajit (IND),CAI Xiaoli (SGP) / LIU Zhongze (SGP),ACHANTA Sharath
Pro Tour Indian Open New Delhi 2010,2010-06-16,DESAI Harmeet/KARIA Devesh,BAUM Patrick/OVTCHAROV Dimitrij,4,0,"11,11,11,11|6,6,3,9",R16,GRAND_SLAM,MD,55,Main Draw,DESAI Harmeet (IND) / KARIA Devesh (IND),BAUM Patrick (GER) / OVTCHAROV Dimitrij (GER),DESAI Harmeet
Pro Tour Indian Open New Delhi 2010,2010-06-16,ACHANTA Sharath/SAHA Subhajit,DESAI Harmeet/KARIA Devesh,4,2,"11,11,5,10,11,11|8,8,11,12,4,8",QF,GRAND_SLAM,MD,55,Main Draw,ACHANTA Sharath (IND) / SAHA Subhajit (IND),DESAI Harmeet (IND) / KARIA Devesh (IND),ACHANTA Sharath
Pro Tour Indian Open New Delhi 2010,2010-06-16,CAI Xiaoli/LIU Zhongze,GHOSH Soumyajit/GNANASEKARAN Sathiyan,3,1,"11,11,8,11|7,6,11,7",QR16,GRAND_SLAM,MD,55,Qualification,CAI Xiaoli (SGP) / LIU Zhongze (SGP),GHOSH Soumyajit (IND) / GNANASEKARAN Sathiyan (IND),CAI Xiaoli
Pro Tour Indian Open New Delhi 2010,2010-06-16,HUANG Sheng-Sheng/WU Chih-Chi,ANTHONY Amalraj/CHAKRABORTY Sourav,3,0,"11,11,11|5,7,6",QR16,GRAND_SLAM,MD,55,Qualification,HUANG Sheng-Sheng (TPE) / WU Chih-Chi (TPE),ANTHONY Amalraj (IND) / CHAKRABORTY Sourav (IND),HUANG Sheng-Sheng
Pro Tour Indian Open New Delhi 2010,2010-06-16,ROGIERS Benjamin/VOSTES Yannick,HAN Jimin/YOO Hoonsuk,4,1,"8,11,11,11,11|11,9,5,7,5",R16,GRAND_SLAM,MD,55,Main Draw,ROGIERS Benjamin (BEL) / VOSTES Yannick (BEL),HAN Jimin (KOR) / YOO Hoonsuk (KOR),ROGIERS Benjamin
Pro Tour Indian Open New Delhi 2010,2010-06-16,LEE Sang Su/SEO Hyundeok,CHEN Chien-An/YEH Chih-Wei,4,1,"11,11,14,8,11|8,9,12,11,9",R16,GRAND_SLAM,MD,55,Main Draw,LEE Sang Su (KOR) / SEO Hyundeok (KOR),CHEN Chien-An (TPE) / YEH Chih-Wei (TPE),LEE Sang Su
