tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
JOOLA European Nations League Standard 2010,2010-09-05,ZAFOSTNIK Gregor,MOHLER Nicola,3,0,,GROUP,OTHER,MT,1970,Main Draw,ZAFOSTNIK Gregor (SLO),MOHLER Nicola (SUI)
JOOLA European Nations League Standard 2010,2010-09-05,GIONIS Panagiotis,BAST Mike,3,0,,GROUP,OTHER,MT,1970,Main Draw,GIONIS Panagiotis (GRE),BAST Mike (LUX)
JOOLA European Nations League Standard 2010,2010-09-05,PAPAGEORGIOU Konstantinos,CIOCIU Traian,3,0,,GROUP,OTHER,MT,1970,Main Draw,PAPAGEORGIOU Konstantinos (GRE),CIOCIU Traian (LUX)
JOOLA European Nations League Standard 2010,2010-09-05,RINIOTIS Anastasios,MICHELY Gilles,3,0,,GROUP,OTHER,MT,1970,Main Draw,RINIOTIS Anastasios (GRE),MICHELY Gilles (LUX)
JOOLA European Nations League Standard 2010,2010-09-05,ZIBRAT Jan,TRUMMLER Linus,3,0,,GROUP,OTHER,MT,1970,Main Draw,ZIBRAT Jan (SLO),TRUMMLER Linus (SUI)
JOOLA European Nations League Standard 2010,2010-09-05,HORVAT Mitja,ALTERMATT Marc,3,0,,GROUP,OTHER,MT,1970,Main Draw,HORVAT Mitja (SLO),ALTERMATT Marc (SUI)
JOOLA European Nations League Standard 2010,2010-09-05,DRINKHALL Paul,BEN ARI Omri,3,0,,GROUP,OTHER,MT,1970,Main Draw,DRINKHALL Paul (ENG),BEN ARI Omri (ISR)
JOOLA European Nations League Standard 2010,2010-09-05,REED Daniel,ABRAMOV Isaak,3,0,,GROUP,OTHER,MT,1970,Main Draw,REED Daniel (ENG),ABRAMOV Isaak (ISR)
JOOLA European Nations League Standard 2010,2010-09-05,KNIGHT Darius,RABINOVICH Shimon,3,0,,GROUP,OTHER,MT,1970,Main Draw,KNIGHT Darius (ENG),RABINOVICH Shimon (ISR)
JOOLA European Nations League Standard 2010,2010-09-05,VANG Bora,SILVA Diogo,3,0,,GROUP,OTHER,MT,1970,Main Draw,VANG Bora (TUR),SILVA Diogo (POR)
JOOLA European Nations League Standard 2010,2010-09-05,MENDES Enio,MENGE Gencay,3,0,,GROUP,OTHER,MT,1970,Main Draw,MENDES Enio (POR),MENGE Gencay (TUR)
JOOLA European Nations League Standard 2010,2010-09-05,JIANG Pengfei,SILVA Andre,3,0,,GROUP,OTHER,MT,1970,Main Draw,JIANG Pengfei (TUR),SILVA Andre (POR)
JOOLA European Nations League Standard 2010,2010-09-05,MENDES Enio,VANG Bora,3,0,,GROUP,OTHER,MT,1970,Main Draw,MENDES Enio (POR),VANG Bora (TUR)
JOOLA European Nations League Standard 2010,2010-09-05,MICHELY Gilles,ROPOSA Bojan,3,0,,GROUP,OTHER,MT,1970,Main Draw,MICHELY Gilles (LUX),ROPOSA Bojan (SLO)
JOOLA European Nations League Standard 2010,2010-09-05,ZIBRAT Jan,BAST Mike,3,0,,GROUP,OTHER,MT,1970,Main Draw,ZIBRAT Jan (SLO),BAST Mike (LUX)
JOOLA European Nations League Standard 2010,2010-09-05,ZAFOSTNIK Gregor,JACHEC David,3,0,,GROUP,OTHER,MT,1970,Main Draw,ZAFOSTNIK Gregor (SLO),JACHEC David (LUX)
JOOLA European Nations League Standard 2010,2010-09-05,ZIBRAT Jan,MICHELY Gilles,3,0,,GROUP,OTHER,MT,1970,Main Draw,ZIBRAT Jan (SLO),MICHELY Gilles (LUX)
JOOLA European Nations League Standard 2010,2010-09-05,BURGIS Matiss,SLODEJ Matic,3,0,,GROUP,OTHER,MT,1970,Main Draw,BURGIS Matiss (LAT),SLODEJ Matic (SLO)
JOOLA European Nations League Standard 2010,2010-09-05,ZIBRAT Jan,KARTUZOVS Olegs,3,0,,GROUP,OTHER,MT,1970,Main Draw,ZIBRAT Jan (SLO),KARTUZOVS Olegs (LAT)
JOOLA European Nations League Standard 2010,2010-09-05,ZAFOSTNIK Gregor,VASILJEVS Sandijs,3,0,,GROUP,OTHER,MT,1970,Main Draw,ZAFOSTNIK Gregor (SLO),VASILJEVS Sandijs (LAT)
JOOLA European Nations League Standard 2010,2010-09-05,BURGIS Matiss,ZIBRAT Jan,3,0,,GROUP,OTHER,MT,1970,Main Draw,BURGIS Matiss (LAT),ZIBRAT Jan (SLO)
JOOLA European Nations League Standard 2010,2010-09-05,CIOCIU Traian,ALTERMATT Marc,3,0,,GROUP,OTHER,MT,1970,Main Draw,CIOCIU Traian (LUX),ALTERMATT Marc (SUI)
