tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Islamic Solidarity Games Riyadh 2025,2025-11-08,HARAC Ece,BILLINGY Jasmine,4,0,"11,11,11,11|2,4,3,7",R32,OTHER,WS,3456,Main Draw,HARAC Ece (TUR),BILLINGY Jasmine (GUY)
Islamic Solidarity Games Riyadh 2025,2025-11-08,SAFAEI Shima,ALKHAYYAT Dana,4,0,"11,11,11,11|3,3,2,7",R32,OTHER,WS,3456,Main Draw,ALKHAYYAT Dana (BRN),SAFAEI Shima (IRI)
Islamic Solidarity Games Riyadh 2025,2025-11-08,NURMATOVA Marziyya,ALDHAFEERI Ameerah,4,1,"4,11,11,11,11|11,8,6,5,9",R32,OTHER,WS,3456,Main Draw,NURMATOVA Marziyya (AZE),ALDHAFEERI Ameerah (KSA)
Islamic Solidarity Games Riyadh 2025,2025-11-08,ZAZA Hend,SAHAKIAN Mariana,4,0,"11,12,11,11|6,10,9,8",R32,OTHER,WS,3456,Main Draw,SAHAKIAN Mariana (LBN),ZAZA Hend (SYR)
Islamic Solidarity Games Riyadh 2025,2025-11-08,SOMA Sonam,KOULAOUINHI Lorenza,4,3,"8,6,8,11,11,11,11|11,11,11,6,8,9,5",R32,OTHER,WS,3456,Main Draw,KOULAOUINHI Lorenza (CMR),SOMA Sonam (BAN)
Islamic Solidarity Games Riyadh 2025,2025-11-08,NANGONZI Judith,SUMAYAI Amiri,4,0,"11,12,11,13|8,10,5,11",R32,OTHER,WS,3456,Main Draw,SUMAYAI Amiri (TJK),NANGONZI Judith (UGA)
Islamic Solidarity Games Riyadh 2025,2025-11-08,EDGHILL Chelsea,NAZIM Aishath,4,3,"13,6,6,11,10,11,11|11,11,11,3,12,9,9",R32,OTHER,WS,3456,Main Draw,NAZIM Aishath (MDV),EDGHILL Chelsea (GUY)
Islamic Solidarity Games Riyadh 2025,2025-11-08,FATHY Hend,MURATALIEVA Raiana,4,0,"11,11,11,11|5,2,5,6",R32,OTHER,WS,3456,Main Draw,MURATALIEVA Raiana (KGZ),FATHY Hend (EGY)
Islamic Solidarity Games Riyadh 2025,2025-11-08,ALTINKAYA Sibel,FARYAL Bisma,4,0,"11,11,11,11|5,9,1,4",R32,OTHER,WS,3456,Main Draw,ALTINKAYA Sibel (TUR),FARYAL Bisma (PAK)
Islamic Solidarity Games Riyadh 2025,2025-11-08,HOSSEINI Mohammad,KASYMOV Atai,4,1,"5,11,12,11,11|11,6,10,7,9",R64,OTHER,MS,3456,Main Draw,KASYMOV Atai (KGZ),HOSSEINI Mohammad (AFG)
Islamic Solidarity Games Riyadh 2025,2025-11-08,HASANOV Jamshed,ISMAIL Mohamed,4,2,"12,3,11,11,9,11|10,11,7,5,11,8",R64,OTHER,MS,3456,Main Draw,ISMAIL Mohamed (MDV),HASANOV Jamshed (TJK)
Islamic Solidarity Games Riyadh 2025,2025-11-08,KHAN Muhammad,ABI NADER Michel,4,0,"11,11,11,11|7,5,5,8",R64,OTHER,MS,3456,Main Draw,KHAN Muhammad (PAK),ABI NADER Michel (LBN)
Islamic Solidarity Games Riyadh 2025,2025-11-08,JOHNSON Elishaba,AHMED El Hacen,4,0,"11,11,11,11|4,3,1,3",R64,OTHER,MS,3456,Main Draw,JOHNSON Elishaba (GUY),AHMED El Hacen (MTN)
Islamic Solidarity Games Riyadh 2025,2025-11-08,HABACH SaadEddine,BEKBOLOTOV Bektursun,4,0,"11,11,11,11|6,9,4,1",R64,OTHER,MS,3456,Main Draw,BEKBOLOTOV Bektursun (KGZ),HABACH SaadEddine (LBN)
Islamic Solidarity Games Riyadh 2025,2025-11-08,MAGAYA Joshua,MOHAMADIAN Hossain,4,3,"10,12,7,7,12,11,11|12,10,11,11,10,8,9",R64,OTHER,MS,3456,Main Draw,MAGAYA Joshua (UGA),MOHAMADIAN Hossain (AFG)
Islamic Solidarity Games Riyadh 2025,2025-11-08,BOURHAN Abdourazak Abdallah,ADAM Mohammed,4,2,"9,12,11,7,11,11|11,10,7,11,5,4",R64,OTHER,MS,3456,Main Draw,BOURHAN Abdourazak Abdallah (DJI),ADAM Mohammed (SUD)
Islamic Solidarity Games Riyadh 2025,2025-11-08,MOUSAVI TAHER Mohammad,AHMED Md Javed,4,0,"11,11,11,11|6,4,7,5",R64,OTHER,MS,3456,Main Draw,MOUSAVI TAHER Mohammad (IRI),AHMED Md Javed (BAN)
Islamic Solidarity Games Riyadh 2025,2025-11-08,KHAN Taimur,SAGNA Harouna,4,0,"11,11,11,11|2,3,4,1",R64,OTHER,MS,3456,Main Draw,KHAN Taimur (PAK),SAGNA Harouna (MTN)
Islamic Solidarity Games Riyadh 2025,2025-11-08,ISMAILOV Sadi,HASANOV Hilal,4,0,"11,11,11,11|6,3,4,7",R64,OTHER,MS,3456,Main Draw,HASANOV Hilal (AZE),ISMAILOV Sadi (AIN)
Islamic Solidarity Games Riyadh 2025,2025-11-08,KALAJA Kejdi,AHMED Moosa,4,3,"5,11,5,11,6,11,11|11,8,11,9,11,8,9",R64,OTHER,MS,3456,Main Draw,AHMED Moosa (MDV),KALAJA Kejdi (ALB)
Islamic Solidarity Games Riyadh 2025,2025-11-08,GULUZADE Onur,SEBATINDIRA Joseph,4,1,"11,7,11,11,11|9,11,9,3,6",R64,OTHER,MS,3456,Main Draw,SEBATINDIRA Joseph (UGA),GULUZADE Onur (AZE)
