tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-30,ZELKO Damjan,KRAMER Lukas,3,1,"11,11,9,11|7,5,11,7",QR1,WTT_FEEDER,MS,2733,Qualification,ZELKO Damjan (SLO),KRAMER Lukas (AUT),ZELKO Damjan
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-30,FLORE Tristan,SARIEV Stoyan,3,0,"11,11,12|5,5,10",QR1,WTT_FEEDER,MS,2733,Qualification,FLORE Tristan (FRA),SARIEV Stoyan (BUL),FLORE Tristan
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-30,BAGGALEY Andrew,LEE Seunghwan,3,0,"11,11,11|8,4,6",QR1,WTT_FEEDER,MS,2733,Qualification,BAGGALEY Andrew (ENG),LEE Seunghwan (KOR),BAGGALEY Andrew
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-30,HO Jeongmun,MONGIUSTI Mattias,3,0,"11,11,11|6,7,4",QR1,WTT_FEEDER,MS,2733,Qualification,HO Jeongmun (KOR),MONGIUSTI Mattias (SMR),HO Jeongmun
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-30,BAN Ivor/RAKOVAC Lea,GIARDI Federico/PAPADIMITRIOU Malamatenia,3,0,"11,11,11|7,5,5",QR1,WTT_FEEDER,XD,2733,Qualification,BAN Ivor/RAKOVAC Lea (CRO),GIARDI Federico/PAPADIMITRIOU Malamatenia (SMR/GRE),BAN Ivor/RAKOVAC Lea
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-30,ROSSI Carlo/RONCALLO Valentina,WONG Qi Shen/CHANG Li Sian Alice,3,1,"11,7,11,13|9,11,9,11",QR1,WTT_FEEDER,XD,2733,Qualification,ROSSI Carlo/RONCALLO Valentina (ITA),WONG Qi Shen/CHANG Li Sian Alice (MAS),ROSSI Carlo/RONCALLO Valentina
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-30,ZAKHAROV Vladislav/BAKHYT Anel,RAGNI Lorenzo/DYMYTRENKO Anastasiya,3,0,"11,11,11|8,8,7",QR1,WTT_FEEDER,XD,2733,Qualification,ZAKHAROV Vladislav/BAKHYT Anel (KAZ),RAGNI Lorenzo/DYMYTRENKO Anastasiya (SMR/UKR),ZAKHAROV Vladislav/BAKHYT Anel
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-30,XU Haidong/WANG Xiaotong,HO Jeongmun/JI Eunchae,3,1,"11,9,12,11|5,11,10,1",QR1,WTT_FEEDER,XD,2733,Qualification,XU Haidong/WANG Xiaotong (CHN),HO Jeongmun/JI Eunchae (KOR),XU Haidong/WANG Xiaotong
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-30,LEE Seunghwan/LEE Daeun,NAUMI Alex/DONNER Marina,3,0,"11,11,11|5,9,4",QR1,WTT_FEEDER,XD,2733,Qualification,LEE Seunghwan/LEE Daeun (KOR),NAUMI Alex/DONNER Marina (FIN),LEE Seunghwan/LEE Daeun
WTT Feeder Otocec 2023 presented by I Feel Slovenia,2023-10-31,CAVAILLE Jules,BOURRASSAUD Florian,3,1,"11,11,6,12|8,6,11,10",QR2,WTT_FEEDER,MS,2733,Qualification,CAVAILLE Jules (FRA),BOURRASSAUD Florian (FRA),CAVAILLE Jules
