tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,ZHOU Yu,IONESCU Ovidiu,4,2,"8,8,11,11,11,11|11,11,1,6,5,3",QR128,GRAND_SLAM,MS,2253,Qualification,ZHOU Yu (CHN),IONESCU Ovidiu (ROU)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,TRIGOLOS Daria,HUSSAIN Kholoud,4,0,"11,11,11,11|3,4,3,4",QR128,GRAND_SLAM,WS,2253,Qualification,TRIGOLOS Daria (BLR),HUSSAIN Kholoud (QAT)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,YAN An,DESAI Harmeet,4,1,"11,10,13,11,11|6,12,11,5,9",QR128,GRAND_SLAM,MS,2253,Qualification,YAN An (CHN),DESAI Harmeet (IND)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,GARDOS Robert,LIND Anders,4,3,"11,9,11,11,6,9,11|7,11,9,8,11,11,7",QR32,GRAND_SLAM,MS,2253,Qualification,GARDOS Robert (AUT),LIND Anders (DEN)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,DVORAK Galia,BOGDANOVA Nadezhda,4,0,"11,11,11,11|5,8,8,9",QR32,GRAND_SLAM,WS,2253,Qualification,DVORAK Galia (ESP),BOGDANOVA Nadezhda (BLR)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,CHUANG Chih-Yuan,KENJAEV Zokhid,4,2,"6,11,7,12,11,11|11,6,11,10,9,5",QR32,GRAND_SLAM,MS,2253,Qualification,CHUANG Chih-Yuan (TPE),KENJAEV Zokhid (UZB)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,MORIZONO Masataka,FLORE Tristan,4,2,"11,11,6,11,5,11|8,7,11,7,11,6",QR32,GRAND_SLAM,MS,2253,Qualification,MORIZONO Masataka (JPN),FLORE Tristan (FRA)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,HASHIMOTO Honoka,SHAO Jieni,4,0,"11,11,11,11|8,3,2,1",QR32,GRAND_SLAM,WS,2253,Qualification,HASHIMOTO Honoka (JPN),SHAO Jieni (POR)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,SUN Mingyang,SOO Wai Yam,4,1,"11,10,11,11,11|6,12,9,4,2",QR32,GRAND_SLAM,WS,2253,Qualification,SUN Mingyang (CHN),SOO Wai Yam (HKG)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,SAMSONOV Vladimir,ZHOU Yu,4,1,"11,9,11,13,11|7,11,8,11,6",QR32,GRAND_SLAM,MS,2253,Qualification,SAMSONOV Vladimir (BLR),ZHOU Yu (CHN)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,GU Yuting,TODOROVIC Andrea,4,0,"11,11,11,11|2,7,5,8",QR32,GRAND_SLAM,WS,2253,Qualification,GU Yuting (CHN),TODOROVIC Andrea (SRB)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,LEBESSON Emmanuel,DRINKHALL Paul,4,0,"11,11,13,11|5,7,11,8",QR32,GRAND_SLAM,MS,2253,Qualification,LEBESSON Emmanuel (FRA),DRINKHALL Paul (ENG)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,UDA Yukiya,JORGIC Darko,4,3,"11,8,11,5,9,11,11|7,11,8,11,11,8,9",QR32,GRAND_SLAM,MS,2253,Qualification,UDA Yukiya (JPN),JORGIC Darko (SLO)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,GACINA Andrej,XIANG Peng,4,3,"11,11,11,7,9,6,11|8,9,7,11,11,11,3",QR32,GRAND_SLAM,MS,2253,Qualification,GACINA Andrej (CRO),XIANG Peng (CHN)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,YU Mengyu,SOLJA Petrissa,4,3,"4,11,10,11,8,11,12|11,7,12,9,11,9,10",QR32,GRAND_SLAM,WS,2253,Qualification,YU Mengyu (SGP),SOLJA Petrissa (GER)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,MORI Sakura,MITTELHAM Nina,4,1,"6,11,11,11,11|11,7,5,6,8",QR32,GRAND_SLAM,WS,2253,Qualification,MORI Sakura (JPN),MITTELHAM Nina (GER)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,ZHANG Rui,LIU Fei,4,0,"12,12,11,11|10,10,5,2",QR32,GRAND_SLAM,WS,2253,Qualification,ZHANG Rui (CHN),LIU Fei (CHN)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,LEE Ho Ching,BAJOR Natalia,4,1,"6,11,11,11,15|11,3,6,7,13",QR32,GRAND_SLAM,WS,2253,Qualification,LEE Ho Ching (HKG),BAJOR Natalia (POL)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,ZENG Jian,PESOTSKA Margaryta,4,3,"11,6,11,11,8,9,11|9,11,8,9,11,11,9",QR32,GRAND_SLAM,WS,2253,Qualification,ZENG Jian (SGP),PESOTSKA Margaryta (UKR)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,KATO Miyu,DE NUTTE Sarah,4,2,"11,11,11,10,9,11|2,9,6,12,11,8",QR32,GRAND_SLAM,WS,2253,Qualification,KATO Miyu (JPN),DE NUTTE Sarah (LUX)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,YANG Xiaoxin,SAWETTABUT Suthasini,4,2,"9,12,11,11,11,11|11,14,9,9,8,3",QR32,GRAND_SLAM,WS,2253,Qualification,YANG Xiaoxin (MON),SAWETTABUT Suthasini (THA)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,SAMARA Elizabeta,PATKAR Madhurika,4,2,"11,11,8,11,9,11|6,7,11,2,11,3",QR32,GRAND_SLAM,WS,2253,Qualification,SAMARA Elizabeta (ROU),PATKAR Madhurika (IND)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,SHAN Xiaona,SZOCS Bernadette,4,2,"8,8,11,11,11,13|11,11,8,5,8,11",QR32,GRAND_SLAM,WS,2253,Qualification,SHAN Xiaona (GER),SZOCS Bernadette (ROU)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,KIHARA Miyuu,SHIBATA Saki,4,0,"11,11,13,11|5,8,11,7",QR32,GRAND_SLAM,WS,2253,Qualification,KIHARA Miyuu (JPN),SHIBATA Saki (JPN)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,NAGASAKI Miyu,ZHANG Lily,4,1,"11,11,7,11,11|8,6,11,7,5",QR32,GRAND_SLAM,WS,2253,Qualification,NAGASAKI Miyu (JPN),ZHANG Lily (USA)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,QIAN Tianyi,GROFOVA Karin,4,0,"11,11,11,11|5,2,9,7",QR32,GRAND_SLAM,WS,2253,Qualification,QIAN Tianyi (CHN),GROFOVA Karin (CZE)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,SZUDI Adam,DESAI Harmeet,3,0,"11,11,11|2,8,6",QR16,GRAND_SLAM,XD,2253,Qualification,SZUDI Adam (HUN),DESAI Harmeet (IND)
ITTF World Tour Platinum Qatar Open Doha 2020,2020-03-03,KENJAEV Zokhid,DYJAS Jakub,3,0,"0,0,0|0,0,0",QR16,GRAND_SLAM,XD,2253,Qualification,KENJAEV Zokhid (UZB),DYJAS Jakub (POL)
