tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,SALIFOU Abdel-Kader,AKERSTROM Fabian,4,1,"11,11,8,12,11|9,9,11,10,8",256,GRAND_SLAM,MS,2026,Qualification,AKERSTROM Fabian (SWE),SALIFOU Abdel-Kader (BEN)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,HJORT Anton,TSCHANZ Cedric,4,1,"11,11,11,9,11|5,6,7,11,8",256,GRAND_SLAM,MS,2026,Qualification,TSCHANZ Cedric (SUI),HJORT Anton (SWE)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,ERIKSSON Anders,GUNDUZ Ibrahim,4,0,"15,11,11,11|13,8,6,8",256,GRAND_SLAM,MS,2026,Qualification,ERIKSSON Anders (SWE),GUNDUZ Ibrahim (TUR)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,ANDERSSON Harald,DANI Mudit,4,0,"11,11,11,11|5,6,8,5",256,GRAND_SLAM,MS,2026,Qualification,DANI Mudit (IND),ANDERSSON Harald (SWE)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,BRODD Viktor,ROLLAND Jules,4,1,"11,11,2,11,11|4,3,11,5,9",256,GRAND_SLAM,MS,2026,Qualification,BRODD Viktor (SWE),ROLLAND Jules (FRA)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,LANDRIEU Andrea,SANDSTROM Per,4,2,"12,7,9,11,11,11|10,11,11,3,8,3",256,GRAND_SLAM,MS,2026,Qualification,LANDRIEU Andrea (FRA),SANDSTROM Per (SWE)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,NORDBERG Hampus,NAUMI Alex,4,1,"14,11,5,11,11|12,8,11,5,5",256,GRAND_SLAM,MS,2026,Qualification,NORDBERG Hampus (SWE),NAUMI Alex (FIN)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,LUNDQVIST Jens,OSIRO Pedro,4,1,"11,11,13,11,11|7,8,15,6,5",256,GRAND_SLAM,MS,2026,Qualification,LUNDQVIST Jens (SWE),OSIRO Pedro (SUI)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,ASSAR Khalid,IVARSSON Birgir,4,0,"11,11,11,11|6,5,3,5",256,GRAND_SLAM,MS,2026,Qualification,ASSAR Khalid (EGY),IVARSSON Birgir (ISL)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,CANTERO Jesus,KOTOV Anton,4,0,"11,11,11,14|7,9,8,12",256,GRAND_SLAM,MS,2026,Qualification,KOTOV Anton (RUS),CANTERO Jesus (ESP)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,MATSUSHIMA Sora,KATSMAN Lev,4,1,"11,6,11,11,11|9,11,6,9,9",256,GRAND_SLAM,MS,2026,Qualification,KATSMAN Lev (RUS),MATSUSHIMA Sora (JPN)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,XU Haidong,LI Hon Ming,4,0,"11,11,11,11|9,2,8,5",256,GRAND_SLAM,MS,2026,Qualification,LI Hon Ming (HKG),XU Haidong (CHN)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,NG Pak Nam,TRAVIN Danila,4,0,"11,11,11,13|8,2,9,11",256,GRAND_SLAM,MS,2026,Qualification,TRAVIN Danila (RUS),NG Pak Nam (HKG)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,CASSIN Alexandre,KWAN Man Ho,4,1,"11,11,5,12,11|6,3,11,10,6",256,GRAND_SLAM,MS,2026,Qualification,KWAN Man Ho (HKG),CASSIN Alexandre (FRA)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,CHEN Diogo,MCDONALD Jonatan,4,0,"11,11,11,11|8,5,6,8",256,GRAND_SLAM,MS,2026,Qualification,MCDONALD Jonatan (SWE),CHEN Diogo (POR)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,LIU Fei,TAKAHASHI Bruna,4,0,"11,11,11,11|2,4,4,3",QR128,GRAND_SLAM,WS,2026,Qualification,TAKAHASHI Bruna (BRA),LIU Fei (CHN)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,GU Yuting,ALTINKAYA Sibel,4,0,"11,11,11,11|9,6,5,3",QR128,GRAND_SLAM,WS,2026,Qualification,ALTINKAYA Sibel (TUR),GU Yuting (CHN)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,BOGDANOVA Nadezhda,BERGAND Filippa,4,0,"11,13,11,11|4,11,7,8",QR128,GRAND_SLAM,WS,2026,Qualification,BOGDANOVA Nadezhda (BLR),BERGAND Filippa (SWE)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,XIAO Maria,OLSSON Linn,4,0,"11,11,11,11|8,9,7,9",QR128,GRAND_SLAM,WS,2026,Qualification,OLSSON Linn (SWE),XIAO Maria (ESP)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,DE NUTTE Sarah,TANSKA Caroline,4,1,"11,11,11,13,11|9,5,13,11,8",QR128,GRAND_SLAM,WS,2026,Qualification,DE NUTTE Sarah (LUX),TANSKA Caroline (SWE)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,SIPOS Rares,SODERLUND Hampus,4,3,"5,11,11,5,13,10,11|11,5,8,11,11,12,5",256,GRAND_SLAM,MS,2026,Qualification,SIPOS Rares (ROU),SODERLUND Hampus (SWE)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,PAIKOV Mikhail,FRIIS Martin,4,0,"11,11,11,11|9,8,4,6",256,GRAND_SLAM,MS,2026,Qualification,FRIIS Martin (SWE),PAIKOV Mikhail (RUS)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,LIU Weishan,MORET Rachel,4,0,"11,11,11,11|6,5,9,7",QR128,GRAND_SLAM,WS,2026,Qualification,LIU Weishan (CHN),MORET Rachel (SUI)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,EERLAND Britt,KOMWONG Nanthana,4,1,"11,6,11,11,11|7,11,5,9,6",QR128,GRAND_SLAM,WS,2026,Qualification,EERLAND Britt (NED),KOMWONG Nanthana (THA)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,YANG Xiaoxin,MALANINA Maria,4,1,"11,11,11,7,11|1,4,4,11,5",QR128,GRAND_SLAM,WS,2026,Qualification,MALANINA Maria (RUS),YANG Xiaoxin (MON)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,MATELOVA Hana,HARTBRICH Leonie,4,1,"8,13,11,14,12|11,11,8,12,10",QR128,GRAND_SLAM,WS,2026,Qualification,HARTBRICH Leonie (HUN),MATELOVA Hana (CZE)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,NG Wing Nam,KOLISH Anastasia,4,1,"11,11,12,11,11|5,5,14,5,4",QR128,GRAND_SLAM,WS,2026,Qualification,KOLISH Anastasia (RUS),NG Wing Nam (HKG)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,TAILAKOVA Mariia,KAMATH Archana,4,1,"11,6,11,11,11|6,11,7,4,8",QR128,GRAND_SLAM,WS,2026,Qualification,TAILAKOVA Mariia (RUS),KAMATH Archana (IND)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,SHAO Jieni,FRONT Erika,4,0,"11,12,11,11|3,10,9,9",QR128,GRAND_SLAM,WS,2026,Qualification,FRONT Erika (SWE),SHAO Jieni (POR)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,ODO Satsuki,HANSSON Matilda,4,0,"11,11,11,11|3,6,3,3",QR128,GRAND_SLAM,WS,2026,Qualification,ODO Satsuki (JPN),HANSSON Matilda (SWE)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,ZHANG Rui,BAJOR Natalia,4,0,"11,11,11,11|5,6,8,6",QR128,GRAND_SLAM,WS,2026,Qualification,BAJOR Natalia (POL),ZHANG Rui (CHN)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,POTA Georgina,BAASAN Nomin,4,1,"9,11,11,11,11|11,8,9,9,8",QR128,GRAND_SLAM,WS,2026,Qualification,BAASAN Nomin (SWE),POTA Georgina (HUN)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,HAMAMOTO Yui,LIN Ye,4,2,"11,7,11,6,11,11|9,11,6,11,7,8",QR128,GRAND_SLAM,WS,2026,Qualification,LIN Ye (CAN),HAMAMOTO Yui (AUT)
ITTF World Tour Swedish Open Stockholm 2019,2019-10-01,YANG Ha Eun,KALLBERG Christina,4,0,"11,11,11,11|6,6,8,3",QR128,GRAND_SLAM,WS,2026,Qualification,YANG Ha Eun (KOR),KALLBERG Christina (SWE)
