tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Asian Championships Pattaya 2015,2015-09-26,SONG Maeum,NGUYEN Thi Viet Linh,4,1,"11,11,6,11,11|6,3,11,9,5",R128,OTHER,WS,254,Main Draw,NGUYEN Thi Viet Linh (VIE),SONG Maeum (KOR)
ITTF Asian Championships Pattaya 2015,2015-09-26,BALATBAT Sendrina,ALI Maha,4,0,"11,11,11,11|2,2,4,5",R128,OTHER,WS,254,Main Draw,BALATBAT Sendrina (PHI),ALI Maha (QAT)
ITTF Asian Championships Pattaya 2015,2015-09-26,DWIJAYANTI Gustin,TAH Sut Tei,4,3,"10,8,11,6,11,11,11|12,11,6,11,6,3,7",R128,OTHER,WS,254,Main Draw,TAH Sut Tei (MAC),DWIJAYANTI Gustin (INA)
ITTF Asian Championships Pattaya 2015,2015-09-26,KHETKHUAN Tamolwan,BATSAIKHAN Batkhishig,4,1,"11,11,5,11,11|6,1,11,1,4",R128,OTHER,WS,254,Main Draw,KHETKHUAN Tamolwan (THA),BATSAIKHAN Batkhishig (MGL)
ITTF Asian Championships Pattaya 2015,2015-09-26,BATRA Manika,MINARA Sarmin,4,0,"11,11,11,11|3,5,5,4",R128,OTHER,WS,254,Main Draw,MINARA Sarmin (BAN),BATRA Manika (IND)
ITTF Asian Championships Pattaya 2015,2015-09-26,YEE Herng Hwee,SEIDALIEVA Burulai,4,0,"11,11,11,11|3,3,4,4",R128,OTHER,WS,254,Main Draw,YEE Herng Hwee (SGP),SEIDALIEVA Burulai (KGZ)
ITTF Asian Championships Pattaya 2015,2015-09-26,GATS Yuliya,MAHARJAN Rabina,4,1,"11,9,12,11,11|6,11,10,9,6",R128,OTHER,WS,254,Main Draw,MAHARJAN Rabina (NEP),GATS Yuliya (KAZ)
ITTF Asian Championships Pattaya 2015,2015-09-26,MAK Tze Wing,KIM Regina,4,1,"11,7,11,11,11|4,11,2,9,4",R128,OTHER,WS,254,Main Draw,MAK Tze Wing (HKG),KIM Regina (UZB)
ITTF Asian Championships Pattaya 2015,2015-09-26,KIM Hye Song,LIM Eunice,4,0,"11,11,11,11|3,8,5,2",R128,OTHER,WS,254,Main Draw,LIM Eunice (SGP),KIM Hye Song (PRK)
ITTF Asian Championships Pattaya 2015,2015-09-26,MU Zi,MOHAMED Mueena,4,0,"11,11,11,11|7,4,7,2",R128,OTHER,WS,254,Main Draw,MU Zi (CHN),MOHAMED Mueena (MDV)
ITTF Asian Championships Pattaya 2015,2015-09-26,WAKAMIYA Misako,FERNANDO Chamathsara,4,0,"11,11,11,11|4,3,7,3",R128,OTHER,WS,254,Main Draw,FERNANDO Chamathsara (SRI),WAKAMIYA Misako (JPN)
ITTF Asian Championships Pattaya 2015,2015-09-26,SAMET Maryam,TEY Ka Ying,4,0,"11,11,11,11|7,4,8,5",R128,OTHER,WS,254,Main Draw,SAMET Maryam (IRI),TEY Ka Ying (MAS)
ITTF Asian Championships Pattaya 2015,2015-09-26,OMRANI Mahjobeh,AKTER Rahima,4,0,"11,11,11,11|5,7,4,5",R128,OTHER,WS,254,Main Draw,OMRANI Mahjobeh (IRI),AKTER Rahima (BAN)
ITTF Asian Championships Pattaya 2015,2015-09-26,DAS Ankita,LAVROVA Anastassiya,4,0,"11,11,11,11|7,5,7,6",R128,OTHER,WS,254,Main Draw,LAVROVA Anastassiya (KAZ),DAS Ankita (IND)
ITTF Asian Championships Pattaya 2015,2015-09-26,CHENG Hsien-Tzu,BILAL Shabnam,4,0,"11,11,11,11|9,5,4,6",R128,OTHER,WS,254,Main Draw,CHENG Hsien-Tzu (TPE),BILAL Shabnam (PAK)
ITTF Asian Championships Pattaya 2015,2015-09-26,MERGEN Delgermaa,MASHANLOEVA Kamila,4,1,"8,11,11,11,11|11,6,8,8,7",R128,OTHER,WS,254,Main Draw,MASHANLOEVA Kamila (KGZ),MERGEN Delgermaa (MGL)
ITTF Asian Championships Pattaya 2015,2015-09-26,MADURANGI Ishara,NURIYAYATI Rissa,4,0,"11,11,11,15|4,5,7,13",R128,OTHER,WS,254,Main Draw,MADURANGI Ishara (SRI),NURIYAYATI Rissa (INA)
ITTF Asian Championships Pattaya 2015,2015-09-26,GUFRANOVA Rimma,DOUANGPANYA Seangdavieng,4,2,"8,10,11,11,11,11|11,12,4,4,6,6",R128,OTHER,WS,254,Main Draw,DOUANGPANYA Seangdavieng (LAO),GUFRANOVA Rimma (UZB)
ITTF Asian Championships Pattaya 2015,2015-09-26,GIANG Phan Hoang Tuong,SAFARI Saba,4,3,"11,8,11,11,9,8,11|4,11,6,7,11,11,1",R128,OTHER,WS,254,Main Draw,GIANG Phan Hoang Tuong (VIE),SAFARI Saba (IRI)
ITTF Asian Championships Pattaya 2015,2015-09-26,INDRIANI Lilis,AL ABRI Noora,4,0,"11,11,11,11|5,4,7,7",R128,OTHER,WS,254,Main Draw,INDRIANI Lilis (INA),AL ABRI Noora (QAT)
ITTF Asian Championships Pattaya 2015,2015-09-26,LI Ching Wan,NEMBANG Swechchha,4,0,"11,11,11,11|2,6,6,2",R128,OTHER,WS,254,Main Draw,NEMBANG Swechchha (NEP),LI Ching Wan (HKG)
ITTF Asian Championships Pattaya 2015,2015-09-26,KOMWONG Nanthana,NAZIM Aishath,4,0,"11,11,11,11|3,4,7,2",R128,OTHER,WS,254,Main Draw,KOMWONG Nanthana (THA),NAZIM Aishath (MDV)
ITTF Asian Championships Pattaya 2015,2015-09-26,SAWETTABUT Suthasini,PHAM Thi Thien Kim,4,0,"16,11,11,11|14,6,4,6",R128,OTHER,WS,254,Main Draw,PHAM Thi Thien Kim (VIE),SAWETTABUT Suthasini (THA)
ITTF Asian Championships Pattaya 2015,2015-09-26,SLADKOVA Nataliya,MA Chao In,4,2,"11,9,11,11,6,11|4,11,6,5,11,8",R128,OTHER,WS,254,Main Draw,SLADKOVA Nataliya (KAZ),MA Chao In (MAC)
ITTF Asian Championships Pattaya 2015,2015-09-26,LIU Hsing-Yin,KAZAKOVA Saidakhon,4,0,"11,11,11,11|6,7,4,2",R128,OTHER,WS,254,Main Draw,KAZAKOVA Saidakhon (UZB),LIU Hsing-Yin (TPE)
ITTF Asian Championships Pattaya 2015,2015-09-26,LARIBA Ian,KHADGI Selisha,4,0,"11,11,11,11|2,3,5,2",R128,OTHER,WS,254,Main Draw,LARIBA Ian (PHI),KHADGI Selisha (NEP)
ITTF Asian Championships Pattaya 2015,2015-09-26,WONG Amanda,OKTARIYANI Novita,4,1,"8,11,11,13,11|11,8,6,11,3",R128,OTHER,WS,254,Main Draw,WONG Amanda (MAS),OKTARIYANI Novita (INA)
ITTF Asian Championships Pattaya 2015,2015-09-26,KIM Song I,HUSSAIN Kholoud,4,0,"11,11,11,11|5,2,4,3",R128,OTHER,WS,254,Main Draw,KIM Song I (PRK),HUSSAIN Kholoud (QAT)
ITTF Asian Championships Pattaya 2015,2015-09-26,WARUSAWITHANA Erandi,SOUTHAMMAVONG Thiphakone,4,1,"11,5,11,11,11|4,11,4,4,8",R128,OTHER,WS,254,Main Draw,SOUTHAMMAVONG Thiphakone (LAO),WARUSAWITHANA Erandi (SRI)
