tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Central American Senior Championships San Salvador 2018,2018-05-24,VILLA Ricardo,SANCHEZ David,3,0,"11,11,11|2,5,4",,OTHER,MS,1009,Qualification,VILLA Ricardo (MEX),SANCHEZ David (HON),VILLA Ricardo
Central American Senior Championships San Salvador 2018,2018-05-24,VILLA Ricardo,GALEANO Jaime,3,0,"11,11,11|9,3,6",,OTHER,MS,1009,Qualification,VILLA Ricardo (MEX),GALEANO Jaime (ESA),VILLA Ricardo
Central American Senior Championships San Salvador 2018,2018-05-24,SANCHEZ David,GALEANO Jaime,3,0,"4,9,10|11,11,12",,OTHER,MS,1009,Qualification,GALEANO Jaime (ESA),SANCHEZ David (HON),SANCHEZ David
Central American Senior Championships San Salvador 2018,2018-05-24,MONTUFAR Kevin,LEIVA Enzo,3,1,"11,7,11,11|8,11,3,7",,OTHER,MS,1009,Qualification,MONTUFAR Kevin (GUA),LEIVA Enzo (ESA),MONTUFAR Kevin
Central American Senior Championships San Salvador 2018,2018-05-24,LARA Miguel,MONTUFAR Kevin,3,2,"10,6,11,11,11|12,11,9,5,2",,OTHER,MS,1009,Qualification,MONTUFAR Kevin (GUA),LARA Miguel (MEX),LARA Miguel
Central American Senior Championships San Salvador 2018,2018-05-24,LARA Miguel,LEIVA Enzo,3,2,"11,11,11|5,7,2",,OTHER,MS,1009,Qualification,LARA Miguel (MEX),LEIVA Enzo (ESA),LARA Miguel
Central American Senior Championships San Salvador 2018,2018-05-24,GUTIERREZ Allan,VAZQUEZ Diego,3,0,"11,11,11|5,9,5",,OTHER,MS,1009,Qualification,GUTIERREZ Allan (GUA),VAZQUEZ Diego (MEX),GUTIERREZ Allan
Central American Senior Championships San Salvador 2018,2018-05-24,GUTIERREZ Allan,MARTINEZ Job,3,2,"11,11,5,5,11|6,7,11,11,9",,OTHER,MS,1009,Qualification,GUTIERREZ Allan (GUA),MARTINEZ Job (ESA),GUTIERREZ Allan
Central American Senior Championships San Salvador 2018,2018-05-24,VAZQUEZ Diego,MARTINEZ Job,3,2,"6,11,11,11|11,8,9,8",,OTHER,MS,1009,Qualification,MARTINEZ Job (ESA),VAZQUEZ Diego (MEX),VAZQUEZ Diego
Central American Senior Championships San Salvador 2018,2018-05-24,MARTINEZ Jeison,LEIVA Harold,3,0,"11,11,11|6,9,6",,OTHER,MS,1009,Qualification,MARTINEZ Jeison (CRC),LEIVA Harold (ESA),MARTINEZ Jeison
Central American Senior Championships San Salvador 2018,2018-05-24,MARTINEZ Jeison,VALERIANO Oscar,3,0,"11,14,11|6,12,4",,OTHER,MS,1009,Qualification,MARTINEZ Jeison (CRC),VALERIANO Oscar (HON),MARTINEZ Jeison
Central American Senior Championships San Salvador 2018,2018-05-24,LEIVA Harold,VALERIANO Oscar,3,0,"11,11,12|8,9,10",,OTHER,MS,1009,Qualification,VALERIANO Oscar (HON),LEIVA Harold (ESA),LEIVA Harold
Central American Senior Championships San Salvador 2018,2018-05-24,ARAYA Daniel,ZAVALA Irving,3,0,"11,11,11|1,5,8",,OTHER,MS,1009,Qualification,ARAYA Daniel (CRC),ZAVALA Irving (HON),ARAYA Daniel
Central American Senior Championships San Salvador 2018,2018-05-24,ALFONSO Samuel Enrique,ARAYA Daniel,3,0,"11,13,11|7,11,8",,OTHER,MS,1009,Qualification,ARAYA Daniel (CRC),ALFONSO Samuel Enrique (ESA),ALFONSO Samuel Enrique
Central American Senior Championships San Salvador 2018,2018-05-24,ALFONSO Samuel Enrique,ZAVALA Irving,3,0,"11,11,11|3,7,7",,OTHER,MS,1009,Qualification,ALFONSO Samuel Enrique (ESA),ZAVALA Irving (HON),ALFONSO Samuel Enrique
Central American Senior Championships San Salvador 2018,2018-05-24,MOSCOSO Heber,DIMAS CHOCK David,3,0,"11,11,11|6,7,7",,OTHER,MS,1009,Qualification,MOSCOSO Heber (GUA),DIMAS CHOCK David (PAN),MOSCOSO Heber
