tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Chinese Taipei Open Taipei 2006,2006-06-08,OH Sangeun,HABESOHN Daniel,4,1,"11,8,11,11,12|6,11,7,8,10",R64,GRAND_SLAM,MS,1783,Main Draw,OH Sangeun (KOR),HABESOHN Daniel (AUT),OH Sangeun
Chinese Taipei Open Taipei 2006,2006-06-08,SAKAMOTO Ryusuke,CHO Jihoon,4,1,"11,11,11,7,11|8,3,5,11,1",R64,GRAND_SLAM,MS,1783,Main Draw,SAKAMOTO Ryusuke (JPN),CHO Jihoon (KOR),SAKAMOTO Ryusuke
Chinese Taipei Open Taipei 2006,2006-06-08,TAKAKIWA Kenichi,KEINATH Thomas,4,0,"11,11,12,11|8,6,10,6",R64,GRAND_SLAM,MS,1783,Main Draw,TAKAKIWA Kenichi (JPN),KEINATH Thomas (SVK),TAKAKIWA Kenichi
Chinese Taipei Open Taipei 2006,2006-06-08,YANG Min,MAECK Anthony,4,2,"11,11,11,10,11,11|2,13,0,12,3,2",R64,GRAND_SLAM,MS,1783,Main Draw,YANG Min (ITA),MAECK Anthony (BEL),YANG Min
Chinese Taipei Open Taipei 2006,2006-06-08,CHOU Tung-Yu,GAO Ning,4,2,"11,11,5,10,11,11|5,9,11,12,5,9",R64,GRAND_SLAM,MS,1783,Main Draw,CHOU Tung-Yu (TPE),GAO Ning (SGP),CHOU Tung-Yu
Chinese Taipei Open Taipei 2006,2006-06-08,TAKAKIWA Taku,CHO Eonrae,4,3,"11,7,9,11,7,11,11|9,11,11,9,11,6,8",R64,GRAND_SLAM,MS,1783,Main Draw,TAKAKIWA Taku (JPN),CHO Eonrae (KOR),TAKAKIWA Taku
Chinese Taipei Open Taipei 2006,2006-06-08,LIM Jaehyun,TOKIYOSHI Yuichi,4,3,"11,9,11,14,9,11,11|9,11,6,16,11,6,7",R64,GRAND_SLAM,MS,1783,Main Draw,LIM Jaehyun (KOR),TOKIYOSHI Yuichi (JPN),LIM Jaehyun
Chinese Taipei Open Taipei 2006,2006-06-08,CHIANG Peng-Lung,VOSTES Yannick,4,3,"11,5,2,4,11,11,11|3,11,11,11,7,4,8",R64,GRAND_SLAM,MS,1783,Main Draw,CHIANG Peng-Lung (TPE),VOSTES Yannick (BEL),CHIANG Peng-Lung
Chinese Taipei Open Taipei 2006,2006-06-08,JOO Saehyuk,MA Liang,4,2,"9,11,11,11,11,11|11,4,9,13,6,3",R64,GRAND_SLAM,MS,1783,Main Draw,JOO Saehyuk (KOR),MA Liang (SGP),JOO Saehyuk
Chinese Taipei Open Taipei 2006,2006-06-08,LEE Jinkwon,YANG Zi,4,0,"14,11,12,11|12,4,10,9",R64,GRAND_SLAM,MS,1783,Main Draw,LEE Jinkwon (KOR),YANG Zi (SGP),LEE Jinkwon
Chinese Taipei Open Taipei 2006,2006-06-08,FENG Zhe,WU Chih-Chi,4,2,"4,11,11,10,11,11|11,3,4,12,9,6",R64,GRAND_SLAM,MS,1783,Main Draw,FENG Zhe (BUL),WU Chih-Chi (TPE),FENG Zhe
Chinese Taipei Open Taipei 2006,2006-06-08,SUSS Christian,DURAN Marc,4,2,"11,11,11,10,2,11|7,6,8,12,11,6",R64,GRAND_SLAM,MS,1783,Main Draw,SUSS Christian (GER),DURAN Marc (ESP),SUSS Christian
