tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,PIGUAVE Diego,LOPEZ Sebastian,3,1,"9,11,11,11|11,5,8,9",,OLYMPICS,U21MS,2039,Qualification,LOPEZ Sebastian (PAR),PIGUAVE Diego (ECU)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,RIOFRIO Emiliano,FERREIRA Mathias,3,1,"11,12,5,11|3,10,11,5",,OLYMPICS,U21MS,2039,Qualification,FERREIRA Mathias (PAR),RIOFRIO Emiliano (ECU)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,PLETEA Cristian,GUADALUPE Matias,3,0,"11,16,11|6,14,6",,OLYMPICS,U21MS,2039,Qualification,PLETEA Cristian (ROU),GUADALUPE Matias (ARG)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,BENTANCOR Martin,DANI Mudit,3,0,"11,11,11|6,7,7",,OLYMPICS,U21MS,2039,Qualification,DANI Mudit (IND),BENTANCOR Martin (ARG)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,YOKOTA Gustavo,NARANJO Angel,3,0,"11,11,11|6,9,9",,OLYMPICS,U21MS,2039,Qualification,NARANJO Angel (PUR),YOKOTA Gustavo (BRA)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,BURGOS Nicolas,HERMOSILLA Diego,3,0,"11,11,11|7,8,5",,OLYMPICS,U21MS,2039,Qualification,BURGOS Nicolas (CHI),HERMOSILLA Diego (PAR)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,CIFUENTES Horacio,LEON David,3,0,"11,11,11|3,1,4",,OLYMPICS,U21MS,2039,Qualification,CIFUENTES Horacio (ARG),LEON David (PAR)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,TAKAHASHI Bruna,RIOS Valentina,3,0,"11,11,13|4,9,11",,OLYMPICS,U21WS,2039,Qualification,TAKAHASHI Bruna (BRA),RIOS Valentina (CHI)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,SHIOMI Maki,RIOS Natasha,3,0,"11,11,11|6,3,7",,OLYMPICS,U21WS,2039,Qualification,SHIOMI Maki (JPN),RIOS Natasha (CHI)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,KAIZOJI Camila,DOVAL Ilka,3,2,"10,9,11,11,11|12,11,9,3,9",,OLYMPICS,U21WS,2039,Qualification,DOVAL Ilka (NOR),KAIZOJI Camila (ARG)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,ORTEGA Daniela,HERMOSILLA Melina,3,0,"11,11,11|6,5,9",,OLYMPICS,U21WS,2039,Qualification,ORTEGA Daniela (CHI),HERMOSILLA Melina (PAR)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,GAVILAN Axel,GUADALUPE Matias,3,2,"11,13,4,11,11|7,15,11,8,8",,OLYMPICS,MS,2039,Qualification,GAVILAN Axel (PAR),GUADALUPE Matias (ARG)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,ORENCEL Alexis,LEON David,3,1,"11,8,11,11|9,11,6,9",,OLYMPICS,MS,2039,Qualification,LEON David (PAR),ORENCEL Alexis (ARG)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,OSORIO Santiago,AZCOAGA Christian,3,0,"11,11,11|9,3,7",,OLYMPICS,MS,2039,Qualification,OSORIO Santiago (PAR),AZCOAGA Christian (ARG)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,BENTANCOR Martin,MORENO Benicio,3,0,"11,11,11|7,4,5",,OLYMPICS,MS,2039,Qualification,BENTANCOR Martin (ARG),MORENO Benicio (PAR)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,MOYA Manuel,MORINIGO Manuel,3,0,"11,11,11|3,8,6",,OLYMPICS,MS,2039,Qualification,MOYA Manuel (CHI),MORINIGO Manuel (PAR)
ITTF Challenge Plus Paraguay Open Asuncion 2019,2019-09-25,NARANJO Angel,LOPEZ Sebastian,3,0,"11,11,11|5,5,4",,OLYMPICS,MS,2039,Qualification,NARANJO Angel (PUR),LOPEZ Sebastian (PAR)
