tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Ecuador International Open Guayaquil 2010,2010-08-31,NAVAS Marco,LOPEZ Leonardo,3,0,,,WTT_CONTENDER,MS,635,Qualification,NAVAS Marco (VEN),LOPEZ Leonardo (ECU),NAVAS Marco
Ecuador International Open Guayaquil 2010,2010-08-31,MORALES Edwin,VITE Marlon,3,0,,,WTT_CONTENDER,MS,635,Qualification,MORALES Edwin (ECU),VITE Marlon (ECU),MORALES Edwin
Ecuador International Open Guayaquil 2010,2010-08-31,NAVAS Marco,VITE Marlon,3,0,,,WTT_CONTENDER,MS,635,Qualification,NAVAS Marco (VEN),VITE Marlon (ECU),NAVAS Marco
Ecuador International Open Guayaquil 2010,2010-08-31,LOPEZ Leonardo,MORALES Edwin,3,0,,,WTT_CONTENDER,MS,635,Qualification,LOPEZ Leonardo (ECU),MORALES Edwin (ECU),LOPEZ Leonardo
Ecuador International Open Guayaquil 2010,2010-08-31,NAVAS Marco,MORALES Edwin,3,0,,,WTT_CONTENDER,MS,635,Qualification,NAVAS Marco (VEN),MORALES Edwin (ECU),NAVAS Marco
Ecuador International Open Guayaquil 2010,2010-08-31,VITE Marlon,LOPEZ Leonardo,3,0,,,WTT_CONTENDER,MS,635,Qualification,VITE Marlon (ECU),LOPEZ Leonardo (ECU),VITE Marlon
Ecuador International Open Guayaquil 2010,2010-08-31,COELLO Geovanny,GAVILANEZ German,3,0,,,WTT_CONTENDER,MS,635,Qualification,COELLO Geovanny (ECU),GAVILANEZ German (ECU),COELLO Geovanny
Ecuador International Open Guayaquil 2010,2010-08-31,CHANCHAY Giovanny,TOLEDO Luis,3,0,,,WTT_CONTENDER,MS,635,Qualification,CHANCHAY Giovanny (ECU),TOLEDO Luis (ECU),CHANCHAY Giovanny
Ecuador International Open Guayaquil 2010,2010-08-31,COELLO Geovanny,CHANCHAY Giovanny,3,0,,,WTT_CONTENDER,MS,635,Qualification,COELLO Geovanny (ECU),CHANCHAY Giovanny (ECU),COELLO Geovanny
Ecuador International Open Guayaquil 2010,2010-08-31,TOLEDO Luis,GAVILANEZ German,3,0,,,WTT_CONTENDER,MS,635,Qualification,TOLEDO Luis (ECU),GAVILANEZ German (ECU),TOLEDO Luis
Ecuador International Open Guayaquil 2010,2010-08-31,COELLO Geovanny,TOLEDO Luis,3,0,,,WTT_CONTENDER,MS,635,Qualification,COELLO Geovanny (ECU),TOLEDO Luis (ECU),COELLO Geovanny
Ecuador International Open Guayaquil 2010,2010-08-31,CHANCHAY Giovanny,GAVILANEZ German,3,0,,,WTT_CONTENDER,MS,635,Qualification,CHANCHAY Giovanny (ECU),GAVILANEZ German (ECU),CHANCHAY Giovanny
Ecuador International Open Guayaquil 2010,2010-08-31,SUAREZ Dino,PESANTES Ismael,3,0,,,WTT_CONTENDER,MS,635,Qualification,SUAREZ Dino (ECU),PESANTES Ismael (ECU),SUAREZ Dino
Ecuador International Open Guayaquil 2010,2010-08-31,LORENZOTTI Gonzalo,PAZMINO Jean,3,0,,,WTT_CONTENDER,MS,635,Qualification,LORENZOTTI Gonzalo (URU),PAZMINO Jean (ECU),LORENZOTTI Gonzalo
Ecuador International Open Guayaquil 2010,2010-08-31,SUAREZ Dino,PAZMINO Jean,3,0,,,WTT_CONTENDER,MS,635,Qualification,SUAREZ Dino (ECU),PAZMINO Jean (ECU),SUAREZ Dino
Ecuador International Open Guayaquil 2010,2010-08-31,LORENZOTTI Gonzalo,PESANTES Ismael,3,0,,,WTT_CONTENDER,MS,635,Qualification,LORENZOTTI Gonzalo (URU),PESANTES Ismael (ECU),LORENZOTTI Gonzalo
Ecuador International Open Guayaquil 2010,2010-08-31,SUAREZ Dino,LORENZOTTI Gonzalo,3,0,,,WTT_CONTENDER,MS,635,Qualification,SUAREZ Dino (ECU),LORENZOTTI Gonzalo (URU),SUAREZ Dino
Ecuador International Open Guayaquil 2010,2010-08-31,PESANTES Ismael,PAZMINO Jean,3,0,,,WTT_CONTENDER,MS,635,Qualification,PESANTES Ismael (ECU),PAZMINO Jean (ECU),PESANTES Ismael
Ecuador International Open Guayaquil 2010,2010-08-31,PROANO Ivan,GARCIA Danny,3,0,,,WTT_CONTENDER,MS,635,Qualification,PROANO Ivan (ECU),GARCIA Danny (ECU),PROANO Ivan
Ecuador International Open Guayaquil 2010,2010-08-31,VALENCIANO Jaime,ARCOS Ivan,3,0,,,WTT_CONTENDER,MS,635,Qualification,VALENCIANO Jaime (COL),ARCOS Ivan (ECU),VALENCIANO Jaime
Ecuador International Open Guayaquil 2010,2010-08-31,PROANO Ivan,ARCOS Ivan,3,0,,,WTT_CONTENDER,MS,635,Qualification,PROANO Ivan (ECU),ARCOS Ivan (ECU),PROANO Ivan
Ecuador International Open Guayaquil 2010,2010-08-31,VALENCIANO Jaime,GARCIA Danny,3,0,,,WTT_CONTENDER,MS,635,Qualification,VALENCIANO Jaime (COL),GARCIA Danny (ECU),VALENCIANO Jaime
Ecuador International Open Guayaquil 2010,2010-08-31,PROANO Ivan,VALENCIANO Jaime,3,0,,,WTT_CONTENDER,MS,635,Qualification,PROANO Ivan (ECU),VALENCIANO Jaime (COL),PROANO Ivan
Ecuador International Open Guayaquil 2010,2010-08-31,GARCIA Danny,ARCOS Ivan,3,0,,,WTT_CONTENDER,MS,635,Qualification,GARCIA Danny (ECU),ARCOS Ivan (ECU),GARCIA Danny
Ecuador International Open Guayaquil 2010,2010-08-31,AGUIRRE Sebastian,AULESTIA Shane,3,0,,,WTT_CONTENDER,MS,635,Qualification,AGUIRRE Sebastian (PAR),AULESTIA Shane (ECU),AGUIRRE Sebastian
Ecuador International Open Guayaquil 2010,2010-08-31,CABRERA Adrian,GUTIERREZ Carlos,3,0,,,WTT_CONTENDER,MS,635,Qualification,CABRERA Adrian (ECU),GUTIERREZ Carlos (ECU),CABRERA Adrian
Ecuador International Open Guayaquil 2010,2010-08-31,AGUIRRE Sebastian,GUTIERREZ Carlos,3,0,,,WTT_CONTENDER,MS,635,Qualification,AGUIRRE Sebastian (PAR),GUTIERREZ Carlos (ECU),AGUIRRE Sebastian
Ecuador International Open Guayaquil 2010,2010-08-31,CABRERA Adrian,AULESTIA Shane,3,0,,,WTT_CONTENDER,MS,635,Qualification,CABRERA Adrian (ECU),AULESTIA Shane (ECU),CABRERA Adrian
Ecuador International Open Guayaquil 2010,2010-08-31,AGUIRRE Sebastian,CABRERA Adrian,3,0,,,WTT_CONTENDER,MS,635,Qualification,AGUIRRE Sebastian (PAR),CABRERA Adrian (ECU),AGUIRRE Sebastian
Ecuador International Open Guayaquil 2010,2010-08-31,AULESTIA Shane,GUTIERREZ Carlos,3,0,,,WTT_CONTENDER,MS,635,Qualification,AULESTIA Shane (ECU),GUTIERREZ Carlos (ECU),AULESTIA Shane
Ecuador International Open Guayaquil 2010,2010-08-31,TAPIA Rodrigo,AULESTIA Ian,3,0,,,WTT_CONTENDER,MS,635,Qualification,TAPIA Rodrigo (ECU),AULESTIA Ian (ECU),TAPIA Rodrigo
