tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,PUCAR Tomislav,ARUNA Quadri,3,0,"11,12,11|4,10,6",QUAL,WORLD_CUP,MS,3379,Qualification,PUCAR Tomislav (CRO),ARUNA Quadri (NGR)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,ITO Mima,ZHANG Mo,3,2,"12,10,11,11,11|10,12,13,4,4",QUAL,WORLD_CUP,WS,3379,Qualification,ITO Mima (JPN),ZHANG Mo (CAN)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,HARIMOTO Miwa,BATRA Manika,3,0,"18,11,11|16,4,6",QUAL,WORLD_CUP,WS,3379,Qualification,HARIMOTO Miwa (JPN),BATRA Manika (IND)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,THAKKAR Manav,PARK Ganghyeon,3,0,"11,11,11|7,6,8",QUAL,WORLD_CUP,MS,3379,Qualification,THAKKAR Manav (IND),PARK Ganghyeon (KOR)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,ZHOU Qihao,KAWAKAMI Ryuusei,3,1,"11,9,11,11|7,11,8,9",QUAL,WORLD_CUP,MS,3379,Qualification,ZHOU Qihao (CHN),KAWAKAMI Ryuusei (JPN)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,WINTER Sabine,ALHODABY Mariam,3,0,"11,11,11|6,5,9",QUAL,WORLD_CUP,WS,3379,Qualification,WINTER Sabine (GER),ALHODABY Mariam (EGY)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,KUAI Man,LUTZ Charlotte,3,2,"11,11,8,6,11|2,6,11,11,8",QUAL,WORLD_CUP,WS,3379,Qualification,KUAI Man (CHN),LUTZ Charlotte (FRA)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,LUM Nicholas,REDZIMSKI Milosz,3,1,"7,11,11,12|11,4,3,10",QUAL,WORLD_CUP,MS,3379,Qualification,LUM Nicholas (AUS),REDZIMSKI Milosz (POL)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,ASSAR Omar,BOULOUSSA Mehdi,3,1,"11,12,6,11|6,10,11,8",QUAL,WORLD_CUP,MS,3379,Qualification,ASSAR Omar (EGY),BOULOUSSA Mehdi (ALG)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,WANG Yidi,BAJOR Natalia,3,0,"11,11,11|2,5,6",QUAL,WORLD_CUP,WS,3379,Qualification,WANG Yidi (CHN),BAJOR Natalia (POL)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,CHENG I-Ching,LEONG On Na,3,1,"11,6,11,11|7,11,6,9",QUAL,WORLD_CUP,WS,3379,Qualification,CHENG I-Ching (TPE),LEONG On Na (MAC)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,LUU Finn,IONESCU Eduard,3,1,"11,11,4,11|8,6,11,5",QUAL,WORLD_CUP,MS,3379,Qualification,LUU Finn (AUS),IONESCU Eduard (ROU)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,PORET Thibault,WANG Eugene,3,1,"11,12,11,11|13,10,8,4",QUAL,WORLD_CUP,MS,3379,Qualification,PORET Thibault (FRA),WANG Eugene (CAN)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,HAYATA Hina,KAUFMANN Annett,3,1,"11,6,13,11|4,11,11,6",QUAL,WORLD_CUP,WS,3379,Qualification,HAYATA Hina (JPN),KAUFMANN Annett (GER)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,WANG Manyu,YU Fu,3,0,"11,11,11|5,3,6",QUAL,WORLD_CUP,WS,3379,Qualification,WANG Manyu (CHN),YU Fu (POR)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,UDA Yukiya,CHANG Yu-An,3,0,"11,11,11|7,5,7",QUAL,WORLD_CUP,MS,3379,Qualification,UDA Yukiya (JPN),CHANG Yu-An (TPE)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,TOGAMI Shunsuke,MAK Tin Ian,3,1,"11,11,11,11|8,13,4,9",QUAL,WORLD_CUP,MS,3379,Qualification,TOGAMI Shunsuke (JPN),MAK Tin Ian (MAC)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,HASHIMOTO Honoka,SHAN Xiaona,3,0,"11,11,11|9,8,8",QUAL,WORLD_CUP,WS,3379,Qualification,HASHIMOTO Honoka (JPN),SHAN Xiaona (GER)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,SHIN Yubin,BERGSTROM Linda,3,0,"11,11,11|4,2,5",QUAL,WORLD_CUP,WS,3379,Qualification,SHIN Yubin (KOR),BERGSTROM Linda (SWE)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,KARLSSON Kristian,JANCARIK Lubomir,3,1,"11,7,11,11|4,11,4,8",QUAL,WORLD_CUP,MS,3379,Qualification,KARLSSON Kristian (SWE),JANCARIK Lubomir (CZE)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,KALLBERG Anton,FENG Yi-Hsin,3,0,"11,13,12|9,11,10",QUAL,WORLD_CUP,MS,3379,Qualification,KALLBERG Anton (SWE),FENG Yi-Hsin (TPE)
ITTF Men’s & Women’s World Cup Macao 2026 Presented by Galaxy Entertainment Group,2026-03-30,DIAZ Adriana,LAM Jocelyn,3,0,"11,11,11|3,5,8",QUAL,WORLD_CUP,WS,3379,Qualification,DIAZ Adriana (PUR),LAM Jocelyn (NZL)
