tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Spokane 2025,2025-08-05,WU Yiran,AVERIN Alex,3,0,"11,11,11|5,4,8",GROUP,WTT_FEEDER,MS,3177,Main Draw,WU Yiran (USA),AVERIN Alex (USA),WU Yiran
WTT Feeder Spokane 2025,2025-08-05,XU Kaden,JIA Jaden,3,0,"11,11,11|2,2,3",GROUP,WTT_FEEDER,MS,3177,Main Draw,XU Kaden (USA),JIA Jaden (USA),XU Kaden
WTT Feeder Spokane 2025,2025-08-05,HAN Doyun,MORAGA Victor,3,0,"11,11,11|6,6,5",GROUP,WTT_FEEDER,MS,3177,Main Draw,HAN Doyun (KOR),MORAGA Victor (USA),HAN Doyun
WTT Feeder Spokane 2025,2025-08-05,IGARASHI Fumiya,LEIBOVITZ Tahl,3,1,"11,11,7,11|5,4,11,6",GROUP,WTT_FEEDER,MS,3177,Main Draw,IGARASHI Fumiya (JPN),LEIBOVITZ Tahl (USA),IGARASHI Fumiya
WTT Feeder Spokane 2025,2025-08-05,KIM Byunghyeon,JANG Minhyeok,3,2,"11,10,11,8,17|9,12,7,11,15",GROUP,WTT_FEEDER,MS,3177,Main Draw,KIM Byunghyeon (KOR),JANG Minhyeok (KOR),KIM Byunghyeon
WTT Feeder Spokane 2025,2025-08-05,AVERIN Alex,JIA Jaden,3,0,"12,11,11|10,8,6",GROUP,WTT_FEEDER,MS,3177,Main Draw,AVERIN Alex (USA),JIA Jaden (USA),AVERIN Alex
WTT Feeder Spokane 2025,2025-08-05,XU Kaden,WU Yiran,3,1,"11,5,11,11|8,11,6,3",GROUP,WTT_FEEDER,MS,3177,Main Draw,XU Kaden (USA),WU Yiran (USA),XU Kaden
WTT Feeder Spokane 2025,2025-08-05,IGARASHI Fumiya,LEE Hoyun,3,2,"11,11,7,4,11|6,7,11,11,2",GROUP,WTT_FEEDER,MS,3177,Main Draw,IGARASHI Fumiya (JPN),LEE Hoyun (KOR),IGARASHI Fumiya
WTT Feeder Spokane 2025,2025-08-05,CHOI Hojun,HAN Doyun,3,2,"11,11,6,8,11|6,7,11,11,8",GROUP,WTT_FEEDER,MS,3177,Main Draw,CHOI Hojun (KOR),HAN Doyun (KOR),CHOI Hojun
WTT Feeder Spokane 2025,2025-08-05,KIM Taehyun,JANG Minhyeok,3,0,"11,11,11|6,5,7",GROUP,WTT_FEEDER,MS,3177,Main Draw,KIM Taehyun (MLT),JANG Minhyeok (KOR),KIM Taehyun
