tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Men's World Cup Liege 2008,2008-09-26,WANG Hao,SCHLAGER Werner,4,2,"13,9,12,11,8,11|11,11,10,3,11,8",,WORLD_CUP,MS,786,Qualification,WANG Hao (CHN),SCHLAGER Werner (AUT),WANG Hao
Men's World Cup Liege 2008,2008-09-26,CHUANG Chih-Yuan,PETER-PAUL Pradeeban,4,2,"8,11,6,11,11,11|11,2,11,7,5,9",QR2,WORLD_CUP,MS,786,Qualification,CHUANG Chih-Yuan (TPE),PETER-PAUL Pradeeban (CAN),CHUANG Chih-Yuan
Men's World Cup Liege 2008,2008-09-26,WANG Hao,CHUANG Chih-Yuan,4,0,"12,12,11,11|10,10,9,8",3,WORLD_CUP,MS,786,Qualification,WANG Hao (CHN),CHUANG Chih-Yuan (TPE),WANG Hao
Men's World Cup Liege 2008,2008-09-26,SCHLAGER Werner,PETER-PAUL Pradeeban,4,0,"11,12,11,11|9,10,4,8",QR4,WORLD_CUP,MS,786,Qualification,SCHLAGER Werner (AUT),PETER-PAUL Pradeeban (CAN),SCHLAGER Werner
Men's World Cup Liege 2008,2008-09-26,WANG Hao,PETER-PAUL Pradeeban,4,0,"11,11,11,11|9,1,3,8",5,WORLD_CUP,MS,786,Qualification,WANG Hao (CHN),PETER-PAUL Pradeeban (CAN),WANG Hao
Men's World Cup Liege 2008,2008-09-26,SCHLAGER Werner,CHUANG Chih-Yuan,4,2,"11,11,9,11,5,12|8,7,11,8,11,10",6,WORLD_CUP,MS,786,Qualification,SCHLAGER Werner (AUT),CHUANG Chih-Yuan (TPE),SCHLAGER Werner
Men's World Cup Liege 2008,2008-09-26,MA Long,MAZE Michael,4,0,"11,11,11,11|3,6,3,7",,WORLD_CUP,MS,786,Qualification,MA Long (CHN),MAZE Michael (DEN),MA Long
Men's World Cup Liege 2008,2008-09-26,JOO Saehyuk,CARTER Trent,4,0,"11,11,11,11|9,7,3,2",QR2,WORLD_CUP,MS,786,Qualification,JOO Saehyuk (KOR),CARTER Trent (AUS),JOO Saehyuk
Men's World Cup Liege 2008,2008-09-26,MA Long,JOO Saehyuk,4,3,"11,11,8,9,11,8,11|7,7,11,11,7,11,3",3,WORLD_CUP,MS,786,Qualification,MA Long (CHN),JOO Saehyuk (KOR),MA Long
Men's World Cup Liege 2008,2008-09-26,MAZE Michael,CARTER Trent,4,0,"11,11,11,11|4,5,6,5",QR4,WORLD_CUP,MS,786,Qualification,MAZE Michael (DEN),CARTER Trent (AUS),MAZE Michael
Men's World Cup Liege 2008,2008-09-26,MA Long,CARTER Trent,4,0,"11,11,11,11|8,4,2,6",5,WORLD_CUP,MS,786,Qualification,MA Long (CHN),CARTER Trent (AUS),MA Long
Men's World Cup Liege 2008,2008-09-26,JOO Saehyuk,MAZE Michael,4,0,"11,11,13,11|5,2,11,8",6,WORLD_CUP,MS,786,Qualification,JOO Saehyuk (KOR),MAZE Michael (DEN),JOO Saehyuk
Men's World Cup Liege 2008,2008-09-26,KREANGA Kalinikos,BOLL Timo,4,2,"11,11,14,7,7,11|7,8,12,11,11,9",,WORLD_CUP,MS,786,Qualification,KREANGA Kalinikos (GRE),BOLL Timo (GER),KREANGA Kalinikos
Men's World Cup Liege 2008,2008-09-26,TORIOLA Segun,GAO Ning,4,3,"8,11,10,11,11,9,11|11,4,12,6,8,11,5",QR2,WORLD_CUP,MS,786,Qualification,TORIOLA Segun (NGR),GAO Ning (SGP),TORIOLA Segun
Men's World Cup Liege 2008,2008-09-26,BOLL Timo,GAO Ning,4,1,"12,11,9,11,11|10,7,11,7,4",3,WORLD_CUP,MS,786,Qualification,BOLL Timo (GER),GAO Ning (SGP),BOLL Timo
Men's World Cup Liege 2008,2008-09-26,KREANGA Kalinikos,TORIOLA Segun,4,3,"11,5,11,11,4,6,11|5,11,5,6,11,11,8",QR4,WORLD_CUP,MS,786,Qualification,KREANGA Kalinikos (GRE),TORIOLA Segun (NGR),KREANGA Kalinikos
Men's World Cup Liege 2008,2008-09-26,BOLL Timo,TORIOLA Segun,4,0,"11,11,11,11|6,1,4,6",5,WORLD_CUP,MS,786,Qualification,BOLL Timo (GER),TORIOLA Segun (NGR),BOLL Timo
Men's World Cup Liege 2008,2008-09-26,KREANGA Kalinikos,GAO Ning,4,0,"11,11,11,11|9,3,5,7",6,WORLD_CUP,MS,786,Qualification,KREANGA Kalinikos (GRE),GAO Ning (SGP),KREANGA Kalinikos
Men's World Cup Liege 2008,2008-09-26,RYU Seungmin,OVTCHAROV Dimitrij,4,0,"11,11,13,11|9,7,11,6",,WORLD_CUP,MS,786,Qualification,RYU Seungmin (KOR),OVTCHAROV Dimitrij (GER),RYU Seungmin
Men's World Cup Liege 2008,2008-09-26,LI Ching,SAIVE Jean-Michel,4,0,"11,11,11,12|5,8,6,10",QR2,WORLD_CUP,MS,786,Qualification,LI Ching (HKG),SAIVE Jean-Michel (BEL),LI Ching
Men's World Cup Liege 2008,2008-09-26,RYU Seungmin,LI Ching,4,3,"11,11,11,5,5,11,11|4,7,6,11,11,13,5",3,WORLD_CUP,MS,786,Qualification,RYU Seungmin (KOR),LI Ching (HKG),RYU Seungmin
Men's World Cup Liege 2008,2008-09-26,OVTCHAROV Dimitrij,SAIVE Jean-Michel,4,3,"12,9,11,11,9,6,11|10,11,6,7,11,11,9",QR4,WORLD_CUP,MS,786,Qualification,OVTCHAROV Dimitrij (GER),SAIVE Jean-Michel (BEL),OVTCHAROV Dimitrij
Men's World Cup Liege 2008,2008-09-26,RYU Seungmin,SAIVE Jean-Michel,4,0,"11,11,11,13|6,9,8,11",5,WORLD_CUP,MS,786,Qualification,RYU Seungmin (KOR),SAIVE Jean-Michel (BEL),RYU Seungmin
Men's World Cup Liege 2008,2008-09-26,OVTCHAROV Dimitrij,LI Ching,4,3,"11,8,11,9,8,11,11|8,11,8,11,11,5,6",6,WORLD_CUP,MS,786,Qualification,OVTCHAROV Dimitrij (GER),LI Ching (HKG),OVTCHAROV Dimitrij
Men's World Cup Liege 2008,2008-09-26,WANG Hao,OVTCHAROV Dimitrij,4,1,"12,11,6,11,11|10,7,11,6,8",QF,WORLD_CUP,MS,786,Main Draw,WANG Hao (CHN),OVTCHAROV Dimitrij (GER),WANG Hao
Men's World Cup Liege 2008,2008-09-26,KREANGA Kalinikos,JOO Saehyuk,4,2,"11,6,11,11,5,12|7,11,5,7,11,10",QF,WORLD_CUP,MS,786,Main Draw,KREANGA Kalinikos (GRE),JOO Saehyuk (KOR),KREANGA Kalinikos
Men's World Cup Liege 2008,2008-09-26,BOLL Timo,RYU Seungmin,4,0,"11,11,11,11|6,8,8,4",QF,WORLD_CUP,MS,786,Main Draw,BOLL Timo (GER),RYU Seungmin (KOR),BOLL Timo
Men's World Cup Liege 2008,2008-09-26,MA Long,SCHLAGER Werner,4,1,"11,9,16,11,11|4,11,14,3,7",QF,WORLD_CUP,MS,786,Main Draw,MA Long (CHN),SCHLAGER Werner (AUT),MA Long
Men's World Cup Liege 2008,2008-09-26,WANG Hao,KREANGA Kalinikos,4,2,"11,5,7,11,11,11|7,11,11,5,6,6",SF,WORLD_CUP,MS,786,Main Draw,WANG Hao (CHN),KREANGA Kalinikos (GRE),WANG Hao
Men's World Cup Liege 2008,2008-09-26,BOLL Timo,MA Long,4,3,"11,8,9,3,11,11,11|7,11,11,11,8,8,6",SF,WORLD_CUP,MS,786,Main Draw,BOLL Timo (GER),MA Long (CHN),BOLL Timo
Men's World Cup Liege 2008,2008-09-26,WANG Hao,BOLL Timo,4,1,"11,11,14,11,11|8,3,16,7,9",F,WORLD_CUP,MS,786,Main Draw,WANG Hao (CHN),BOLL Timo (GER),WANG Hao
Men's World Cup Liege 2008,2008-09-26,MA Long,KREANGA Kalinikos,4,1,"7,11,11,11,11|11,6,5,6,8",3RD,WORLD_CUP,MS,786,Position Draw,MA Long (CHN),KREANGA Kalinikos (GRE),MA Long
