tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Czech International Open Olomouc 2021,2021-08-21,WALKER Samuel/MOREGARD Truls,TIUTRIUMOV Aleksandr/ISMAILOV Sadi,3,2,"11,7,5,12,11|9,11,11,10,5",R16,WTT_CONTENDER,MD,2480,Main Draw,WALKER Samuel (ENG) / MOREGARD Truls (SWE),TIUTRIUMOV Aleksandr (RUS) / ISMAILOV Sadi (RUS)
ITTF Czech International Open Olomouc 2021,2021-08-21,BARDET Lilian/DE NODREST Leo,GLOD Eric/MLADENOVIC Luka,3,0,"11,11,11|6,8,8",R16,WTT_CONTENDER,MD,2480,Main Draw,BARDET Lilian (FRA) / DE NODREST Leo (FRA),GLOD Eric (LUX) / MLADENOVIC Luka (LUX)
ITTF Czech International Open Olomouc 2021,2021-08-21,BU SHULAYBI Abdulaziz/ALKHADRAWI Ali,ZELINKA Jakub/SPANIK Tibor,3,2,"11,11,9,7,11|7,7,11,11,8",R16,WTT_CONTENDER,MD,2480,Main Draw,BU SHULAYBI Abdulaziz (KSA) / ALKHADRAWI Ali (KSA),ZELINKA Jakub (SVK) / SPANIK Tibor (SVK)
ITTF Czech International Open Olomouc 2021,2021-08-21,SHETTY Sanil/THAKKAR Manav,ANDRAS Csaba/KISHEGYI Akos,3,1,"6,11,11,11|11,5,8,6",R16,WTT_CONTENDER,MD,2480,Main Draw,SHETTY Sanil (IND) / THAKKAR Manav (IND),ANDRAS Csaba (HUN) / KISHEGYI Akos (HUN)
ITTF Czech International Open Olomouc 2021,2021-08-21,CHANDRA Jeet/SURAVAJJULA Snehit,MARTINKO Tomas/BELIK Simon,3,1,"11,11,10,11|4,7,12,4",R16,WTT_CONTENDER,MD,2480,Main Draw,CHANDRA Jeet (IND) / SURAVAJJULA Snehit (IND),MARTINKO Tomas (CZE) / BELIK Simon (CZE)
ITTF Czech International Open Olomouc 2021,2021-08-21,PICARD Vincent/REMBERT Bastien,KLAJBER Adam/DELINCAK Filip,3,0,"11,14,11|2,12,9",R16,WTT_CONTENDER,MD,2480,Main Draw,PICARD Vincent (FRA) / REMBERT Bastien (FRA),KLAJBER Adam (SVK) / DELINCAK Filip (SVK)
ITTF Czech International Open Olomouc 2021,2021-08-21,OSIRO Pedro/TSCHANZ Cedric,NOVOTA Samuel/KALUZNY Samuel,3,2,"15,13,5,10,11|13,11,11,12,8",R16,WTT_CONTENDER,MD,2480,Main Draw,OSIRO Pedro (SUI) / TSCHANZ Cedric (SUI),NOVOTA Samuel (SVK) / KALUZNY Samuel (SVK)
ITTF Czech International Open Olomouc 2021,2021-08-21,PLATONOV Pavel/KHANIN Aleksandr,DILLON Adrian/PROMBERGER Jonas,3,0,"12,11,13|10,6,11",R16,WTT_CONTENDER,MD,2480,Main Draw,PLATONOV Pavel (BLR) / KHANIN Aleksandr (BLR),DILLON Adrian (AUT) / PROMBERGER Jonas (AUT)
ITTF Czech International Open Olomouc 2021,2021-08-21,WALKER Samuel/MOREGARD Truls,BARDET Lilian/DE NODREST Leo,3,2,"10,11,11,7,11|12,8,7,11,7",F,WTT_CONTENDER,MD,2480,Main Draw,WALKER Samuel (ENG) / MOREGARD Truls (SWE),BARDET Lilian (FRA) / DE NODREST Leo (FRA)
ITTF Czech International Open Olomouc 2021,2021-08-21,WALKER Samuel/MOREGARD Truls,OSIRO Pedro/TSCHANZ Cedric,3,0,"11,11,11|8,8,5",QF,WTT_CONTENDER,MD,2480,Main Draw,WALKER Samuel (ENG) / MOREGARD Truls (SWE),OSIRO Pedro (SUI) / TSCHANZ Cedric (SUI)
ITTF Czech International Open Olomouc 2021,2021-08-21,PICARD Vincent/REMBERT Bastien,SHETTY Sanil/THAKKAR Manav,3,0,"11,11,12|9,6,10",QF,WTT_CONTENDER,MD,2480,Main Draw,PICARD Vincent (FRA) / REMBERT Bastien (FRA),SHETTY Sanil (IND) / THAKKAR Manav (IND)
ITTF Czech International Open Olomouc 2021,2021-08-21,BARDET Lilian/DE NODREST Leo,PLATONOV Pavel/KHANIN Aleksandr,3,1,"11,11,5,11|7,9,11,9",QF,WTT_CONTENDER,MD,2480,Main Draw,BARDET Lilian (FRA) / DE NODREST Leo (FRA),PLATONOV Pavel (BLR) / KHANIN Aleksandr (BLR)
ITTF Czech International Open Olomouc 2021,2021-08-21,CHANDRA Jeet/SURAVAJJULA Snehit,BU SHULAYBI Abdulaziz/ALKHADRAWI Ali,3,1,"11,8,11,11|8,11,8,5",QF,WTT_CONTENDER,MD,2480,Main Draw,CHANDRA Jeet (IND) / SURAVAJJULA Snehit (IND),BU SHULAYBI Abdulaziz (KSA) / ALKHADRAWI Ali (KSA)
ITTF Czech International Open Olomouc 2021,2021-08-21,ZELINKA Jakub/SPANIK Tibor,GOMBOS Ludovic/GIROD Dorian,3,0,"11,11,11|0,0,0",QR16,WTT_CONTENDER,MD,2480,Qualification,ZELINKA Jakub (SVK) / SPANIK Tibor (SVK),GOMBOS Ludovic (USA) / GIROD Dorian (SUI)
ITTF Czech International Open Olomouc 2021,2021-08-21,ANDRAS Csaba/KISHEGYI Akos,THILLEN Eric/SORRENTINO Giacomo,3,0,"11,11,11|3,9,3",QR16,WTT_CONTENDER,MD,2480,Qualification,ANDRAS Csaba (HUN) / KISHEGYI Akos (HUN),THILLEN Eric (LUX) / SORRENTINO Giacomo (PER)
ITTF Czech International Open Olomouc 2021,2021-08-21,MARTINKO Tomas/BELIK Simon,KUNATS Heorhi/TSYHANOUSKI Mikhail,3,0,"11,11,11|5,6,3",QR16,WTT_CONTENDER,MD,2480,Qualification,MARTINKO Tomas (CZE) / BELIK Simon (CZE),KUNATS Heorhi (BLR) / TSYHANOUSKI Mikhail (BLR)
ITTF Czech International Open Olomouc 2021,2021-08-21,OSIRO Pedro/TSCHANZ Cedric,KVETON Ondrej/KAUCKY Jakub,3,1,"11,7,11,11|7,11,7,6",QR16,WTT_CONTENDER,MD,2480,Qualification,OSIRO Pedro (SUI) / TSCHANZ Cedric (SUI),KVETON Ondrej (CZE) / KAUCKY Jakub (CZE)
ITTF Czech International Open Olomouc 2021,2021-08-21,TIUTRIUMOV Aleksandr/ISMAILOV Sadi,BAKO Radim/KOLDAS Tomas,3,0,"11,11,11|7,5,6",QR16,WTT_CONTENDER,MD,2480,Qualification,TIUTRIUMOV Aleksandr (RUS) / ISMAILOV Sadi (RUS),BAKO Radim (CZE) / KOLDAS Tomas (CZE)
ITTF Czech International Open Olomouc 2021,2021-08-21,DILLON Adrian/PROMBERGER Jonas,LIMONOV Anton/GREBENIUK Andrii,3,1,"9,17,11,11|11,15,7,8",QR16,WTT_CONTENDER,MD,2480,Qualification,DILLON Adrian (AUT) / PROMBERGER Jonas (AUT),LIMONOV Anton (UKR) / GREBENIUK Andrii (UKR)
