tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
2020 ITTF Finals Zhengzhou 2020,2020-11-19,ISHIKAWA Kasumi,SUH Hyo Won,KOR,JPN,4,1,"11,3,11,11,11|8,11,9,5,5",R16,GRAND_SLAM,WS,2266,Main Draw,ISHIKAWA Kasumi (JPN),SUH Hyo Won (KOR),,,1 - 4,8:11 11:3 9:11 5:11 5:11,SUH Hyo Won,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,SOLJA Petrissa,FENG Tianwei,GER,SGP,4,2,"11,8,9,11,11,11|8,11,11,5,7,9",R16,GRAND_SLAM,WS,2266,Main Draw,SOLJA Petrissa (GER),FENG Tianwei (SGP),,,4 - 2,11:8 8:11 9:11 11:5 11:7 11:9,SOLJA Petrissa,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,FAN Zhendong,JEOUNG Youngsik,CHN,KOR,4,0,"11,11,11,11|6,2,5,7",R16,GRAND_SLAM,MS,2266,Main Draw,FAN Zhendong (CHN),JEOUNG Youngsik (KOR),,,4 - 0,11:6 11:2 11:5 11:7,FAN Zhendong,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,JANG Woojin,HARIMOTO Tomokazu,KOR,JPN,4,3,"6,2,11,7,12,11,11|11,11,7,11,10,2,5",R16,GRAND_SLAM,MS,2266,Main Draw,JANG Woojin (KOR),HARIMOTO Tomokazu (JPN),,,4 - 3,6:11 2:11 11:7 7:11 12:10 11:2 11:5,JANG Woojin,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,CHEN Meng,KATO Miyu,CHN,JPN,4,2,"11,13,7,11,8,11|6,11,11,6,11,4",R16,GRAND_SLAM,WS,2266,Main Draw,CHEN Meng (CHN),KATO Miyu (JPN),,,4 - 2,11:6 13:11 7:11 11:6 8:11 11:4,CHEN Meng,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,JEON Jihee,SUN Yingsha,CHN,KOR,4,0,"12,11,11,11|10,8,7,4",R16,GRAND_SLAM,WS,2266,Main Draw,JEON Jihee (KOR),SUN Yingsha (CHN),,,0 - 4,10:12 8:11 7:11 4:11,SUN Yingsha,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,MA Long,FRANZISKA Patrick,CHN,GER,4,0,"12,11,11,11|10,1,6,4",R16,GRAND_SLAM,MS,2266,Main Draw,MA Long (CHN),FRANZISKA Patrick (GER),,,4 - 0,12:10 11:1 11:6 11:4,MA Long,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,ARUNA Quadri,XU Xin,CHN,NGR,4,0,"12,11,11,11|10,8,6,5",R16,GRAND_SLAM,MS,2266,Main Draw,ARUNA Quadri (NGR),XU Xin (CHN),,,0 - 4,10:12 8:11 6:11 5:11,XU Xin,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,WANG Manyu,SATO Hitomi,CHN,JPN,4,0,"11,16,11,11|6,14,5,9",R16,GRAND_SLAM,WS,2266,Main Draw,WANG Manyu (CHN),SATO Hitomi (JPN),,,4 - 0,11:6 16:14 11:5 11:9,WANG Manyu,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,WANG Yidi,POLCANOVA Sofia,CHN,AUT,4,0,"11,14,11,11|3,12,7,7",R16,GRAND_SLAM,WS,2266,Main Draw,WANG Yidi (CHN),POLCANOVA Sofia (AUT),,,4 - 0,11:3 14:12 11:7 11:7,WANG Yidi,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,PITCHFORD Liam,CALDERANO Hugo,BRA,ENG,4,0,"11,11,13,12|4,4,11,10",R16,GRAND_SLAM,MS,2266,Main Draw,PITCHFORD Liam (ENG),CALDERANO Hugo (BRA),,,0 - 4,4:11 4:11 11:13 10:12,CALDERANO Hugo,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,GAUZY Simon,KARLSSON Mattias,SWE,FRA,4,3,"11,11,5,7,10,11,11|4,9,11,11,12,6,7",R16,GRAND_SLAM,MS,2266,Main Draw,GAUZY Simon (FRA),KARLSSON Mattias (SWE),,,3 - 4,4:11 9:11 11:5 11:7 12:10 6:11 7:11,KARLSSON Mattias,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,DIAZ Adriana,CHENG I-Ching,TPE,PUR,4,1,"9,11,12,11,13|11,4,10,5,11",R16,GRAND_SLAM,WS,2266,Main Draw,DIAZ Adriana (PUR),CHENG I-Ching (TPE),,,1 - 4,11:9 4:11 10:12 5:11 11:13,CHENG I-Ching,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,DOO Hoi Kem,ITO Mima,JPN,HKG,4,1,"13,6,11,11,11|11,11,6,5,6",R16,GRAND_SLAM,WS,2266,Main Draw,DOO Hoi Kem (HKG),ITO Mima (JPN),,,1 - 4,11:13 11:6 6:11 5:11 6:11,ITO Mima,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,LIN Yun-Ju,OVTCHAROV Dimitrij,TPE,GER,4,2,"8,11,4,11,11,12|11,3,11,9,6,10",R16,GRAND_SLAM,MS,2266,Main Draw,LIN Yun-Ju (TPE),OVTCHAROV Dimitrij (GER),,,4 - 2,8:11 11:3 4:11 11:9 11:6 12:10,LIN Yun-Ju,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,LIN Gaoyuan,NIWA Koki,CHN,JPN,4,0,"11,11,11,11|9,3,4,9",R16,GRAND_SLAM,MS,2266,Main Draw,LIN Gaoyuan (CHN),NIWA Koki (JPN),,,4 - 0,11:9 11:3 11:4 11:9,LIN Gaoyuan,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,CHEN Meng,SOLJA Petrissa,CHN,GER,4,2,"9,10,11,11,11,11|11,12,5,5,8,6",QF,GRAND_SLAM,WS,2266,Main Draw,CHEN Meng (CHN),SOLJA Petrissa (GER),,,4 - 2,9:11 10:12 11:5 11:5 11:8 11:6,CHEN Meng,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,SUH Hyo Won,SUN Yingsha,CHN,KOR,4,2,"10,11,8,11,13,11|12,6,11,3,11,5",QF,GRAND_SLAM,WS,2266,Main Draw,SUH Hyo Won (KOR),SUN Yingsha (CHN),,,2 - 4,12:10 6:11 11:8 3:11 11:13 5:11,SUN Yingsha,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,FAN Zhendong,CALDERANO Hugo,CHN,BRA,4,1,"11,13,11,9,11|6,11,7,11,9",QF,GRAND_SLAM,MS,2266,Main Draw,FAN Zhendong (CHN),CALDERANO Hugo (BRA),,,4 - 1,11:6 13:11 11:7 9:11 11:9,FAN Zhendong,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,MA Long,KARLSSON Mattias,CHN,SWE,4,2,"11,7,5,11,11,13|5,11,11,6,9,11",QF,GRAND_SLAM,MS,2266,Main Draw,MA Long (CHN),KARLSSON Mattias (SWE),,,4 - 2,11:5 7:11 5:11 11:6 11:9 13:11,MA Long,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,WANG Manyu,CHENG I-Ching,CHN,TPE,4,1,"11,11,9,11,11|7,7,11,6,6",QF,GRAND_SLAM,WS,2266,Main Draw,WANG Manyu (CHN),CHENG I-Ching (TPE),,,4 - 1,11:7 11:7 9:11 11:6 11:6,WANG Manyu,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,WANG Yidi,ITO Mima,JPN,CHN,4,3,"6,11,11,11,11,7,11|11,8,13,4,7,11,5",QF,GRAND_SLAM,WS,2266,Main Draw,WANG Yidi (CHN),ITO Mima (JPN),,,3 - 4,11:6 8:11 13:11 4:11 7:11 11:7 5:11,ITO Mima,2020
